"chrom" "start_window" "end_window" "gene_counts"
"93" "Tfas_chr3" "27000001" "2.8e+07" "85"
"94" "Tfas_chr3" "28000001" "2.9e+07" "116"
"95" "Tfas_chr3" "29000001" "3e+07" "122"
"96" "Tfas_chr3" "30000001" "3.1e+07" "72"
"97" "Tfas_chr3" "31000001" "3.2e+07" "10"
"98" "Tfas_chr4" "1" "1e+06" "113"
"99" "Tfas_chr4" "1000001" "2e+06" "78"
"100" "Tfas_chr4" "2000001" "3e+06" "28"
"101" "Tfas_chr4" "3000001" "4e+06" "23"
"102" "Tfas_chr4" "4000001" "5e+06" "22"
"103" "Tfas_chr4" "5000001" "6e+06" "23"
"104" "Tfas_chr4" "6000001" "7e+06" "10"
"105" "Tfas_chr4" "7000001" "8e+06" "14"
"106" "Tfas_chr4" "8000001" "9e+06" "13"
"107" "Tfas_chr4" "9000001" "1e+07" "13"
"108" "Tfas_chr4" "10000001" "1.1e+07" "8"
"109" "Tfas_chr4" "11000001" "1.2e+07" "13"
"110" "Tfas_chr4" "12000001" "1.3e+07" "10"
"111" "Tfas_chr4" "13000001" "1.4e+07" "12"
"112" "Tfas_chr4" "14000001" "1.5e+07" "6"
"113" "Tfas_chr4" "15000001" "1.6e+07" "6"
"114" "Tfas_chr4" "16000001" "1.7e+07" "9"
"115" "Tfas_chr4" "17000001" "1.8e+07" "9"
"116" "Tfas_chr4" "18000001" "1.9e+07" "8"
"117" "Tfas_chr4" "19000001" "2e+07" "17"
"118" "Tfas_chr4" "20000001" "2.1e+07" "31"
"119" "Tfas_chr4" "21000001" "2.2e+07" "21"
"120" "Tfas_chr4" "22000001" "2.3e+07" "51"
"121" "Tfas_chr4" "23000001" "2.4e+07" "61"
"122" "Tfas_chr4" "24000001" "2.5e+07" "78"
"123" "Tfas_chr4" "25000001" "2.6e+07" "79"
"124" "Tfas_chr4" "26000001" "2.7e+07" "98"
"125" "Tfas_chr4" "27000001" "2.8e+07" "108"
"126" "Tfas_chr4" "28000001" "2.9e+07" "98"
"127" "Tfas_chr4" "29000001" "3e+07" "81"
"128" "Tfas_chr4" "30000001" "3.1e+07" "85"
"129" "Tfas_chr5" "1" "1e+06" "106"
"130" "Tfas_chr5" "1000001" "2e+06" "103"
"131" "Tfas_chr5" "2000001" "3e+06" "114"
"132" "Tfas_chr5" "3000001" "4e+06" "72"
"133" "Tfas_chr5" "4000001" "5e+06" "70"
"134" "Tfas_chr5" "5000001" "6e+06" "36"
"135" "Tfas_chr5" "6000001" "7e+06" "15"
"136" "Tfas_chr5" "7000001" "8e+06" "16"
"137" "Tfas_chr5" "8000001" "9e+06" "19"
"138" "Tfas_chr5" "9000001" "1e+07" "9"
"139" "Tfas_chr5" "10000001" "1.1e+07" "5"
"140" "Tfas_chr5" "11000001" "1.2e+07" "2"
"141" "Tfas_chr5" "12000001" "1.3e+07" "4"
"142" "Tfas_chr5" "13000001" "1.4e+07" "4"
"143" "Tfas_chr5" "14000001" "1.5e+07" "9"
"144" "Tfas_chr5" "15000001" "1.6e+07" "12"
"145" "Tfas_chr5" "16000001" "1.7e+07" "13"
"146" "Tfas_chr5" "17000001" "1.8e+07" "6"
"147" "Tfas_chr5" "18000001" "1.9e+07" "14"
"148" "Tfas_chr5" "19000001" "2e+07" "7"
"149" "Tfas_chr5" "20000001" "2.1e+07" "7"
"150" "Tfas_chr5" "21000001" "2.2e+07" "10"
"151" "Tfas_chr5" "22000001" "2.3e+07" "22"
"152" "Tfas_chr5" "23000001" "2.4e+07" "19"
"153" "Tfas_chr5" "24000001" "2.5e+07" "20"
"154" "Tfas_chr5" "25000001" "2.6e+07" "32"
"155" "Tfas_chr5" "26000001" "2.7e+07" "36"
"156" "Tfas_chr5" "27000001" "2.8e+07" "73"
"157" "Tfas_chr5" "28000001" "2.9e+07" "119"
"158" "Tfas_chr5" "29000001" "3e+07" "128"
"159" "Tfas_chr5" "30000001" "3.1e+07" "14"
"160" "Tfas_chr6" "1" "1e+06" "81"
"161" "Tfas_chr6" "1000001" "2e+06" "84"
"162" "Tfas_chr6" "2000001" "3e+06" "39"
"163" "Tfas_chr6" "3000001" "4e+06" "22"
"164" "Tfas_chr6" "4000001" "5e+06" "21"
"165" "Tfas_chr6" "5000001" "6e+06" "10"
"166" "Tfas_chr6" "6000001" "7e+06" "13"
"167" "Tfas_chr6" "7000001" "8e+06" "14"
"168" "Tfas_chr6" "8000001" "9e+06" "29"
"169" "Tfas_chr6" "9000001" "1e+07" "11"
"170" "Tfas_chr6" "10000001" "1.1e+07" "9"
"171" "Tfas_chr6" "11000001" "1.2e+07" "17"
"172" "Tfas_chr6" "12000001" "1.3e+07" "9"
"173" "Tfas_chr6" "13000001" "1.4e+07" "9"
"174" "Tfas_chr6" "14000001" "1.5e+07" "6"
"175" "Tfas_chr6" "15000001" "1.6e+07" "7"
"176" "Tfas_chr6" "16000001" "1.7e+07" "15"
"177" "Tfas_chr6" "17000001" "1.8e+07" "6"
"178" "Tfas_chr6" "18000001" "1.9e+07" "7"
"179" "Tfas_chr6" "19000001" "2e+07" "8"
"180" "Tfas_chr6" "20000001" "2.1e+07" "25"
"181" "Tfas_chr6" "21000001" "2.2e+07" "11"
"182" "Tfas_chr6" "22000001" "2.3e+07" "6"
"183" "Tfas_chr6" "23000001" "2.4e+07" "43"
"184" "Tfas_chr6" "24000001" "2.5e+07" "59"
"185" "Tfas_chr6" "25000001" "2.6e+07" "85"
"186" "Tfas_chr6" "26000001" "2.7e+07" "111"
"187" "Tfas_chr6" "27000001" "2.8e+07" "123"
"188" "Tfas_chr6" "28000001" "2.9e+07" "129"
"189" "Tfas_chr6" "29000001" "3e+07" "48"
"190" "Tfas_chr7" "1" "1e+06" "131"
"191" "Tfas_chr7" "1000001" "2e+06" "120"
"192" "Tfas_chr7" "2000001" "3e+06" "97"
"193" "Tfas_chr7" "3000001" "4e+06" "73"
"194" "Tfas_chr7" "4000001" "5e+06" "66"
"195" "Tfas_chr7" "5000001" "6e+06" "27"
"196" "Tfas_chr7" "6000001" "7e+06" "11"
"197" "Tfas_chr7" "7000001" "8e+06" "33"
"198" "Tfas_chr7" "8000001" "9e+06" "13"
"199" "Tfas_chr7" "9000001" "1e+07" "25"
"200" "Tfas_chr7" "10000001" "1.1e+07" "17"
"201" "Tfas_chr7" "11000001" "1.2e+07" "24"
"202" "Tfas_chr7" "12000001" "1.3e+07" "22"
"203" "Tfas_chr7" "13000001" "1.4e+07" "16"
"204" "Tfas_chr7" "14000001" "1.5e+07" "15"
"205" "Tfas_chr7" "15000001" "1.6e+07" "19"
"206" "Tfas_chr7" "16000001" "1.7e+07" "23"
"207" "Tfas_chr7" "17000001" "1.8e+07" "32"
"208" "Tfas_chr7" "18000001" "1.9e+07" "24"
"209" "Tfas_chr7" "19000001" "2e+07" "19"
"210" "Tfas_chr7" "20000001" "2.1e+07" "41"
"211" "Tfas_chr7" "21000001" "2.2e+07" "15"
"212" "Tfas_chr7" "22000001" "2.3e+07" "51"
"213" "Tfas_chr7" "23000001" "2.4e+07" "46"
"214" "Tfas_chr7" "24000001" "2.5e+07" "37"
"215" "Tfas_chr7" "25000001" "2.6e+07" "37"
"216" "Tfas_chr7" "26000001" "2.7e+07" "46"
"217" "Tfas_chr7" "27000001" "2.8e+07" "5"
"218" "Tfas_chr8" "1" "1e+06" "118"
"219" "Tfas_chr8" "1000001" "2e+06" "105"
"220" "Tfas_chr8" "2000001" "3e+06" "72"
"221" "Tfas_chr8" "3000001" "4e+06" "58"
"222" "Tfas_chr8" "4000001" "5e+06" "40"
"223" "Tfas_chr8" "5000001" "6e+06" "43"
"224" "Tfas_chr8" "6000001" "7e+06" "24"
"225" "Tfas_chr8" "7000001" "8e+06" "28"
"226" "Tfas_chr8" "8000001" "9e+06" "6"
"227" "Tfas_chr8" "9000001" "1e+07" "17"
"228" "Tfas_chr8" "10000001" "1.1e+07" "21"
"229" "Tfas_chr8" "11000001" "1.2e+07" "18"
"230" "Tfas_chr8" "12000001" "1.3e+07" "14"
"231" "Tfas_chr8" "13000001" "1.4e+07" "7"
"232" "Tfas_chr8" "14000001" "1.5e+07" "9"
"233" "Tfas_chr8" "15000001" "1.6e+07" "7"
"234" "Tfas_chr8" "16000001" "1.7e+07" "13"
"235" "Tfas_chr8" "17000001" "1.8e+07" "8"
"236" "Tfas_chr8" "18000001" "1.9e+07" "3"
"237" "Tfas_chr8" "19000001" "2e+07" "14"
"238" "Tfas_chr8" "20000001" "2.1e+07" "7"
"239" "Tfas_chr8" "21000001" "2.2e+07" "30"
"240" "Tfas_chr8" "22000001" "2.3e+07" "40"
"241" "Tfas_chr8" "23000001" "2.4e+07" "56"
"242" "Tfas_chr8" "24000001" "2.5e+07" "68"
"243" "Tfas_chr8" "25000001" "2.6e+07" "98"
"244" "Tfas_chr8" "26000001" "2.7e+07" "119"
"245" "Tfas_chr8" "27000001" "2.8e+07" "17"
"246" "Tfas_chr9" "1" "1e+06" "122"
"247" "Tfas_chr9" "1000001" "2e+06" "99"
"248" "Tfas_chr9" "2000001" "3e+06" "80"
"249" "Tfas_chr9" "3000001" "4e+06" "36"
"250" "Tfas_chr9" "4000001" "5e+06" "38"
"251" "Tfas_chr9" "5000001" "6e+06" "26"
"252" "Tfas_chr9" "6000001" "7e+06" "10"
"253" "Tfas_chr9" "7000001" "8e+06" "14"
"254" "Tfas_chr9" "8000001" "9e+06" "10"
"255" "Tfas_chr9" "9000001" "1e+07" "9"
"256" "Tfas_chr9" "10000001" "1.1e+07" "12"
"257" "Tfas_chr9" "11000001" "1.2e+07" "4"
"258" "Tfas_chr9" "12000001" "1.3e+07" "4"
"259" "Tfas_chr9" "13000001" "1.4e+07" "5"
"260" "Tfas_chr9" "14000001" "1.5e+07" "7"
"261" "Tfas_chr9" "15000001" "1.6e+07" "8"
"262" "Tfas_chr9" "16000001" "1.7e+07" "4"
"263" "Tfas_chr9" "17000001" "1.8e+07" "17"
"264" "Tfas_chr9" "18000001" "1.9e+07" "12"
"265" "Tfas_chr9" "19000001" "2e+07" "4"
"266" "Tfas_chr9" "20000001" "2.1e+07" "12"
"267" "Tfas_chr9" "21000001" "2.2e+07" "23"
"268" "Tfas_chr9" "22000001" "2.3e+07" "23"
"269" "Tfas_chr9" "23000001" "2.4e+07" "28"
"270" "Tfas_chr9" "24000001" "2.5e+07" "35"
"271" "Tfas_chr9" "25000001" "2.6e+07" "76"
"272" "Tfas_chr9" "26000001" "2.7e+07" "44"
"273" "Tfas_chr10" "1" "1e+06" "81"
"274" "Tfas_chr10" "1000001" "2e+06" "71"
"275" "Tfas_chr10" "2000001" "3e+06" "36"
"276" "Tfas_chr10" "3000001" "4e+06" "17"
"277" "Tfas_chr10" "4000001" "5e+06" "22"
"278" "Tfas_chr10" "5000001" "6e+06" "6"
"279" "Tfas_chr10" "6000001" "7e+06" "7"
"280" "Tfas_chr10" "7000001" "8e+06" "10"
"281" "Tfas_chr10" "8000001" "9e+06" "18"
"282" "Tfas_chr10" "9000001" "1e+07" "14"
"283" "Tfas_chr10" "10000001" "1.1e+07" "9"
"284" "Tfas_chr10" "11000001" "1.2e+07" "0"
"285" "Tfas_chr10" "12000001" "1.3e+07" "4"
"286" "Tfas_chr10" "13000001" "1.4e+07" "12"
"287" "Tfas_chr10" "14000001" "1.5e+07" "15"
"288" "Tfas_chr10" "15000001" "1.6e+07" "12"
"289" "Tfas_chr10" "16000001" "1.7e+07" "17"
"290" "Tfas_chr10" "17000001" "1.8e+07" "15"
"291" "Tfas_chr10" "18000001" "1.9e+07" "21"
"292" "Tfas_chr10" "19000001" "2e+07" "36"
"293" "Tfas_chr10" "20000001" "2.1e+07" "68"
"294" "Tfas_chr10" "21000001" "2.2e+07" "80"
"295" "Tfas_chr10" "22000001" "2.3e+07" "85"
"296" "Tfas_chr10" "23000001" "2.4e+07" "122"
"297" "Tfas_chr10" "24000001" "2.5e+07" "117"
"298" "Tfas_chr10" "25000001" "2.6e+07" "126"
"299" "Tfas_chr10" "26000001" "2.7e+07" "0"
"300" "Tfas_chr11" "1" "1e+06" "93"
"301" "Tfas_chr11" "1000001" "2e+06" "105"
"302" "Tfas_chr11" "2000001" "3e+06" "99"
"303" "Tfas_chr11" "3000001" "4e+06" "117"
"304" "Tfas_chr11" "4000001" "5e+06" "109"
"305" "Tfas_chr11" "5000001" "6e+06" "74"
"306" "Tfas_chr11" "6000001" "7e+06" "67"
"307" "Tfas_chr11" "7000001" "8e+06" "45"
"308" "Tfas_chr11" "8000001" "9e+06" "30"
"309" "Tfas_chr11" "9000001" "1e+07" "37"
"310" "Tfas_chr11" "10000001" "1.1e+07" "16"
"311" "Tfas_chr11" "11000001" "1.2e+07" "29"
"312" "Tfas_chr11" "12000001" "1.3e+07" "28"
"313" "Tfas_chr11" "13000001" "1.4e+07" "9"
"314" "Tfas_chr11" "14000001" "1.5e+07" "7"
"315" "Tfas_chr11" "15000001" "1.6e+07" "13"
"316" "Tfas_chr11" "16000001" "1.7e+07" "9"
"317" "Tfas_chr11" "17000001" "1.8e+07" "9"
"318" "Tfas_chr11" "18000001" "1.9e+07" "15"
"319" "Tfas_chr11" "19000001" "2e+07" "26"
"320" "Tfas_chr11" "20000001" "2.1e+07" "20"
"321" "Tfas_chr11" "21000001" "2.2e+07" "20"
"322" "Tfas_chr11" "22000001" "2.3e+07" "13"
"323" "Tfas_chr11" "23000001" "2.4e+07" "51"
"324" "Tfas_chr11" "24000001" "2.5e+07" "64"
"325" "Tfas_chr11" "25000001" "2.6e+07" "47"
"326" "Tfas_chr12" "1" "1e+06" "99"
"327" "Tfas_chr12" "1000001" "2e+06" "92"
"328" "Tfas_chr12" "2000001" "3e+06" "89"
"329" "Tfas_chr12" "3000001" "4e+06" "65"
"330" "Tfas_chr12" "4000001" "5e+06" "52"
"331" "Tfas_chr12" "5000001" "6e+06" "32"
"332" "Tfas_chr12" "6000001" "7e+06" "23"
"333" "Tfas_chr12" "7000001" "8e+06" "19"
"334" "Tfas_chr12" "8000001" "9e+06" "14"
"335" "Tfas_chr12" "9000001" "1e+07" "15"
"336" "Tfas_chr12" "10000001" "1.1e+07" "8"
"337" "Tfas_chr12" "11000001" "1.2e+07" "9"
"338" "Tfas_chr12" "12000001" "1.3e+07" "10"
"339" "Tfas_chr12" "13000001" "1.4e+07" "5"
"340" "Tfas_chr12" "14000001" "1.5e+07" "11"
"341" "Tfas_chr12" "15000001" "1.6e+07" "16"
"342" "Tfas_chr12" "16000001" "1.7e+07" "4"
"343" "Tfas_chr12" "17000001" "1.8e+07" "4"
"344" "Tfas_chr12" "18000001" "1.9e+07" "8"
"345" "Tfas_chr12" "19000001" "2e+07" "12"
"346" "Tfas_chr12" "20000001" "2.1e+07" "7"
"347" "Tfas_chr12" "21000001" "2.2e+07" "36"
"348" "Tfas_chr12" "22000001" "2.3e+07" "61"
"349" "Tfas_chr12" "23000001" "2.4e+07" "49"
"350" "Tfas_chr12" "24000001" "2.5e+07" "51"
"351" "Tfas_chr12" "25000001" "2.6e+07" "26"
"352" "Tfas_chr13" "1" "1e+06" "98"
"353" "Tfas_chr13" "1000001" "2e+06" "96"
"354" "Tfas_chr13" "2000001" "3e+06" "130"
"355" "Tfas_chr13" "3000001" "4e+06" "97"
"356" "Tfas_chr13" "4000001" "5e+06" "69"
"357" "Tfas_chr13" "5000001" "6e+06" "48"
"358" "Tfas_chr13" "6000001" "7e+06" "36"
"359" "Tfas_chr13" "7000001" "8e+06" "24"
"360" "Tfas_chr13" "8000001" "9e+06" "18"
"361" "Tfas_chr13" "9000001" "1e+07" "18"
"362" "Tfas_chr13" "10000001" "1.1e+07" "6"
"363" "Tfas_chr13" "11000001" "1.2e+07" "6"
"364" "Tfas_chr13" "12000001" "1.3e+07" "6"
"365" "Tfas_chr13" "13000001" "1.4e+07" "10"
"366" "Tfas_chr13" "14000001" "1.5e+07" "8"
"367" "Tfas_chr13" "15000001" "1.6e+07" "6"
"368" "Tfas_chr13" "16000001" "1.7e+07" "12"
"369" "Tfas_chr13" "17000001" "1.8e+07" "16"
"370" "Tfas_chr13" "18000001" "1.9e+07" "15"
"371" "Tfas_chr13" "19000001" "2e+07" "24"
"372" "Tfas_chr13" "20000001" "2.1e+07" "12"
"373" "Tfas_chr13" "21000001" "2.2e+07" "18"
"374" "Tfas_chr13" "22000001" "2.3e+07" "24"
"375" "Tfas_chr13" "23000001" "2.4e+07" "53"
"376" "Tfas_chr13" "24000001" "2.5e+07" "75"
"377" "Tfas_chr14" "1" "1e+06" "99"
"378" "Tfas_chr14" "1000001" "2e+06" "108"
"379" "Tfas_chr14" "2000001" "3e+06" "104"
"380" "Tfas_chr14" "3000001" "4e+06" "97"
"381" "Tfas_chr14" "4000001" "5e+06" "49"
"382" "Tfas_chr14" "5000001" "6e+06" "25"
"383" "Tfas_chr14" "6000001" "7e+06" "13"
"384" "Tfas_chr14" "7000001" "8e+06" "11"
"385" "Tfas_chr14" "8000001" "9e+06" "17"
"386" "Tfas_chr14" "9000001" "1e+07" "15"
"387" "Tfas_chr14" "10000001" "1.1e+07" "15"
"388" "Tfas_chr14" "11000001" "1.2e+07" "5"
"389" "Tfas_chr14" "12000001" "1.3e+07" "11"
"390" "Tfas_chr14" "13000001" "1.4e+07" "13"
"391" "Tfas_chr14" "14000001" "1.5e+07" "4"
"392" "Tfas_chr14" "15000001" "1.6e+07" "12"
"393" "Tfas_chr14" "16000001" "1.7e+07" "3"
"394" "Tfas_chr14" "17000001" "1.8e+07" "9"
"395" "Tfas_chr14" "18000001" "1.9e+07" "7"
"396" "Tfas_chr14" "19000001" "2e+07" "9"
"397" "Tfas_chr14" "20000001" "2.1e+07" "15"
"398" "Tfas_chr14" "21000001" "2.2e+07" "17"
"399" "Tfas_chr14" "22000001" "2.3e+07" "19"
"400" "Tfas_chr14" "23000001" "2.4e+07" "41"
"401" "Tfas_chr14" "24000001" "2.5e+07" "32"
"402" "Tfas_chr15" "1" "1e+06" "87"
"403" "Tfas_chr15" "1000001" "2e+06" "42"
"404" "Tfas_chr15" "2000001" "3e+06" "23"
"405" "Tfas_chr15" "3000001" "4e+06" "27"
"406" "Tfas_chr15" "4000001" "5e+06" "23"
"407" "Tfas_chr15" "5000001" "6e+06" "6"
"408" "Tfas_chr15" "6000001" "7e+06" "10"
"409" "Tfas_chr15" "7000001" "8e+06" "19"
"410" "Tfas_chr15" "8000001" "9e+06" "13"
"411" "Tfas_chr15" "9000001" "1e+07" "10"
"412" "Tfas_chr15" "10000001" "1.1e+07" "10"
"413" "Tfas_chr15" "11000001" "1.2e+07" "13"
"414" "Tfas_chr15" "12000001" "1.3e+07" "10"
"415" "Tfas_chr15" "13000001" "1.4e+07" "7"
"416" "Tfas_chr15" "14000001" "1.5e+07" "5"
"417" "Tfas_chr15" "15000001" "1.6e+07" "9"
"418" "Tfas_chr15" "16000001" "1.7e+07" "35"
"419" "Tfas_chr15" "17000001" "1.8e+07" "32"
"420" "Tfas_chr15" "18000001" "1.9e+07" "35"
"421" "Tfas_chr15" "19000001" "2e+07" "83"
"422" "Tfas_chr15" "20000001" "2.1e+07" "105"
"423" "Tfas_chr15" "21000001" "2.2e+07" "97"
"424" "Tfas_chr15" "22000001" "2.3e+07" "125"
"425" "Tfas_chr15" "23000001" "2.4e+07" "80"
"426" "Tfas_chr16" "1" "1e+06" "80"
"427" "Tfas_chr16" "1000001" "2e+06" "39"
"428" "Tfas_chr16" "2000001" "3e+06" "51"
"429" "Tfas_chr16" "3000001" "4e+06" "34"
"430" "Tfas_chr16" "4000001" "5e+06" "19"
"431" "Tfas_chr16" "5000001" "6e+06" "9"
"432" "Tfas_chr16" "6000001" "7e+06" "7"
"433" "Tfas_chr16" "7000001" "8e+06" "6"
"434" "Tfas_chr16" "8000001" "9e+06" "15"
"435" "Tfas_chr16" "9000001" "1e+07" "12"
"436" "Tfas_chr16" "10000001" "1.1e+07" "14"
"437" "Tfas_chr16" "11000001" "1.2e+07" "13"
"438" "Tfas_chr16" "12000001" "1.3e+07" "12"
"439" "Tfas_chr16" "13000001" "1.4e+07" "11"
"440" "Tfas_chr16" "14000001" "1.5e+07" "20"
"441" "Tfas_chr16" "15000001" "1.6e+07" "7"
"442" "Tfas_chr16" "16000001" "1.7e+07" "14"
"443" "Tfas_chr16" "17000001" "1.8e+07" "11"
"444" "Tfas_chr16" "18000001" "1.9e+07" "38"
"445" "Tfas_chr16" "19000001" "2e+07" "63"
"446" "Tfas_chr16" "20000001" "2.1e+07" "77"
"447" "Tfas_chr16" "21000001" "2.2e+07" "94"
"448" "Tfas_chr16" "22000001" "2.3e+07" "125"
"449" "Tfas_chr16" "23000001" "2.4e+07" "75"
"450" "Tfas_chr17" "1" "1e+06" "7"
"451" "Tfas_chr17" "1000001" "2e+06" "9"
"452" "Tfas_chr17" "2000001" "3e+06" "12"
"453" "Tfas_chr17" "3000001" "4e+06" "8"
"454" "Tfas_chr17" "4000001" "5e+06" "8"
"455" "Tfas_chr17" "5000001" "6e+06" "6"
"456" "Tfas_chr17" "6000001" "7e+06" "12"
"457" "Tfas_chr17" "7000001" "8e+06" "13"
"458" "Tfas_chr17" "8000001" "9e+06" "27"
"459" "Tfas_chr17" "9000001" "1e+07" "43"
"460" "Tfas_chr17" "10000001" "1.1e+07" "40"
"461" "Tfas_chr17" "11000001" "1.2e+07" "6"
"462" "Tfas_chr17" "12000001" "1.3e+07" "16"
"463" "Tfas_chr17" "13000001" "1.4e+07" "18"
"464" "Tfas_chr17" "14000001" "1.5e+07" "31"
"465" "Tfas_chr17" "15000001" "1.6e+07" "18"
"466" "Tfas_chr17" "16000001" "1.7e+07" "55"
"467" "Tfas_chr17" "17000001" "1.8e+07" "103"
"468" "Tfas_chr17" "18000001" "1.9e+07" "106"
"469" "Tfas_chr17" "19000001" "2e+07" "122"
"470" "Tfas_chr17" "20000001" "2.1e+07" "119"
"471" "Tfas_chr17" "21000001" "2.2e+07" "67"
"472" "Tfas_chr18" "1" "1e+06" "122"
"473" "Tfas_chr18" "1000001" "2e+06" "123"
"474" "Tfas_chr18" "2000001" "3e+06" "103"
"475" "Tfas_chr18" "3000001" "4e+06" "68"
"476" "Tfas_chr18" "4000001" "5e+06" "39"
"477" "Tfas_chr18" "5000001" "6e+06" "30"
"478" "Tfas_chr18" "6000001" "7e+06" "19"
"479" "Tfas_chr18" "7000001" "8e+06" "11"
