Category	ID	Term	adj_pval_tfas	adj_pval_tlei	Genes
MF	GO:0052723	inositol hexakisphosphate 1-kinase activity	0.00338	0.0344	Tfasc_v1.04834-RA, Tfasc_v1.04836-RA, Tlei_v1.08035-RA
MF	GO:0052724	inositol hexakisphosphate 3-kinase activity	0.00338	0.0344	Tfasc_v1.04834-RA, Tfasc_v1.04836-RA, Tlei_v1.08035-RA
BP	GO:0098507	polynucleotide 5' dephosphorylation	NA	0.0386	Tlei_v1.05537-RA
MF	GO:0071917	triose-phosphate transmembrane transporter activity	0.00661	0.0068	Tfasc_v1.02314-RA, Tfasc_v1.26941-RA, Tlei_v1.26913-RA, Tlei_v1.28581-RA
MF	GO:0080019	fatty-acyl-CoA reductase (alcohol-forming) activity	NA	0.0363	Tlei_v1.09195-RA, Tlei_v1.22476-RA
MF	GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	NA	0.0034	Tlei_v1.00158-RA, Tlei_v1.00357-RB, Tlei_v1.01541-RA, Tlei_v1.02807-RA, Tlei_v1.04973-RA, Tlei_v1.06549-RA, Tlei_v1.06687-RA, Tlei_v1.07670-RA, Tlei_v1.10209-RA, Tlei_v1.11069-RA, Tlei_v1.12603-RA, Tlei_v1.14619-RA, Tlei_v1.15794-RA, Tlei_v1.17392-RA, Tlei_v1.19066-RA, Tlei_v1.20461-RA, Tlei_v1.27475-RA, Tlei_v1.27476-RA, Tlei_v1.29516-RA, Tlei_v1.30605-RA
CC	GO:0005829	cytosol	0.00989	0.0242	Tfasc_v1.00141-RA, Tfasc_v1.00598-RA, Tfasc_v1.00747-RA, Tfasc_v1.01001-RA, Tfasc_v1.01242-RA, Tfasc_v1.01545-RA, Tfasc_v1.03325-RA, Tfasc_v1.03333-RA, Tfasc_v1.04317-RA, Tfasc_v1.04386-RA, Tfasc_v1.04514-RA, Tfasc_v1.04834-RA, Tfasc_v1.04836-RA, Tfasc_v1.04936-RA, Tfasc_v1.06380-RA, Tfasc_v1.06550-RA, Tfasc_v1.07899-RA, Tfasc_v1.08419-RA, Tfasc_v1.08546-RA, Tfasc_v1.08596-RA, Tfasc_v1.09008-RA, Tfasc_v1.09221-RA, Tfasc_v1.11259-RA, Tfasc_v1.11787-RA, Tfasc_v1.12091-RA, Tfasc_v1.12343-RA, Tfasc_v1.13968-RA, Tfasc_v1.13975-RA, Tfasc_v1.14287-RA, Tfasc_v1.15588-RA, Tfasc_v1.16311-RA, Tfasc_v1.16730-RA, Tfasc_v1.17064-RA, Tfasc_v1.17156-RA, Tfasc_v1.17256-RA, Tfasc_v1.17464-RA, Tfasc_v1.17555-RA, Tfasc_v1.17835-RA, Tfasc_v1.17836-RA, Tfasc_v1.19257-RA, Tfasc_v1.20194-RA, Tfasc_v1.20893-RA, Tfasc_v1.21514-RA, Tfasc_v1.23614-RA, Tfasc_v1.25856-RA, Tfasc_v1.26280-RA, Tfasc_v1.26429-RA, Tfasc_v1.26899-RA, Tfasc_v1.27782-RA, Tfasc_v1.27863-RA, Tfasc_v1.28063-RA, Tfasc_v1.30560-RA, Tlei_v1.00109-RA, Tlei_v1.01663-RA, Tlei_v1.02897-RA, Tlei_v1.02911-RA, Tlei_v1.03548-RA, Tlei_v1.04094-RA, Tlei_v1.04892-RA, Tlei_v1.05227-RA, Tlei_v1.05457-RA, Tlei_v1.06078-RA, Tlei_v1.06877-RA, Tlei_v1.08035-RA, Tlei_v1.08225-RA, Tlei_v1.08351-RA, Tlei_v1.08393-RA, Tlei_v1.08538-RA, Tlei_v1.09935-RA, Tlei_v1.11049-RA, Tlei_v1.13018-RA, Tlei_v1.13491-RA, Tlei_v1.14431-RA, Tlei_v1.15852-RA, Tlei_v1.15895-RA, Tlei_v1.16139-RA, Tlei_v1.17228-RA, Tlei_v1.18018-RA, Tlei_v1.19096-RA, Tlei_v1.19318-RA, Tlei_v1.19474-RA, Tlei_v1.20422-RA, Tlei_v1.21044-RA, Tlei_v1.21155-RA, Tlei_v1.22140-RA, Tlei_v1.23012-RA, Tlei_v1.23283-RA, Tlei_v1.23407-RA, Tlei_v1.25752-RA, Tlei_v1.25864-RA, Tlei_v1.26369-RA, Tlei_v1.26455-RA, Tlei_v1.27009-RA, Tlei_v1.27216-RA, Tlei_v1.28005-RA, Tlei_v1.28155-RA, Tlei_v1.28626-RA, Tlei_v1.29570-RA, Tlei_v1.29835-RA, Tlei_v1.29938-RA, Tlei_v1.30143-RA
MF	GO:0009976	tocopherol cyclase activity	0.03399	0.0344	Tfasc_v1.16492-RA, Tlei_v1.07069-RA
BP	GO:0017186	peptidyl-pyroglutamic acid biosynthetic process, using glutaminyl-peptide cyclotransferase	0.03623	NA	Tfasc_v1.20771-RA
MF	GO:0045551	cinnamyl-alcohol dehydrogenase activity	0.00072	0.0162	Tfasc_v1.03333-RA, Tfasc_v1.11028-RA, Tfasc_v1.26137-RA, Tlei_v1.03688-RA, Tlei_v1.12479-RA
BP	GO:0006165	nucleoside diphosphate phosphorylation	0.04759	NA	Tfasc_v1.02154-RA, Tfasc_v1.03325-RA, Tfasc_v1.04514-RA, Tfasc_v1.09221-RA, Tfasc_v1.11787-RA, Tfasc_v1.17464-RA, Tfasc_v1.18809-RA, Tfasc_v1.20370-RA, Tfasc_v1.21461-RA, Tfasc_v1.24086-RA, Tfasc_v1.26860-RA
BP	GO:0006378	mRNA polyadenylation	0.01264	NA	Tfasc_v1.00228-RA, Tfasc_v1.02322-RA, Tfasc_v1.14781-RA, Tfasc_v1.19063-RA, Tfasc_v1.21514-RA
MF	GO:0050342	tocopherol O-methyltransferase activity	0.03399	NA	Tfasc_v1.11573-RA
MF	GO:0008942	nitrite reductase [NAD(P)H] activity	NA	0.0344	Tlei_v1.23090-RA
CC	GO:0030688	preribosome, small subunit precursor	0.00089	0.0432	Tfasc_v1.03365-RA, Tfasc_v1.05279-RA, Tfasc_v1.17835-RA, Tfasc_v1.17836-RA, Tlei_v1.09333-RA, Tlei_v1.28155-RA
BP	GO:0015709	thiosulfate transport	0.03623	NA	Tfasc_v1.08739-RA
MF	GO:0003934	GTP cyclohydrolase I activity	0.03399	0.0344	Tfasc_v1.15129-RA, Tlei_v1.21871-RA
BP	GO:0017006	protein-tetrapyrrole linkage	0.01218	0.0137	Tfasc_v1.13157-RA, Tfasc_v1.27664-RA, Tlei_v1.10984-RA, Tlei_v1.29955-RA
BP	GO:0000717	nucleotide-excision repair, DNA duplex unwinding	0.00384	NA	Tfasc_v1.29344-RA, Tfasc_v1.29346-RA
CC	GO:0000221	vacuolar proton-transporting V-type ATPase, V1 domain	0.00451	NA	Tfasc_v1.17712-RA, Tfasc_v1.19742-RA, Tfasc_v1.24696-RA
MF	GO:0030170	pyridoxal phosphate binding	0.00535	0.0319	Tfasc_v1.01748-RA, Tfasc_v1.03489-RA, Tfasc_v1.08546-RA, Tfasc_v1.16223-RA, Tfasc_v1.17586-RA, Tfasc_v1.23614-RA, Tfasc_v1.24783-RA, Tfasc_v1.25856-RA, Tfasc_v1.26860-RA, Tlei_v1.04110-RA, Tlei_v1.09448-RA, Tlei_v1.13491-RA, Tlei_v1.23012-RA, Tlei_v1.26112-RA, Tlei_v1.26482-RA, Tlei_v1.28626-RA
MF	GO:0009881	photoreceptor activity	0.02819	0.0289	Tfasc_v1.13157-RA, Tfasc_v1.27664-RA, Tlei_v1.10984-RA, Tlei_v1.29955-RA
BP	GO:0018230	peptidyl-L-cysteine S-palmitoylation	NA	0.0108	Tlei_v1.12379-RA, Tlei_v1.22109-RA, Tlei_v1.26414-RA, Tlei_v1.28908-RA
CC	GO:0009941	chloroplast envelope	NA	0.0236	Tlei_v1.04110-RA, Tlei_v1.05465-RA, Tlei_v1.10140-RA, Tlei_v1.10972-RA, Tlei_v1.11062-RA, Tlei_v1.19066-RA, Tlei_v1.20391-RA, Tlei_v1.22140-RA, Tlei_v1.22486-RA, Tlei_v1.23090-RA, Tlei_v1.23795-RA, Tlei_v1.26913-RA, Tlei_v1.27965-RA, Tlei_v1.29105-RA, Tlei_v1.29731-RA, Tlei_v1.31471-RA, Tlei_v1.31622-RA
MF	GO:0016603	glutaminyl-peptide cyclotransferase activity	0.03399	NA	Tfasc_v1.20771-RA
MF	GO:0080025	phosphatidylinositol-3,5-bisphosphate binding	0.01077	NA	Tfasc_v1.26429-RA, Tfasc_v1.27782-RA
MF	GO:0004427	inorganic diphosphatase activity	0.01572	NA	Tfasc_v1.09008-RA, Tfasc_v1.17064-RA, Tfasc_v1.25341-RA
BP	GO:0045053	protein retention in Golgi apparatus	NA	0.0016	Tlei_v1.00868-RA, Tlei_v1.08954-RA, Tlei_v1.11703-RA, Tlei_v1.11705-RA, Tlei_v1.16555-RA
MF	GO:0030976	thiamine pyrophosphate binding	0.03544	NA	Tfasc_v1.06259-RA, Tfasc_v1.27863-RA
BP	GO:0035998	7,8-dihydroneopterin 3'-triphosphate biosynthetic process	0.03623	0.0386	Tfasc_v1.15129-RA, Tlei_v1.21871-RA
BP	GO:0010378	temperature compensation of the circadian clock	0.03623	0.0386	Tfasc_v1.14652-RA, Tlei_v1.21413-RA
BP	GO:1900363	regulation of mRNA polyadenylation	0.03617	NA	Tfasc_v1.00228-RA, Tfasc_v1.19063-RA
MF	GO:0004737	pyruvate decarboxylase activity	0.03399	0.0344	Tfasc_v1.27863-RA, Tlei_v1.30143-RA
BP	GO:0001682	tRNA 5'-leader removal	0.02438	0.0201	Tfasc_v1.13080-RA, Tfasc_v1.18502-RA, Tlei_v1.10917-RA, Tlei_v1.15908-RA
BP	GO:0006364	rRNA processing	0.00023	NA	Tfasc_v1.03365-RA, Tfasc_v1.05279-RA, Tfasc_v1.07889-RA, Tfasc_v1.08551-RA, Tfasc_v1.09454-RA, Tfasc_v1.10560-RA, Tfasc_v1.11802-RA, Tfasc_v1.11809-RA, Tfasc_v1.13080-RA, Tfasc_v1.17835-RA, Tfasc_v1.17836-RA, Tfasc_v1.18502-RA, Tfasc_v1.21514-RA, Tfasc_v1.26452-RA, Tfasc_v1.27134-RA, Tfasc_v1.27483-RA, Tfasc_v1.28063-RA, Tfasc_v1.29359-RA, Tfasc_v1.29834-RA, Tfasc_v1.29840-RA
MF	GO:0004631	phosphomevalonate kinase activity	0.03399	NA	Tfasc_v1.02234-RA
MF	GO:0015140	malate transmembrane transporter activity	0.00661	NA	Tfasc_v1.08739-RA, Tfasc_v1.19779-RA
CC	GO:0016471	vacuolar proton-transporting V-type ATPase complex	0.00368	0.0014	Tfasc_v1.03307-RA, Tfasc_v1.09378-RA, Tfasc_v1.17712-RA, Tfasc_v1.18209-RA, Tfasc_v1.19742-RA, Tfasc_v1.24696-RA, Tlei_v1.03708-RA, Tlei_v1.04787-RA, Tlei_v1.05119-RA, Tlei_v1.08884-RA, Tlei_v1.24006-RA
MF	GO:0005524	ATP binding	NA	0.0269	Tlei_v1.00008-RA, Tlei_v1.00812-RB, Tlei_v1.01742-RA, Tlei_v1.02312-RA, Tlei_v1.03534-RA, Tlei_v1.03694-RA, Tlei_v1.03708-RA, Tlei_v1.03835-RA, Tlei_v1.03838-RA, Tlei_v1.04953-RA, Tlei_v1.05046-RA, Tlei_v1.05310-RA, Tlei_v1.07912-RA, Tlei_v1.08035-RA, Tlei_v1.08225-RA, Tlei_v1.09107-RA, Tlei_v1.09292-RA, Tlei_v1.09333-RA, Tlei_v1.09624-RA, Tlei_v1.09706-RA, Tlei_v1.09935-RA, Tlei_v1.10315-RA, Tlei_v1.10396-RA, Tlei_v1.11108-RA, Tlei_v1.13520-RA, Tlei_v1.13809-RA, Tlei_v1.14880-RA, Tlei_v1.14903-RA, Tlei_v1.15343-RA, Tlei_v1.15670-RA, Tlei_v1.15740-RA, Tlei_v1.15751-RA, Tlei_v1.15852-RA, Tlei_v1.15869-RA, Tlei_v1.15895-RA, Tlei_v1.16463-RA, Tlei_v1.16761-RB, Tlei_v1.17077-RA, Tlei_v1.18321-RA, Tlei_v1.18414-RA, Tlei_v1.18557-RA, Tlei_v1.18572-RA, Tlei_v1.19472-RA, Tlei_v1.19550-RA, Tlei_v1.20031-RA, Tlei_v1.20422-RA, Tlei_v1.20481-RA, Tlei_v1.20642-RA, Tlei_v1.21334-RA, Tlei_v1.21475-RA, Tlei_v1.21569-RA, Tlei_v1.21718-RA, Tlei_v1.23795-RA, Tlei_v1.24070-RA, Tlei_v1.24288-RA, Tlei_v1.25443-RA, Tlei_v1.25752-RA, Tlei_v1.25768-RA, Tlei_v1.25989-RA, Tlei_v1.26053-RA, Tlei_v1.26443-RA, Tlei_v1.27009-RA, Tlei_v1.27053-RC, Tlei_v1.27925-RA, Tlei_v1.28155-RA, Tlei_v1.29217-RA, Tlei_v1.29252-RA, Tlei_v1.29485-RA, Tlei_v1.29610-RA, Tlei_v1.29698-RA, Tlei_v1.29705-RA, Tlei_v1.30055-RA, Tlei_v1.30100-RA, Tlei_v1.30547-RA, Tlei_v1.30699-RA, Tlei_v1.30878-RA, Tlei_v1.31202-RA, Tlei_v1.31408-RA, Tlei_v1.31471-RA, Tlei_v1.31722-RA, Tlei_v1.31989-RA
MF	GO:0008398	sterol 14-demethylase activity	0.03399	NA	Tfasc_v1.21912-RA
BP	GO:0007623	circadian rhythm	0.01952	NA	Tfasc_v1.06749-RA, Tfasc_v1.11797-RA, Tfasc_v1.13975-RA, Tfasc_v1.14652-RA, Tfasc_v1.21339-RA, Tfasc_v1.23066-RA
MF	GO:0020037	heme binding	0.00197	0.0032	Tfasc_v1.00779-RA, Tfasc_v1.00839-RA, Tfasc_v1.00840-RA, Tfasc_v1.07798-RA, Tfasc_v1.08596-RA, Tfasc_v1.08668-RA, Tfasc_v1.10919-RA, Tfasc_v1.12645-RA, Tfasc_v1.13776-RA, Tfasc_v1.14246-RA, Tfasc_v1.16132-RA, Tfasc_v1.17157-RA, Tfasc_v1.17172-RA, Tfasc_v1.18352-RA, Tfasc_v1.19742-RA, Tfasc_v1.20759-RA, Tfasc_v1.21339-RA, Tfasc_v1.21912-RA, Tfasc_v1.22716-RA, Tfasc_v1.23631-RA, Tfasc_v1.27051-RA, Tfasc_v1.28072-RA, Tlei_v1.01541-RA, Tlei_v1.02807-RA, Tlei_v1.04973-RA, Tlei_v1.06687-RA, Tlei_v1.08884-RA, Tlei_v1.10209-RA, Tlei_v1.11069-RA, Tlei_v1.12603-RA, Tlei_v1.13347-RA, Tlei_v1.15794-RA, Tlei_v1.17388-RA, Tlei_v1.19066-RA, Tlei_v1.19583-RA, Tlei_v1.19818-RA, Tlei_v1.20461-RA, Tlei_v1.22988-RA, Tlei_v1.27475-RA, Tlei_v1.27476-RA, Tlei_v1.29516-RA, Tlei_v1.30605-RA
BP	GO:0006624	vacuolar protein processing	NA	0.0137	Tlei_v1.29197-RA, Tlei_v1.29211-RA
BP	GO:0006623	protein targeting to vacuole	NA	0.022	Tlei_v1.00868-RA, Tlei_v1.03587-RA, Tlei_v1.08954-RA, Tlei_v1.11703-RA, Tlei_v1.11705-RA, Tlei_v1.16555-RA
BP	GO:0034497	protein localization to phagophore assembly site	0.03983	NA	Tfasc_v1.26429-RA, Tfasc_v1.27782-RA
MF	GO:0046316	gluconokinase activity	0.03399	0.0344	Tfasc_v1.28118-RA, Tlei_v1.29485-RA
BP	GO:2001007	negative regulation of cellulose biosynthetic process	0.03623	0.0386	Tfasc_v1.13975-RA, Tlei_v1.19318-RA
BP	GO:0048255	mRNA stabilization	0.03623	NA	Tfasc_v1.07867-RA
BP	GO:0032958	inositol phosphate biosynthetic process	0.03983	NA	Tfasc_v1.04834-RA, Tfasc_v1.04836-RA
MF	GO:0008553	P-type proton-exporting transporter activity	0.02179	0.0036	Tfasc_v1.09378-RA, Tfasc_v1.17712-RA, Tfasc_v1.18209-RA, Tlei_v1.04787-RA, Tlei_v1.05119-RA, Tlei_v1.24006-RA, Tlei_v1.30675-RA
BP	GO:0010345	suberin biosynthetic process	NA	0.0446	Tlei_v1.03534-RA, Tlei_v1.22476-RA
BP	GO:0048016	inositol phosphate-mediated signaling	0.03623	0.0386	Tfasc_v1.28989-RA, Tlei_v1.18318-RA
MF	GO:0102092	5-diphosphoinositol pentakisphosphate 3-kinase activity	0.00338	0.0344	Tfasc_v1.04834-RA, Tfasc_v1.04836-RA, Tlei_v1.08035-RA
MF	GO:0052861	glucan endo-1,3-beta-glucanase activity, C-3 substituted reducing group	NA	0.0344	Tlei_v1.01526-RB
BP	GO:1900425	negative regulation of defense response to bacterium	0.03623	NA	Tfasc_v1.26899-RA
CC	GO:0033179	proton-transporting V-type ATPase, V0 domain	0.00017	3.8e-06	Tfasc_v1.01733-RA, Tfasc_v1.03307-RA, Tfasc_v1.09378-RA, Tfasc_v1.16080-RA, Tfasc_v1.21051-RA, Tlei_v1.03708-RA, Tlei_v1.06629-RA, Tlei_v1.16099-RA, Tlei_v1.17869-RA, Tlei_v1.24006-RA, Tlei_v1.27461-RA
CC	GO:0030687	preribosome, large subunit precursor	NA	0.0383	Tlei_v1.13971-RA, Tlei_v1.15883-RA, Tlei_v1.29570-RA, Tlei_v1.29836-RA
BP	GO:0006103	2-oxoglutarate metabolic process	0.03623	0.0386	Tfasc_v1.17586-RA, Tlei_v1.26482-RA
BP	GO:0010608	posttranscriptional regulation of gene expression	NA	0.0452	Tlei_v1.01700-RA, Tlei_v1.15508-RA, Tlei_v1.19219-RA, Tlei_v1.26202-RA, Tlei_v1.28598-RA
MF	GO:0047652	allantoate deiminase activity	0.03399	0.0344	Tfasc_v1.25105-RA, Tlei_v1.31428-RA
MF	GO:0005245	voltage-gated calcium channel activity	0.00115	0.0344	Tfasc_v1.09969-RA, Tfasc_v1.09970-RB, Tlei_v1.24654-RA
BP	GO:2000653	regulation of genetic imprinting	NA	0.0386	Tlei_v1.08282-RA
MF	GO:0004057	arginyltransferase activity	0.03399	NA	Tfasc_v1.12130-RA
BP	GO:0005983	starch catabolic process	0.0103	NA	Tfasc_v1.06749-RA, Tfasc_v1.23043-RA, Tfasc_v1.27353-RA
MF	GO:0048307	ferredoxin-nitrite reductase activity	0.03399	0.0344	Tfasc_v1.08668-RA, Tlei_v1.13347-RA
BP	GO:1902600	proton transmembrane transport	3.9e-05	1e-07	Tfasc_v1.01733-RA, Tfasc_v1.03307-RA, Tfasc_v1.04825-RA, Tfasc_v1.09378-RA, Tfasc_v1.12282-RA, Tfasc_v1.14165-RA, Tfasc_v1.14724-RA, Tfasc_v1.15749-RA, Tfasc_v1.16080-RA, Tfasc_v1.17578-RA, Tfasc_v1.17712-RA, Tfasc_v1.18209-RA, Tfasc_v1.19742-RA, Tfasc_v1.21051-RA, Tfasc_v1.24559-RA, Tfasc_v1.24696-RA, Tfasc_v1.25154-RA, Tfasc_v1.25341-RA, Tlei_v1.03587-RA, Tlei_v1.03708-RA, Tlei_v1.04787-RA, Tlei_v1.05119-RA, Tlei_v1.06629-RA, Tlei_v1.08884-RA, Tlei_v1.09881-RA, Tlei_v1.16099-RA, Tlei_v1.17232-RA, Tlei_v1.17869-RA, Tlei_v1.21415-RA, Tlei_v1.21475-RA, Tlei_v1.22486-RA, Tlei_v1.24006-RA, Tlei_v1.27461-RA, Tlei_v1.30675-RA, Tlei_v1.31471-RA
BP	GO:0035436	triose phosphate transmembrane transport	0.00749	0.0085	Tfasc_v1.02314-RA, Tfasc_v1.26941-RA, Tlei_v1.26913-RA, Tlei_v1.28581-RA
BP	GO:1902356	oxaloacetate(2-) transmembrane transport	0.00131	NA	Tfasc_v1.08739-RA, Tfasc_v1.19779-RA
CC	GO:0019898	extrinsic component of membrane	NA	0.0381	Tlei_v1.00868-RA, Tlei_v1.08954-RA, Tlei_v1.10260-RA, Tlei_v1.11703-RA, Tlei_v1.11705-RA, Tlei_v1.16555-RA, Tlei_v1.29835-RA
BP	GO:0010845	positive regulation of reciprocal meiotic recombination	NA	0.0386	Tlei_v1.25610-RA
MF	GO:0004691	cAMP-dependent protein kinase activity	NA	0.0344	Tlei_v1.30699-RA
