Orthogroup	Acomosus	T.fasciculata	T.leiboldiana
OG0020202	Aco004174.1		
OG0020203	Aco004233.1		
OG0020204	Aco004223.1		
OG0020205	Aco004222.1		
OG0020206	Aco004245.1		
OG0020207	Aco004265.1		
OG0020208	Aco004298.1		
OG0020209	Aco004309.1		
OG0020210	Aco004302.1		
OG0020211	Aco004312.1		
OG0020212	Aco004342.1		
OG0020213	Aco004344.1		
OG0020214	Aco004361.1		
OG0020215	Aco004357.1		
OG0020216	Aco004387.1		
OG0020217	Aco004401.1		
OG0020218	Aco004402.1		
OG0020219	Aco004440.1		
OG0020220	Aco004460.1		
OG0020221	Aco004472.1		
OG0020222	Aco004494.1		
OG0020223	Aco004487.1		
OG0020224	Aco004504.1		
OG0020225	Aco004505.1		
OG0020226	Aco004530.1		
OG0020227	Aco004597.1		
OG0020228	Aco004606.1		
OG0020229	Aco004614.1		
OG0020230	Aco004624.1		
OG0020231	Aco004651.1		
OG0020232	Aco004678.1		
OG0020233	Aco004683.1		
OG0020234	Aco004710.1		
OG0020235	Aco004713.1		
OG0020236	Aco004712.1		
OG0020237	Aco004753.1		
OG0020238	Aco004740.1		
OG0020239	Aco004767.1		
OG0020240	Aco004807.1		
OG0020241	Aco005317.1		
OG0020242	Aco005328.1		
OG0020243	Aco005339.1		
OG0020244	Aco005367.1		
OG0020245	Aco005382.1		
OG0020246	Aco005387.1		
OG0020247	Aco005425.1		
OG0020248	Aco005463.1		
OG0020249	Aco005480.1		
OG0020250	Aco005487.1		
OG0020251	Aco005507.1		
OG0020252	Aco005509.1		
OG0020253	Aco005511.1		
OG0020254	Aco005528.1		
OG0020255	Aco005543.1		
OG0020256	Aco005551.1		
OG0020257	Aco005571.1		
OG0020258	Aco005576.1		
OG0020259	Aco005653.1		
OG0020260	Aco005656.1		
OG0020261	Aco005694.1		
OG0020262	Aco005693.1		
OG0020263	Aco005720.1		
OG0020264	Aco005721.1		
OG0020265	Aco005738.1		
OG0020266	Aco005753.1		
OG0020267	Aco005781.1		
OG0020268	Aco005818.1		
OG0020269	Aco005815.1		
OG0020270	Aco005809.1		
OG0020271	Aco005810.1		
OG0020272	Aco004826.1		
OG0020273	Aco004838.1		
OG0020274	Aco004840.1		
OG0020275	Aco004852.1		
OG0020276	Aco004879.1		
OG0020277	Aco004883.1		
OG0020278	Aco004896.1		
OG0020279	Aco004912.1		
OG0020280	Aco004936.1		
OG0020281	Aco004961.1		
OG0020282	Aco004948.1		
OG0020283	Aco004975.1		
OG0020284	Aco004992.1		
OG0020285	Aco005021.1		
OG0020286	Aco005032.1		
OG0020287	Aco005026.1		
OG0020288	Aco005028.1		
OG0020289	Aco005050.1		
OG0020290	Aco005058.1		
OG0020291	Aco005076.1		
OG0020292	Aco005093.1		
OG0020293	Aco005081.1		
OG0020294	Aco005102.1		
OG0020295	Aco005142.1		
OG0020296	Aco005162.1		
OG0020297	Aco005174.1		
OG0020298	Aco005215.1		
OG0020299	Aco005222.1		
OG0020300	Aco005250.1		
OG0020301	Aco005256.1		
OG0020302	Aco005297.1		
OG0020303	Aco005310.1		
OG0020304	Aco005826.1		
OG0020305	Aco005829.1		
OG0020306	Aco005828.1		
OG0020307	Aco005861.1		
OG0020308	Aco005856.1		
OG0020309	Aco005914.1		
OG0020310	Aco005934.1		
OG0020311	Aco005926.1		
OG0020312	Aco005942.1		
OG0020313	Aco005964.1		
OG0020314	Aco006000.1		
OG0020315	Aco006001.1		
OG0020316	Aco006023.1		
OG0020317	Aco006070.1		
OG0020318	Aco006091.1		
OG0020319	Aco006104.1		
OG0020320	Aco006113.1		
OG0020321	Aco006119.1		
OG0020322	Aco006135.1		
OG0020323	Aco006131.1		
OG0020324	Aco006148.1		
OG0020325	Aco006187.1		
OG0020326	Aco006210.1		
OG0020327	Aco006220.1		
OG0020328	Aco006231.1		
OG0020329	Aco006245.1		
OG0020330	Aco006239.1		
OG0020331	Aco006236.1		
OG0020332	Aco010664.1		
OG0020333	Aco010727.1		
OG0020334	Aco010726.1		
OG0020335	Aco010736.1		
OG0020336	Aco010771.1		
OG0020337	Aco010800.1		
OG0020338	Aco010802.1		
OG0020339	Aco010810.1		
OG0020340	Aco010804.1		
OG0020341	Aco010817.1		
OG0020342	Aco010821.1		
OG0020343	Aco010824.1		
OG0020344	Aco010832.1		
OG0020345	Aco010833.1		
OG0020346	Aco010869.1		
OG0020347	Aco010873.1		
OG0020348	Aco010879.1		
OG0020349	Aco010903.1		
OG0020350	Aco010904.1		
OG0020351	Aco010911.1		
OG0020352	Aco010913.1		
OG0020353	Aco010933.1		
OG0020354	Aco010923.1		
OG0020355	Aco031516.1		
OG0020356	Aco030504.1		
OG0020357	Aco031614.1		
OG0020358	Aco007009.1		
OG0020359	Aco007045.1		
OG0020360	Aco007048.1		
OG0020361	Aco007062.1		
OG0020362	Aco007055.1		
OG0020363	Aco007070.1		
OG0020364	Aco007084.1		
OG0020365	Aco007093.1		
OG0020366	Aco007097.1		
OG0020367	Aco007105.1		
OG0020368	Aco007184.1		
OG0020369	Aco007218.1		
OG0020370	Aco007242.1		
OG0020371	Aco007301.1		
OG0020372	Aco007315.1		
OG0020373	Aco007334.1		
OG0020374	Aco007353.1		
OG0020375	Aco007368.1		
OG0020376	Aco007785.1		
OG0020377	Aco007833.1		
OG0020378	Aco007852.1		
OG0020379	Aco007927.1		
OG0020380	Aco007936.1		
OG0020381	Aco007943.1		
OG0020382	Aco007948.1		
OG0020383	Aco007966.1		
OG0020384	Aco007982.1		
OG0020385	Aco007985.1		
OG0020386	Aco008010.1		
OG0020387	Aco008006.1		
OG0020388	Aco008008.1		
OG0020389	Aco008053.1		
OG0020390	Aco008064.1		
OG0020391	Aco008094.1		
OG0020392	Aco008098.1		
OG0020393	Aco008097.1		
OG0020394	Aco008111.1		
OG0020395	Aco008113.1		
OG0020396	Aco008114.1		
OG0020397	Aco008125.1		
OG0020398	Aco008121.1		
OG0020399	Aco008133.1		
OG0020400	Aco008141.1		
OG0020401	Aco029290.1		
OG0020402	Aco008198.1		
OG0020403	Aco008204.1		
OG0020404	Aco008213.1		
OG0020405	Aco008219.1		
OG0020406	Aco008218.1		
OG0020407	Aco008225.1		
OG0020408	Aco008245.1		
OG0020409	Aco008243.1		
OG0020410	Aco008250.1		
OG0020411	Aco008253.1		
OG0020412	Aco008273.1		
OG0020413	Aco008288.1		
OG0020414	Aco008286.1		
OG0020415	Aco008295.1		
OG0020416	Aco008304.1		
OG0020417	Aco008307.1		
OG0020418	Aco008328.1		
OG0020419	Aco008344.1		
OG0020420	Aco008340.1		
OG0020421	Aco008357.1		
OG0020422	Aco008374.1		
OG0020423	Aco008395.1		
OG0020424	Aco008412.1		
OG0020425	Aco008407.1		
OG0020426	Aco008454.1		
OG0020427	Aco008480.1		
OG0020428	Aco008473.1		
OG0020429	Aco029750.1		
OG0020430	Aco009808.1		
OG0020431	Aco009799.1		
OG0020432	Aco009812.1		
OG0020433	Aco009861.1		
OG0020434	Aco009871.1		
OG0020435	Aco009882.1		
OG0020436	Aco009905.1		
OG0020437	Aco009895.1		
OG0020438	Aco009942.1		
OG0020439	Aco009937.1		
OG0020440	Aco009953.1		
OG0020441	Aco009962.1		
OG0020442	Aco009963.1		
OG0020443	Aco009990.1		
OG0020444	Aco010018.1		
OG0020445	Aco010040.1		
OG0020446	Aco010039.1		
OG0020447	Aco029016.1		
OG0020448	Aco030851.1		
OG0020449	Aco029110.1		
OG0020450	Aco010371.1		
OG0020451	Aco010426.1		
OG0020452	Aco010444.1		
OG0020453	Aco010439.1		
OG0020454	Aco010447.1		
OG0020455	Aco010457.1		
OG0020456	Aco010467.1		
OG0020457	Aco010487.1		
OG0020458	Aco010484.1		
OG0020459	Aco010479.1		
OG0020460	Aco010477.1		
OG0020461	Aco010518.1		
OG0020462	Aco010551.1		
OG0020463	Aco010548.1		
OG0020464	Aco010570.1		
OG0020465	Aco010553.1		
OG0020466	Aco010580.1		
OG0020467	Aco010589.1		
OG0020468	Aco028972.1		
OG0020469	Aco031627.1		
OG0020470	Aco006251.1		
OG0020471	Aco006297.1		
OG0020472	Aco006296.1		
OG0020473	Aco006324.1		
OG0020474	Aco006342.1		
OG0020475	Aco006335.1		
OG0020476	Aco006346.1		
OG0020477	Aco006363.1		
OG0020478	Aco006367.1		
OG0020479	Aco006373.1		
OG0020480	Aco006392.1		
OG0020481	Aco006397.1		
OG0020482	Aco006398.1		
OG0020483	Aco006418.1		
OG0020484	Aco006450.1		
OG0020485	Aco006462.1		
OG0020486	Aco006514.1		
OG0020487	Aco006509.1		
OG0020488	Aco006619.1		
OG0020489	Aco006611.1		
OG0020490	Aco006632.1		
OG0020491	Aco006624.1		
OG0020492	Aco006656.1		
OG0020493	Aco006671.1		
OG0020494	Aco006673.1		
OG0020495	Aco006665.1		
OG0020496	Aco006681.1		
OG0020497	Aco006682.1		
OG0020498	Aco006691.1		
OG0020499	Aco006699.1		
OG0020500	Aco006686.1		
OG0020501	Aco006739.1		
OG0020502	Aco006763.1		
OG0020503	Aco006796.1		
OG0020504	Aco006793.1		
OG0020505	Aco006803.1		
OG0020506	Aco006810.1		
OG0020507	Aco006823.1		
OG0020508	Aco006833.1		
OG0020509	Aco006818.1		
OG0020510	Aco006829.1		
OG0020511	Aco006828.1		
OG0020512	Aco006870.1		
OG0020513	Aco006864.1		
OG0020514	Aco006869.1		
OG0020515	Aco006881.1		
OG0020516	Aco006889.1		
OG0020517	Aco006923.1		
OG0020518	Aco006935.1		
OG0020519	Aco006927.1		
OG0020520	Aco006957.1		
OG0020521	Aco006961.1		
OG0020522	Aco006967.1		
OG0020523	Aco006977.1		
OG0020524	Aco006988.1		
OG0020525	Aco006996.1		
OG0020526	Aco031732.1		
OG0020527	Aco030541.1		
OG0020528	Aco029258.1		
OG0020529	Aco028680.1		
OG0020530	Aco028682.1		
OG0020531	Aco027974.1		
OG0020532	Aco007405.1		
OG0020533	Aco007433.1		
OG0020534	Aco007437.1		
OG0020535	Aco007449.1		
OG0020536	Aco007480.1		
OG0020537	Aco007489.1		
OG0020538	Aco007505.1		
OG0020539	Aco007527.1		
OG0020540	Aco007521.1		
OG0020541	Aco007538.1		
OG0020542	Aco007542.1		
OG0020543	Aco007560.1		
OG0020544	Aco007567.1		
OG0020545	Aco007573.1		
OG0020546	Aco007603.1		
OG0020547	Aco007683.1		
OG0020548	Aco007708.1		
OG0020549	Aco007732.1		
OG0020550	Aco030250.1		
OG0020551	Aco031726.1		
OG0020552	Aco026369.1		
OG0020553	Aco030827.1		
OG0020554	Aco031105.1		
OG0020555	Aco026280.1		
OG0020556	Aco009177.1		
OG0020557	Aco009232.1		
OG0020558	Aco009253.1		
OG0020559	Aco009307.1		
OG0020560	Aco009309.1		
OG0020561	Aco009350.1		
OG0020562	Aco009364.1		
OG0020563	Aco009367.1		
OG0020564	Aco009373.1		
OG0020565	Aco009402.1		
OG0020566	Aco009413.1		
OG0020567	Aco009432.1		
OG0020568	Aco009435.1		
OG0020569	Aco009439.1		
OG0020570	Aco009447.1		
OG0020571	Aco009455.1		
OG0020572	Aco029834.1		
OG0020573	Aco029830.1		
OG0020574	Aco013781.1		
OG0020575	Aco013795.1		
OG0020576	Aco013831.1		
OG0020577	Aco013830.1		
OG0020578	Aco013829.1		
OG0020579	Aco013837.1		
OG0020580	Aco013839.1		
OG0020581	Aco013848.1		
OG0020582	Aco013853.1		
OG0020583	Aco013851.1		
OG0020584	Aco013888.1		
OG0020585	Aco013923.1		
OG0020586	Aco013928.1		
OG0020587	Aco031144.1		
OG0020588	Aco029380.1		
OG0020589	Aco028671.1		
OG0020590	Aco028783.1		
OG0020591	Aco028782.1		
OG0020592	Aco028779.1		
OG0020593	Aco029414.1		
OG0020594	Aco008506.1		
OG0020595	Aco008509.1		
OG0020596	Aco008515.1		
OG0020597	Aco008543.1		
OG0020598	Aco008571.1		
OG0020599	Aco008587.1		
OG0020600	Aco008599.1		
OG0020601	Aco008624.1		
OG0020602	Aco008612.1		
OG0020603	Aco008614.1		
OG0020604	Aco008629.1		
OG0020605	Aco008645.1		
OG0020606	Aco008685.1		
OG0020607	Aco008680.1		
OG0020608	Aco008720.1		
OG0020609	Aco008736.1		
OG0020610	Aco008739.1		
OG0020611	Aco008735.1		
OG0020612	Aco008757.1		
OG0020613	Aco008763.1		
OG0020614	Aco008776.1		
OG0020615	Aco008772.1		
OG0020616	Aco008774.1		
OG0020617	Aco008792.1		
OG0020618	Aco008782.1		
OG0020619	Aco008800.1		
OG0020620	Aco008803.1		
OG0020621	Aco008822.1		
OG0020622	Aco008827.1		
OG0020623	Aco026805.1		
OG0020624	Aco025038.1		
OG0020625	Aco008841.1		
OG0020626	Aco008837.1		
OG0020627	Aco008833.1		
OG0020628	Aco008864.1		
OG0020629	Aco008939.1		
OG0020630	Aco008956.1		
OG0020631	Aco008996.1		
OG0020632	Aco008993.1		
OG0020633	Aco008999.1		
OG0020634	Aco009015.1		
OG0020635	Aco009037.1		
OG0020636	Aco009043.1		
OG0020637	Aco009109.1		
OG0020638	Aco009114.1		
OG0020639	Aco009141.1		
OG0020640	Aco009156.1		
OG0020641	Aco023530.1		
OG0020642	Aco026162.1		
OG0020643	Aco026168.1		
OG0020644	Aco027938.1		
OG0020645	Aco026224.1		
OG0020646	Aco026222.1		
OG0020647	Aco024339.1		
OG0020648	Aco028812.1		
OG0020649	Aco031805.1		
OG0020650	Aco028625.1		
OG0020651	Aco011439.1		
OG0020652	Aco011437.1		
OG0020653	Aco011440.1		
OG0020654	Aco011455.1		
OG0020655	Aco011477.1		
OG0020656	Aco011501.1		
OG0020657	Aco011519.1		
OG0020658	Aco011517.1		
OG0020659	Aco011510.1		
OG0020660	Aco011563.1		
OG0020661	Aco011584.1		
OG0020662	Aco011604.1		
OG0020663	Aco011611.1		
OG0020664	Aco011630.1		
OG0020665	Aco029131.1		
OG0020666	Aco029129.1		
OG0020667	Aco031880.1		
OG0020668	Aco026262.1		
OG0020669	Aco026261.1		
OG0020670	Aco013344.1		
OG0020671	Aco013367.1		
OG0020672	Aco013373.1		
OG0020673	Aco013395.1		
OG0020674	Aco013390.1		
OG0020675	Aco013447.1		
OG0020676	Aco013466.1		
OG0020677	Aco028063.1		
OG0020678	Aco028062.1		
OG0020679	Aco031889.1		
OG0020680	Aco024561.1		
OG0020681	Aco030920.1		
OG0020682	Aco028436.1		
OG0020683	Aco031416.1		
OG0020684	Aco026597.1		
OG0020685	Aco023308.1		
OG0020686	Aco029611.1		
OG0020687	Aco029950.1		
OG0020688	Aco029948.1		
OG0020689	Aco025402.1		
OG0020690	Aco014903.1		
OG0020691	Aco014907.1		
OG0020692	Aco014915.1		
OG0020693	Aco014926.1		
OG0020694	Aco014933.1		
OG0020695	Aco014936.1		
OG0020696	Aco014942.1		
OG0020697	Aco014955.1		
OG0020698	Aco014970.1		
OG0020699	Aco015012.1		
OG0020700	Aco015026.1		
OG0020701	Aco031866.1		
OG0020702	Aco011187.1		
OG0020703	Aco011206.1		
OG0020704	Aco011237.1		
OG0020705	Aco011227.1		
OG0020706	Aco011232.1		
OG0020707	Aco011244.1		
OG0020708	Aco011253.1		
OG0020709	Aco011260.1		
OG0020710	Aco011268.1		
OG0020711	Aco011274.1		
OG0020712	Aco011355.1		
OG0020713	Aco011369.1		
OG0020714	Aco011375.1		
OG0020715	Aco011391.1		
OG0020716	Aco011399.1		
OG0020717	Aco025800.1		
OG0020718	Aco027367.1		
OG0020719	Aco030408.1		
OG0020720	Aco026287.1		
OG0020721	Aco026747.1		
OG0020722	Aco028607.1		
OG0020723	Aco024982.1		
OG0020724	Aco031221.1		
OG0020725	Aco009468.1		
OG0020726	Aco009465.1		
OG0020727	Aco009538.1		
OG0020728	Aco009546.1		
OG0020729	Aco009552.1		
OG0020730	Aco009555.1		
OG0020731	Aco009571.1		
OG0020732	Aco009616.1		
OG0020733	Aco009640.1		
OG0020734	Aco009704.1		
OG0020735	Aco009706.1		
OG0020736	Aco009736.1		
OG0020737	Aco009715.1		
OG0020738	Aco009724.1		
OG0020739	Aco031376.1		
OG0020740	Aco026917.1		
OG0020741	Aco024997.1		
OG0020742	Aco010943.1		
OG0020743	Aco010956.1		
OG0020744	Aco010967.1		
OG0020745	Aco010987.1		
OG0020746	Aco010998.1		
OG0020747	Aco011018.1		
OG0020748	Aco011037.1		
OG0020749	Aco011050.1		
OG0020750	Aco011073.1		
OG0020751	Aco011088.1		
OG0020752	Aco011095.1		
OG0020753	Aco011110.1		
OG0020754	Aco011115.1		
OG0020755	Aco011120.1		
OG0020756	Aco011127.1		
OG0020757	Aco011144.1		
OG0020758	Aco011150.1		
OG0020759	Aco011151.1		
OG0020760	Aco029731.1		
OG0020761	Aco021823.1		
OG0020762	Aco021820.1		
OG0020763	Aco021832.1		
OG0020764	Aco027432.1		
OG0020765	Aco027435.1		
OG0020766	Aco027436.1		
OG0020767	Aco031226.1		
OG0020768	Aco031227.1		
OG0020769	Aco012468.1		
OG0020770	Aco012529.1		
OG0020771	Aco012567.1		
OG0020772	Aco012572.1		
OG0020773	Aco012585.1		
OG0020774	Aco012597.1		
OG0020775	Aco012615.1		
OG0020776	Aco012612.1		
OG0020777	Aco031639.1		
OG0020778	Aco027759.1		
OG0020779	Aco026619.1		
OG0020780	Aco027530.1		
OG0020781	Aco027526.1		
OG0020782	Aco029268.1		
OG0020783	Aco012265.1		
OG0020784	Aco012274.1		
OG0020785	Aco012269.1		
OG0020786	Aco012276.1		
OG0020787	Aco012285.1		
OG0020788	Aco012297.1		
OG0020789	Aco012300.1		
OG0020790	Aco012326.1		
OG0020791	Aco012348.1		
OG0020792	Aco012338.1		
OG0020793	Aco012341.1		
OG0020794	Aco012367.1		
OG0020795	Aco012360.1		
OG0020796	Aco012385.1		
OG0020797	Aco012403.1		
OG0020798	Aco012420.1		
OG0020799	Aco012444.1		
OG0020800	Aco012432.1		
OG0020801	Aco024367.1		
OG0020802	Aco024365.1		
OG0020803	Aco028685.1		
OG0020804	Aco031663.1		
OG0020805	Aco031728.1		
OG0020806	Aco028884.1		
OG0020807	Aco010106.1		
OG0020808	Aco010126.1		
OG0020809	Aco010135.1		
OG0020810	Aco010133.1		
OG0020811	Aco010146.1		
OG0020812	Aco010191.1		
OG0020813	Aco010188.1		
OG0020814	Aco010194.1		
OG0020815	Aco010212.1		
OG0020816	Aco010246.1		
OG0020817	Aco010262.1		
OG0020818	Aco010264.1		
OG0020819	Aco010252.1		
OG0020820	Aco010266.1		
OG0020821	Aco010291.1		
OG0020822	Aco010311.1		
OG0020823	Aco010338.1		
OG0020824	Aco026492.1		
OG0020825	Aco031777.1		
OG0020826	Aco028938.1		
OG0020827	Aco028574.1		
OG0020828	Aco027876.1		
OG0020829	Aco027874.1		
OG0020830	Aco012654.1		
OG0020831	Aco012678.1		
OG0020832	Aco012694.1		
OG0020833	Aco012763.1		
OG0020834	Aco012750.1		
OG0020835	Aco012749.1		
OG0020836	Aco012766.1		
OG0020837	Aco012792.1		
OG0020838	Aco027897.1		
OG0020839	Aco031326.1		
OG0020840	Aco025911.1		
OG0020841	Aco024049.1		
OG0020842	Aco031735.1		
OG0020843	Aco029484.1		
OG0020844	Aco025522.1		
OG0020845	Aco012971.1		
OG0020846	Aco012981.1		
