Scaffold_1;HRSCAF=1 53962
Scaffold_147;HRSCAF=246 100843
Scaffold_148;HRSCAF=247 14203
Scaffold_149;HRSCAF=249 16700
Scaffold_150;HRSCAF=250 19063
Scaffold_151;HRSCAF=253 38238
Scaffold_152;HRSCAF=256 49542
Scaffold_153;HRSCAF=258 97816
Scaffold_154;HRSCAF=259 20901
Scaffold_155;HRSCAF=260 46328
Scaffold_156;HRSCAF=261 77939
Scaffold_157;HRSCAF=262 21306
Scaffold_158;HRSCAF=266 5688
Scaffold_159;HRSCAF=269 34925
Scaffold_160;HRSCAF=271 37859
Scaffold_161;HRSCAF=272 24029
Scaffold_162;HRSCAF=274 37395
Scaffold_163;HRSCAF=275 15669
Scaffold_164;HRSCAF=276 27156
Scaffold_165;HRSCAF=277 164682
Scaffold_166;HRSCAF=279 27840
Scaffold_167;HRSCAF=280 19742
Scaffold_168;HRSCAF=282 30416
Scaffold_169;HRSCAF=284 60708
Scaffold_170;HRSCAF=285 49925
Scaffold_171;HRSCAF=287 26178
Scaffold_172;HRSCAF=288 28606
Scaffold_173;HRSCAF=289 60044
Scaffold_174;HRSCAF=291 20625
Scaffold_175;HRSCAF=294 42955
Scaffold_176;HRSCAF=296 59590
Scaffold_177;HRSCAF=300 24562
Scaffold_178;HRSCAF=303 36392
Scaffold_179;HRSCAF=305 43617
Scaffold_180;HRSCAF=309 17628
Scaffold_181;HRSCAF=310 14357
Scaffold_182;HRSCAF=311 35497
Scaffold_183;HRSCAF=312 25914
Scaffold_184;HRSCAF=313 41399
Scaffold_185;HRSCAF=314 17519
Scaffold_186;HRSCAF=315 201578
Scaffold_187;HRSCAF=317 18216
Scaffold_188;HRSCAF=318 30981
Scaffold_189;HRSCAF=319 16007
Scaffold_190;HRSCAF=321 19990
Scaffold_191;HRSCAF=323 28590
Scaffold_192;HRSCAF=324 17060
Scaffold_193;HRSCAF=325 34278
Scaffold_194;HRSCAF=328 49605
Scaffold_195;HRSCAF=329 34306
Scaffold_196;HRSCAF=330 22072
Scaffold_197;HRSCAF=331 24011
Scaffold_198;HRSCAF=334 29091
Scaffold_199;HRSCAF=337 73855
Scaffold_200;HRSCAF=340 16046
Scaffold_201;HRSCAF=344 66278
Scaffold_202;HRSCAF=346 20739
Scaffold_203;HRSCAF=347 22739
Scaffold_204;HRSCAF=349 38198
Scaffold_205;HRSCAF=350 28348
Scaffold_206;HRSCAF=351 23128
Scaffold_207;HRSCAF=352 52690
Scaffold_208;HRSCAF=354 13395
Scaffold_209;HRSCAF=356 33612
Scaffold_210;HRSCAF=357 33114
Scaffold_211;HRSCAF=358 14681
Scaffold_212;HRSCAF=361 22302
Scaffold_213;HRSCAF=362 54261
Scaffold_214;HRSCAF=363 19238
Scaffold_215;HRSCAF=364 125676
Scaffold_216;HRSCAF=365 37758
Scaffold_217;HRSCAF=368 32998
Scaffold_218;HRSCAF=369 23794
Scaffold_219;HRSCAF=371 31151
Scaffold_220;HRSCAF=372 33345
Scaffold_221;HRSCAF=374 31799
Scaffold_222;HRSCAF=375 36880
Scaffold_223;HRSCAF=376 13161
Scaffold_224;HRSCAF=377 24439
Scaffold_225;HRSCAF=378 43833
Scaffold_226;HRSCAF=379 51590
Scaffold_227;HRSCAF=380 41554
Scaffold_228;HRSCAF=383 36582
Scaffold_229;HRSCAF=384 26972
Scaffold_230;HRSCAF=388 54285
Scaffold_231;HRSCAF=389 53516
Scaffold_232;HRSCAF=390 28544
Scaffold_233;HRSCAF=391 17136
Scaffold_234;HRSCAF=393 119921
Scaffold_235;HRSCAF=394 23374
Scaffold_236;HRSCAF=395 20525
Scaffold_237;HRSCAF=397 32965
Scaffold_238;HRSCAF=398 19884
Scaffold_239;HRSCAF=401 46415
Scaffold_240;HRSCAF=403 139778
Scaffold_241;HRSCAF=406 36083
Scaffold_242;HRSCAF=407 21357
Scaffold_243;HRSCAF=409 24948
Scaffold_244;HRSCAF=411 42552
Scaffold_245;HRSCAF=412 18187
Scaffold_246;HRSCAF=414 114325
Scaffold_247;HRSCAF=417 55702739
Scaffold_248;HRSCAF=418 19189
Scaffold_249;HRSCAF=419 24807
Scaffold_250;HRSCAF=421 28649
Scaffold_251;HRSCAF=422 28494
Scaffold_252;HRSCAF=423 26045
Scaffold_253;HRSCAF=425 20386
Scaffold_254;HRSCAF=429 23400
Scaffold_255;HRSCAF=430 12123
Scaffold_256;HRSCAF=432 30604
Scaffold_257;HRSCAF=435 72798
Scaffold_258;HRSCAF=436 67681
Scaffold_259;HRSCAF=437 57133
Scaffold_260;HRSCAF=438 20938
Scaffold_261;HRSCAF=439 12836
Scaffold_262;HRSCAF=440 30130
Scaffold_263;HRSCAF=441 16425
Scaffold_264;HRSCAF=442 20253
Scaffold_265;HRSCAF=443 28624
Scaffold_266;HRSCAF=444 22148
Scaffold_267;HRSCAF=446 111446
Scaffold_268;HRSCAF=447 61208
Scaffold_269;HRSCAF=448 45941590
Scaffold_270;HRSCAF=449 18806
Scaffold_271;HRSCAF=452 62667
Scaffold_272;HRSCAF=453 72443
Scaffold_273;HRSCAF=454 30156
Scaffold_274;HRSCAF=455 21031
Scaffold_275;HRSCAF=457 25617
Scaffold_276;HRSCAF=459 24389
Scaffold_277;HRSCAF=460 27060
Scaffold_278;HRSCAF=465 36070
Scaffold_279;HRSCAF=466 48017
Scaffold_280;HRSCAF=467 108665
Scaffold_281;HRSCAF=471 36203
Scaffold_282;HRSCAF=473 23252
Scaffold_283;HRSCAF=474 12032
Scaffold_284;HRSCAF=475 20083
Scaffold_285;HRSCAF=480 53531
Scaffold_286;HRSCAF=482 25557
Scaffold_287;HRSCAF=483 7455
Scaffold_288;HRSCAF=485 86374
Scaffold_289;HRSCAF=486 29219
Scaffold_290;HRSCAF=488 30862
Scaffold_291;HRSCAF=491 46220
Scaffold_292;HRSCAF=493 30905
Scaffold_293;HRSCAF=494 37975
Scaffold_294;HRSCAF=495 44609
Scaffold_295;HRSCAF=496 44886
Scaffold_296;HRSCAF=497 33041
Scaffold_297;HRSCAF=498 26381
Scaffold_298;HRSCAF=499 12643
Scaffold_299;HRSCAF=501 33081
Scaffold_300;HRSCAF=504 26435
Scaffold_301;HRSCAF=507 20432
Scaffold_302;HRSCAF=508 37966
Scaffold_303;HRSCAF=509 17504
Scaffold_304;HRSCAF=510 39569
Scaffold_305;HRSCAF=515 25870
Scaffold_306;HRSCAF=516 18715
Scaffold_307;HRSCAF=520 33742
Scaffold_308;HRSCAF=522 28279
Scaffold_309;HRSCAF=523 34245
Scaffold_310;HRSCAF=525 26279
Scaffold_311;HRSCAF=526 73991
Scaffold_312;HRSCAF=529 78509
Scaffold_313;HRSCAF=531 44850
Scaffold_314;HRSCAF=532 21707
Scaffold_315;HRSCAF=534 21019
Scaffold_316;HRSCAF=537 48154
Scaffold_317;HRSCAF=541 13122
Scaffold_318;HRSCAF=542 28678
Scaffold_319;HRSCAF=543 68582
Scaffold_320;HRSCAF=545 19334
Scaffold_321;HRSCAF=546 21204
Scaffold_322;HRSCAF=547 26957
Scaffold_323;HRSCAF=548 63407
Scaffold_324;HRSCAF=549 25838
Scaffold_325;HRSCAF=550 23521
Scaffold_326;HRSCAF=552 47489
Scaffold_327;HRSCAF=554 43103
Scaffold_328;HRSCAF=557 21847
Scaffold_329;HRSCAF=559 24821
Scaffold_330;HRSCAF=560 43947
Scaffold_331;HRSCAF=563 20775
Scaffold_332;HRSCAF=564 44271
Scaffold_333;HRSCAF=566 21294
Scaffold_334;HRSCAF=567 20471
Scaffold_335;HRSCAF=568 19945
Scaffold_336;HRSCAF=569 27313
Scaffold_337;HRSCAF=570 54183
Scaffold_338;HRSCAF=573 35162
Scaffold_339;HRSCAF=574 48251
Scaffold_340;HRSCAF=575 10560
Scaffold_341;HRSCAF=576 46546
Scaffold_342;HRSCAF=577 20780
Scaffold_343;HRSCAF=579 23432
Scaffold_344;HRSCAF=581 13888
Scaffold_345;HRSCAF=582 125575
Scaffold_346;HRSCAF=584 57658
Scaffold_347;HRSCAF=585 18739
Scaffold_348;HRSCAF=586 4035
Scaffold_349;HRSCAF=589 30147
Scaffold_350;HRSCAF=591 18026
Scaffold_351;HRSCAF=592 3232
Scaffold_352;HRSCAF=594 23228
Scaffold_353;HRSCAF=595 13554
Scaffold_354;HRSCAF=596 46901
Scaffold_355;HRSCAF=604 64211
Scaffold_356;HRSCAF=605 35665
Scaffold_357;HRSCAF=606 31968
Scaffold_358;HRSCAF=609 26053
Scaffold_359;HRSCAF=610 22981
Scaffold_360;HRSCAF=611 100215
Scaffold_361;HRSCAF=614 32857
Scaffold_362;HRSCAF=615 22392
Scaffold_363;HRSCAF=616 18326
Scaffold_364;HRSCAF=617 82159
Scaffold_365;HRSCAF=622 45277
Scaffold_366;HRSCAF=625 58886
Scaffold_367;HRSCAF=627 27130
Scaffold_368;HRSCAF=628 20942
Scaffold_369;HRSCAF=629 23132
Scaffold_370;HRSCAF=630 91214
Scaffold_371;HRSCAF=634 23084
Scaffold_372;HRSCAF=635 22970
Scaffold_373;HRSCAF=638 23389
Scaffold_374;HRSCAF=639 33489
Scaffold_375;HRSCAF=641 49416
Scaffold_376;HRSCAF=644 23518
Scaffold_377;HRSCAF=646 26239
Scaffold_378;HRSCAF=648 29255
Scaffold_379;HRSCAF=650 30929
Scaffold_380;HRSCAF=651 27465
Scaffold_381;HRSCAF=654 19490
Scaffold_382;HRSCAF=655 73400
Scaffold_383;HRSCAF=656 15010
Scaffold_384;HRSCAF=657 41698
Scaffold_385;HRSCAF=658 24131
Scaffold_386;HRSCAF=660 34602
Scaffold_387;HRSCAF=661 39992
Scaffold_388;HRSCAF=663 38438
Scaffold_389;HRSCAF=664 16084
Scaffold_390;HRSCAF=665 17591
Scaffold_391;HRSCAF=667 30475
Scaffold_392;HRSCAF=668 31264
Scaffold_393;HRSCAF=673 19997
Scaffold_394;HRSCAF=678 34368
Scaffold_395;HRSCAF=679 23961
Scaffold_396;HRSCAF=683 28590
Scaffold_397;HRSCAF=684 37272
Scaffold_398;HRSCAF=685 88773
Scaffold_399;HRSCAF=686 18999
Scaffold_400;HRSCAF=687 46573
Scaffold_401;HRSCAF=688 23506
Scaffold_402;HRSCAF=690 10837
Scaffold_403;HRSCAF=693 173408
Scaffold_404;HRSCAF=694 24335
Scaffold_405;HRSCAF=695 47064
Scaffold_406;HRSCAF=698 15782
Scaffold_407;HRSCAF=699 55074
Scaffold_408;HRSCAF=700 21534
Scaffold_409;HRSCAF=702 91884
Scaffold_410;HRSCAF=703 32697
Scaffold_411;HRSCAF=704 23375
Scaffold_412;HRSCAF=708 20275
Scaffold_413;HRSCAF=710 37813
Scaffold_414;HRSCAF=712 26692
Scaffold_415;HRSCAF=713 38971
Scaffold_416;HRSCAF=714 19334
Scaffold_417;HRSCAF=715 26449
Scaffold_418;HRSCAF=716 42415
Scaffold_419;HRSCAF=719 35742
Scaffold_420;HRSCAF=720 21275
Scaffold_421;HRSCAF=725 19983
Scaffold_422;HRSCAF=726 28518
Scaffold_423;HRSCAF=728 10125
Scaffold_424;HRSCAF=729 23168
Scaffold_425;HRSCAF=730 34256
Scaffold_426;HRSCAF=732 32322
Scaffold_427;HRSCAF=736 41595
Scaffold_428;HRSCAF=737 21437
Scaffold_429;HRSCAF=738 34931
Scaffold_430;HRSCAF=739 32894
Scaffold_431;HRSCAF=742 19998
Scaffold_432;HRSCAF=743 34247
Scaffold_433;HRSCAF=744 15023
Scaffold_434;HRSCAF=745 13553
Scaffold_435;HRSCAF=747 22261
Scaffold_436;HRSCAF=748 27579
Scaffold_437;HRSCAF=749 41223
Scaffold_438;HRSCAF=752 21286
Scaffold_439;HRSCAF=753 54425
Scaffold_440;HRSCAF=755 22570
Scaffold_441;HRSCAF=756 46178
Scaffold_442;HRSCAF=758 41096
Scaffold_443;HRSCAF=759 29282
Scaffold_444;HRSCAF=760 65833
Scaffold_445;HRSCAF=761 21229
Scaffold_446;HRSCAF=762 54476
Scaffold_447;HRSCAF=763 15243
Scaffold_448;HRSCAF=765 19007
Scaffold_449;HRSCAF=768 41030
Scaffold_450;HRSCAF=769 29161
Scaffold_451;HRSCAF=770 31632
Scaffold_452;HRSCAF=771 23178
Scaffold_453;HRSCAF=773 30767
Scaffold_454;HRSCAF=776 15893
Scaffold_455;HRSCAF=779 15038
Scaffold_456;HRSCAF=780 44189
Scaffold_457;HRSCAF=781 19394
Scaffold_458;HRSCAF=785 32291
Scaffold_459;HRSCAF=786 20709
Scaffold_460;HRSCAF=787 38024
Scaffold_461;HRSCAF=790 25040
Scaffold_462;HRSCAF=791 22061
Scaffold_463;HRSCAF=792 15597
Scaffold_464;HRSCAF=794 104683
Scaffold_465;HRSCAF=797 76323
Scaffold_466;HRSCAF=798 17122
Scaffold_467;HRSCAF=800 34258
Scaffold_468;HRSCAF=803 35121
Scaffold_469;HRSCAF=805 90741
Scaffold_470;HRSCAF=807 54394
Scaffold_471;HRSCAF=809 25091
Scaffold_472;HRSCAF=812 14925
Scaffold_473;HRSCAF=813 21725
Scaffold_474;HRSCAF=815 25238
Scaffold_475;HRSCAF=818 24355
Scaffold_476;HRSCAF=822 20510
Scaffold_477;HRSCAF=823 35105
Scaffold_478;HRSCAF=826 43458
Scaffold_479;HRSCAF=828 38124
Scaffold_480;HRSCAF=829 21323
Scaffold_481;HRSCAF=830 25949
Scaffold_482;HRSCAF=831 33592
Scaffold_483;HRSCAF=832 19561
Scaffold_484;HRSCAF=833 39423
Scaffold_485;HRSCAF=835 24932
Scaffold_486;HRSCAF=838 30766
Scaffold_487;HRSCAF=839 23091
Scaffold_488;HRSCAF=840 18370
Scaffold_489;HRSCAF=841 35970
Scaffold_490;HRSCAF=844 48560
Scaffold_491;HRSCAF=845 37705
Scaffold_492;HRSCAF=846 20874
Scaffold_493;HRSCAF=847 52064
Scaffold_494;HRSCAF=849 41741
Scaffold_495;HRSCAF=850 19349
Scaffold_496;HRSCAF=852 35071
Scaffold_497;HRSCAF=854 30186
Scaffold_498;HRSCAF=855 21566
Scaffold_499;HRSCAF=856 27041
Scaffold_500;HRSCAF=857 53971
Scaffold_501;HRSCAF=858 42368
Scaffold_502;HRSCAF=860 57543
Scaffold_503;HRSCAF=861 74888
Scaffold_504;HRSCAF=862 22211
Scaffold_505;HRSCAF=863 40587
Scaffold_506;HRSCAF=865 19144
Scaffold_507;HRSCAF=866 37697
Scaffold_508;HRSCAF=867 38321
Scaffold_509;HRSCAF=868 37949
Scaffold_510;HRSCAF=869 49944
Scaffold_511;HRSCAF=871 77953
Scaffold_512;HRSCAF=874 88428
Scaffold_513;HRSCAF=875 22341
Scaffold_514;HRSCAF=879 116628
Scaffold_515;HRSCAF=881 23952
Scaffold_516;HRSCAF=882 19623
Scaffold_517;HRSCAF=883 27198
Scaffold_518;HRSCAF=884 24939
Scaffold_519;HRSCAF=885 33539
Scaffold_520;HRSCAF=886 15199
Scaffold_521;HRSCAF=887 16393
Scaffold_522;HRSCAF=888 17078
Scaffold_523;HRSCAF=889 43004
Scaffold_524;HRSCAF=890 24733
Scaffold_525;HRSCAF=891 43462
Scaffold_526;HRSCAF=892 41185
Scaffold_527;HRSCAF=893 17421
Scaffold_528;HRSCAF=894 40045
Scaffold_529;HRSCAF=895 19206
Scaffold_530;HRSCAF=896 21637
Scaffold_531;HRSCAF=899 27992
Scaffold_532;HRSCAF=900 41659
Scaffold_533;HRSCAF=901 19552
Scaffold_534;HRSCAF=903 283665
Scaffold_535;HRSCAF=904 54670
Scaffold_536;HRSCAF=906 26440
Scaffold_537;HRSCAF=907 20722
Scaffold_538;HRSCAF=912 17985
Scaffold_539;HRSCAF=913 240873
Scaffold_540;HRSCAF=916 25267
Scaffold_541;HRSCAF=917 53767
Scaffold_542;HRSCAF=918 23160
Scaffold_543;HRSCAF=919 99545
Scaffold_544;HRSCAF=922 26516
Scaffold_545;HRSCAF=923 19176
Scaffold_546;HRSCAF=927 30842
Scaffold_547;HRSCAF=928 16821
Scaffold_548;HRSCAF=929 25176
Scaffold_549;HRSCAF=931 14734
Scaffold_550;HRSCAF=933 43329
Scaffold_551;HRSCAF=934 25124
Scaffold_552;HRSCAF=939 44888
Scaffold_553;HRSCAF=940 79731
Scaffold_554;HRSCAF=945 47817
Scaffold_555;HRSCAF=946 20577
Scaffold_556;HRSCAF=949 40091
Scaffold_557;HRSCAF=951 42364
Scaffold_558;HRSCAF=952 23865
Scaffold_559;HRSCAF=953 23672
Scaffold_560;HRSCAF=954 58774
Scaffold_561;HRSCAF=955 55800
Scaffold_562;HRSCAF=956 44484
Scaffold_563;HRSCAF=957 43314
Scaffold_564;HRSCAF=960 35111
Scaffold_565;HRSCAF=961 30724
Scaffold_566;HRSCAF=962 42052
Scaffold_567;HRSCAF=963 12367
Scaffold_568;HRSCAF=965 13274
Scaffold_569;HRSCAF=968 20083
Scaffold_570;HRSCAF=969 18048
Scaffold_571;HRSCAF=971 41932
Scaffold_572;HRSCAF=972 22089
Scaffold_573;HRSCAF=974 17270
Scaffold_574;HRSCAF=975 58768
Scaffold_575;HRSCAF=976 76853
Scaffold_576;HRSCAF=978 59444
Scaffold_577;HRSCAF=980 13953
Scaffold_578;HRSCAF=981 43831
Scaffold_579;HRSCAF=984 10269
Scaffold_580;HRSCAF=988 32697
Scaffold_581;HRSCAF=991 22871
Scaffold_582;HRSCAF=992 28396
Scaffold_583;HRSCAF=993 22530
Scaffold_584;HRSCAF=994 11663
Scaffold_585;HRSCAF=996 34838
Scaffold_586;HRSCAF=997 18193
Scaffold_587;HRSCAF=998 22415
Scaffold_588;HRSCAF=999 10419
Scaffold_589;HRSCAF=1000 17480
Scaffold_590;HRSCAF=1002 34986
Scaffold_591;HRSCAF=1003 70260
Scaffold_592;HRSCAF=1005 68184
Scaffold_593;HRSCAF=1006 32770
Scaffold_594;HRSCAF=1008 14005
Scaffold_595;HRSCAF=1009 24268
Scaffold_596;HRSCAF=1010 76070
Scaffold_597;HRSCAF=1011 19580
Scaffold_598;HRSCAF=1013 34480
Scaffold_599;HRSCAF=1014 15036
Scaffold_600;HRSCAF=1015 87490
Scaffold_601;HRSCAF=1016 74192
Scaffold_602;HRSCAF=1017 30948
Scaffold_603;HRSCAF=1019 14287
Scaffold_604;HRSCAF=1020 36698
Scaffold_605;HRSCAF=1021 20631
Scaffold_606;HRSCAF=1023 39966
Scaffold_607;HRSCAF=1024 26209
Scaffold_608;HRSCAF=1028 19504
Scaffold_609;HRSCAF=1030 66393
Scaffold_610;HRSCAF=1031 50776
Scaffold_611;HRSCAF=1033 67534
Scaffold_612;HRSCAF=1035 18300790
Scaffold_613;HRSCAF=1036 18349
Scaffold_614;HRSCAF=1037 21567
Scaffold_615;HRSCAF=1039 48848
Scaffold_616;HRSCAF=1042 22796
Scaffold_617;HRSCAF=1046 23733
Scaffold_618;HRSCAF=1053 78211
Scaffold_619;HRSCAF=1055 38305
Scaffold_620;HRSCAF=1056 18606
Scaffold_621;HRSCAF=1057 21643
Scaffold_622;HRSCAF=1059 22913
Scaffold_623;HRSCAF=1060 28552
Scaffold_624;HRSCAF=1063 34105
Scaffold_625;HRSCAF=1064 76359
Scaffold_626;HRSCAF=1068 35515
Scaffold_627;HRSCAF=1070 32421
Scaffold_628;HRSCAF=1071 63232
Scaffold_629;HRSCAF=1073 81393
Scaffold_630;HRSCAF=1074 17528
Scaffold_631;HRSCAF=1075 14061
Scaffold_632;HRSCAF=1077 79116
Scaffold_633;HRSCAF=1078 19333
Scaffold_634;HRSCAF=1080 22130
Scaffold_635;HRSCAF=1081 34688
Scaffold_636;HRSCAF=1082 29500
Scaffold_637;HRSCAF=1083 46418
Scaffold_638;HRSCAF=1086 18460
Scaffold_639;HRSCAF=1088 35425
Scaffold_640;HRSCAF=1091 26037
Scaffold_641;HRSCAF=1093 28084
Scaffold_642;HRSCAF=1095 18047
Scaffold_643;HRSCAF=1096 27840
Scaffold_644;HRSCAF=1099 16128
Scaffold_645;HRSCAF=1101 41093
Scaffold_646;HRSCAF=1103 62313
Scaffold_647;HRSCAF=1104 117042
Scaffold_648;HRSCAF=1105 26837
Scaffold_649;HRSCAF=1106 121341
Scaffold_650;HRSCAF=1108 27232
Scaffold_651;HRSCAF=1111 26940
Scaffold_652;HRSCAF=1112 38373
Scaffold_653;HRSCAF=1113 23337
Scaffold_654;HRSCAF=1114 24009
Scaffold_655;HRSCAF=1115 31046
Scaffold_656;HRSCAF=1116 30411
Scaffold_657;HRSCAF=1122 30016
Scaffold_658;HRSCAF=1123 30498
Scaffold_659;HRSCAF=1124 113112
Scaffold_660;HRSCAF=1127 15268
Scaffold_661;HRSCAF=1128 66365
Scaffold_662;HRSCAF=1129 24737
Scaffold_663;HRSCAF=1130 52593
Scaffold_664;HRSCAF=1131 14881
Scaffold_665;HRSCAF=1133 17150
Scaffold_666;HRSCAF=1134 28580
Scaffold_667;HRSCAF=1135 29018
Scaffold_668;HRSCAF=1138 37172
Scaffold_669;HRSCAF=1139 25196
Scaffold_670;HRSCAF=1140 32504
Scaffold_671;HRSCAF=1144 42775
Scaffold_672;HRSCAF=1146 21550
Scaffold_673;HRSCAF=1149 14921
Scaffold_674;HRSCAF=1150 36999
Scaffold_675;HRSCAF=1151 20309
Scaffold_676;HRSCAF=1152 11615
Scaffold_677;HRSCAF=1155 88535
Scaffold_678;HRSCAF=1156 21077
Scaffold_679;HRSCAF=1157 10909
Scaffold_680;HRSCAF=1158 30855
Scaffold_681;HRSCAF=1159 41160
Scaffold_682;HRSCAF=1160 27516
Scaffold_683;HRSCAF=1161 19676
Scaffold_684;HRSCAF=1162 20890
Scaffold_685;HRSCAF=1163 34710
Scaffold_686;HRSCAF=1164 23453
Scaffold_687;HRSCAF=1166 4039
Scaffold_688;HRSCAF=1167 24303
Scaffold_689;HRSCAF=1169 20135
Scaffold_690;HRSCAF=1170 19477
Scaffold_691;HRSCAF=1171 170678
Scaffold_692;HRSCAF=1174 42241
Scaffold_693;HRSCAF=1175 23709
