Category	ID	Term	adj_pval	Orthogroups	Genes
BP	GO:0009090	homoserine biosynthetic process	0.00102	OG0011833, OG0014045, OG0012418, OG0015434	Tfasc_v1.12523, Tfasc_v1.17322, Tfasc_v1.21902, Tfasc_v1.25936
BP	GO:0001732	formation of cytoplasmic translation initiation complex	0.00112	OG0002012, OG0009037, OG0014010, OG0003364, OG0002434, OG0009607, OG0001968, OG0009204, OG0013439	Tfasc_v1.03835, Tfasc_v1.16483, Tfasc_v1.18833, Tfasc_v1.20298, Tfasc_v1.24560, Tfasc_v1.24984, Tfasc_v1.27786, Tfasc_v1.29428, Tfasc_v1.30579
BP	GO:0016567	protein ubiquitination	0.00141	OG0015183, OG0012654, OG0004582, OG0004793, OG0009803, OG0013680, OG0008574, OG0008681, OG0006408, OG0006222, OG0012354, OG0012838, OG0016357, OG0002521, OG0002522, OG0013143, OG0010437, OG0011132, OG0012282, OG0000107, OG0016859, OG0000482, OG0002900, OG0010868, OG0010855, OG0001444, OG0010735, OG0001325, OG0011748, OG0011759, OG0004347, OG0010315, OG0015257, OG0015136, OG0005724, OG0001873, OG0001881, OG0014992, OG0014365, OG0016284, OG0014533, OG0011383, OG0011431, OG0011324, OG0011329, OG0003221, OG0014546, OG0004981, OG0012955, OG0004186, OG0007711, OG0007803, OG0007887, OG0012221, OG0015860, OG0007311, OG0008921, OG0008938, OG0000769, OG0001493, OG0009501, OG0004622, OG0000835, OG0014258, OG0002635, OG0019030, OG0019038, OG0006836, OG0006730, OG0016683, OG0006719	Tfasc_v1.00409, Tfasc_v1.01962, Tfasc_v1.02004, Tfasc_v1.02544, Tfasc_v1.02551, Tfasc_v1.03075, Tfasc_v1.03342, Tfasc_v1.04509, Tfasc_v1.04726, Tfasc_v1.05607, Tfasc_v1.06151, Tfasc_v1.06752, Tfasc_v1.06890, Tfasc_v1.06910, Tfasc_v1.06911, Tfasc_v1.07497, Tfasc_v1.07498, Tfasc_v1.07499, Tfasc_v1.07576, Tfasc_v1.07686, Tfasc_v1.07960, Tfasc_v1.08209, Tfasc_v1.09121, Tfasc_v1.09411, Tfasc_v1.09425, Tfasc_v1.09589, Tfasc_v1.09968, Tfasc_v1.11033, Tfasc_v1.11060, Tfasc_v1.11833, Tfasc_v1.12004, Tfasc_v1.12259, Tfasc_v1.12327, Tfasc_v1.12362, Tfasc_v1.12440, Tfasc_v1.12444, Tfasc_v1.13183, Tfasc_v1.13344, Tfasc_v1.13453, Tfasc_v1.13848, Tfasc_v1.13945, Tfasc_v1.14317, Tfasc_v1.14666, Tfasc_v1.14802, Tfasc_v1.14821, Tfasc_v1.14999, Tfasc_v1.16172, Tfasc_v1.16892, Tfasc_v1.17183, Tfasc_v1.17276, Tfasc_v1.17651, Tfasc_v1.18245, Tfasc_v1.18267, Tfasc_v1.18601, Tfasc_v1.18630, Tfasc_v1.18813, Tfasc_v1.19307, Tfasc_v1.19512, Tfasc_v1.20142, Tfasc_v1.20331, Tfasc_v1.20512, Tfasc_v1.21350, Tfasc_v1.21853, Tfasc_v1.22679, Tfasc_v1.23422, Tfasc_v1.24202, Tfasc_v1.24289, Tfasc_v1.24328, Tfasc_v1.25115, Tfasc_v1.25171, Tfasc_v1.25217, Tfasc_v1.25395, Tfasc_v1.25414, Tfasc_v1.25561, Tfasc_v1.25748, Tfasc_v1.25771, Tfasc_v1.26836, Tfasc_v1.27475, Tfasc_v1.27749, Tfasc_v1.27794, Tfasc_v1.27983, Tfasc_v1.28006, Tfasc_v1.28008
BP	GO:0007030	Golgi organization	0.00169	OG0006474, OG0018453, OG0013548, OG0001665, OG0001291, OG0003223, OG0016812, OG0017215, OG0016892, OG0019586	Tfasc_v1.01198, Tfasc_v1.05321, Tfasc_v1.06116, Tfasc_v1.08304, Tfasc_v1.08630, Tfasc_v1.08939, Tfasc_v1.20396, Tfasc_v1.22924, Tfasc_v1.23996, Tfasc_v1.28217
BP	GO:0072657	protein localization to membrane	0.00179	OG0011656, OG0012615, OG0002488, OG0000999, OG0002003, OG0006128, OG0016362, OG0010418, OG0011107, OG0000597, OG0007200, OG0001889, OG0002068, OG0013399, OG0018063, OG0000018, OG0011006, OG0005797, OG0019219, OG0005951, OG0008098, OG0017572, OG0001449, OG0010223, OG0014873, OG0016075, OG0018546, OG0012235, OG0007309, OG0002924, OG0011860, OG0008803, OG0000623, OG0001020, OG0003735, OG0009957, OG0001518, OG0014862, OG0004140, OG0001357	Tfasc_v1.00241, Tfasc_v1.01903, Tfasc_v1.02159, Tfasc_v1.04738, Tfasc_v1.06358, Tfasc_v1.06406, Tfasc_v1.06958, Tfasc_v1.07712, Tfasc_v1.08013, Tfasc_v1.08563, Tfasc_v1.08985, Tfasc_v1.09128, Tfasc_v1.09182, Tfasc_v1.09312, Tfasc_v1.10183, Tfasc_v1.10184, Tfasc_v1.10193, Tfasc_v1.10777, Tfasc_v1.11326, Tfasc_v1.13976, Tfasc_v1.14242, Tfasc_v1.14308, Tfasc_v1.15198, Tfasc_v1.17371, Tfasc_v1.17668, Tfasc_v1.17678, Tfasc_v1.17825, Tfasc_v1.21040, Tfasc_v1.21043, Tfasc_v1.21299, Tfasc_v1.22702, Tfasc_v1.22930, Tfasc_v1.23370, Tfasc_v1.24080, Tfasc_v1.24123, Tfasc_v1.25212, Tfasc_v1.25251, Tfasc_v1.25306, Tfasc_v1.26515, Tfasc_v1.26552, Tfasc_v1.26723, Tfasc_v1.28319, Tfasc_v1.29215, Tfasc_v1.30069
BP	GO:0006417	regulation of translation	0.00198	OG0009891, OG0000609, OG0006278, OG0013665, OG0011056, OG0007123, OG0007200, OG0004067, OG0002594, OG0013092, OG0016797, OG0007888, OG0018577, OG0012005, OG0004488, OG0008877, OG0002111, OG0009547, OG0003748, OG0009995, OG0010286, OG0009217, OG0013439	Tfasc_v1.03459, Tfasc_v1.04667, Tfasc_v1.05974, Tfasc_v1.07996, Tfasc_v1.08100, Tfasc_v1.08848, Tfasc_v1.08985, Tfasc_v1.12077, Tfasc_v1.12078, Tfasc_v1.12842, Tfasc_v1.13037, Tfasc_v1.20009, Tfasc_v1.20517, Tfasc_v1.21417, Tfasc_v1.21633, Tfasc_v1.23438, Tfasc_v1.24220, Tfasc_v1.24578, Tfasc_v1.24579, Tfasc_v1.25128, Tfasc_v1.25148, Tfasc_v1.26595, Tfasc_v1.28963, Tfasc_v1.29391, Tfasc_v1.30579
BP	GO:0030433	ubiquitin-dependent ERAD pathway	0.0026	OG0006485, OG0013782, OG0004582, OG0000429, OG0001167, OG0014264, OG0015193, OG0001099, OG0001376, OG0016398, OG0005724, OG0014577, OG0014914, OG0010025, OG0012280	Tfasc_v1.01224, Tfasc_v1.01718, Tfasc_v1.02004, Tfasc_v1.03383, Tfasc_v1.03425, Tfasc_v1.07317, Tfasc_v1.07365, Tfasc_v1.10555, Tfasc_v1.11052, Tfasc_v1.11283, Tfasc_v1.13848, Tfasc_v1.18697, Tfasc_v1.25568, Tfasc_v1.26655, Tfasc_v1.28463, Tfasc_v1.28831
BP	GO:0006511	ubiquitin-dependent protein catabolic process	0.00394	OG0004203, OG0011627, OG0006468, OG0006485, OG0013782, OG0004582, OG0013271, OG0015394, OG0015872, OG0009803, OG0000429, OG0001167, OG0008574, OG0008694, OG0017549, OG0017550, OG0015142, OG0000491, OG0013539, OG0012838, OG0014264, OG0015193, OG0002521, OG0010418, OG0010372, OG0011088, OG0003223, OG0003233, OG0000107, OG0008429, OG0016859, OG0000482, OG0001099, OG0010868, OG0001376, OG0016398, OG0003718, OG0001444, OG0010734, OG0010735, OG0001325, OG0011748, OG0011759, OG0004347, OG0012682, OG0015266, OG0015136, OG0005724, OG0005749, OG0005869, OG0005929, OG0005960, OG0008070, OG0008132, OG0012126, OG0009781, OG0000408, OG0014051, OG0017186, OG0011329, OG0014577, OG0007803, OG0012697, OG0007311, OG0011482, OG0008872, OG0008938, OG0009625, OG0000769, OG0001493, OG0003733, OG0014258, OG0014914, OG0013701, OG0009976, OG0010025, OG0010049, OG0010064, OG0010100, OG0010114, OG0006990, OG0006836, OG0016683, OG0012280, OG0009244, OG0003674, OG0014810, OG0003644, OG0013423	Tfasc_v1.00089, Tfasc_v1.00152, Tfasc_v1.01196, Tfasc_v1.01224, Tfasc_v1.01718, Tfasc_v1.02004, Tfasc_v1.02079, Tfasc_v1.02243, Tfasc_v1.02587, Tfasc_v1.03075, Tfasc_v1.03383, Tfasc_v1.03425, Tfasc_v1.04509, Tfasc_v1.04760, Tfasc_v1.05224, Tfasc_v1.05225, Tfasc_v1.05300, Tfasc_v1.05825, Tfasc_v1.06124, Tfasc_v1.06890, Tfasc_v1.07317, Tfasc_v1.07365, Tfasc_v1.07497, Tfasc_v1.07712, Tfasc_v1.07834, Tfasc_v1.08038, Tfasc_v1.08939, Tfasc_v1.08997, Tfasc_v1.09121, Tfasc_v1.09298, Tfasc_v1.09411, Tfasc_v1.09425, Tfasc_v1.09589, Tfasc_v1.10555, Tfasc_v1.11033, Tfasc_v1.11052, Tfasc_v1.11283, Tfasc_v1.11458, Tfasc_v1.11833, Tfasc_v1.12002, Tfasc_v1.12004, Tfasc_v1.12259, Tfasc_v1.12327, Tfasc_v1.12362, Tfasc_v1.12440, Tfasc_v1.12444, Tfasc_v1.12609, Tfasc_v1.13330, Tfasc_v1.13453, Tfasc_v1.13848, Tfasc_v1.14100, Tfasc_v1.14164, Tfasc_v1.14278, Tfasc_v1.14337, Tfasc_v1.14666, Tfasc_v1.14999, Tfasc_v1.15153, Tfasc_v1.15289, Tfasc_v1.16006, Tfasc_v1.16308, Tfasc_v1.17279, Tfasc_v1.17350, Tfasc_v1.17651, Tfasc_v1.18227, Tfasc_v1.18267, Tfasc_v1.18697, Tfasc_v1.20331, Tfasc_v1.20595, Tfasc_v1.22679, Tfasc_v1.23111, Tfasc_v1.24201, Tfasc_v1.24202, Tfasc_v1.24328, Tfasc_v1.24948, Tfasc_v1.25115, Tfasc_v1.25171, Tfasc_v1.25297, Tfasc_v1.25561, Tfasc_v1.25568, Tfasc_v1.25748, Tfasc_v1.26280, Tfasc_v1.26559, Tfasc_v1.26655, Tfasc_v1.26728, Tfasc_v1.26743, Tfasc_v1.26813, Tfasc_v1.26831, Tfasc_v1.26836, Tfasc_v1.27262, Tfasc_v1.27794, Tfasc_v1.28006, Tfasc_v1.28463, Tfasc_v1.28831, Tfasc_v1.29314, Tfasc_v1.29351, Tfasc_v1.29505, Tfasc_v1.29723, Tfasc_v1.30628
BP	GO:0009808	lignin metabolic process	0.0044	OG0004547, OG0007138, OG0009542, OG0010115, OG0009151	Tfasc_v1.04866, Tfasc_v1.06459, Tfasc_v1.08854, Tfasc_v1.25140, Tfasc_v1.26846, Tfasc_v1.29754
BP	GO:0006470	protein dephosphorylation	0.00542	OG0005321, OG0011643, OG0011025, OG0011024, OG0018803, OG0013363, OG0003829, OG0001443, OG0002725, OG0006144, OG0006081, OG0003990, OG0007093, OG0016741, OG0007273, OG0013206, OG0011016, OG0012558, OG0010333, OG0010056, OG0005275, OG0005961, OG0004747, OG0000750, OG0007934, OG0007933, OG0009668, OG0001410, OG0014883, OG0015042, OG0019130, OG0012914, OG0007783, OG0002024, OG0015074, OG0011514, OG0011496, OG0003562, OG0008775, OG0018258, OG0014228, OG0017858, OG0009984, OG0004394, OG0006722, OG0000211, OG0010603, OG0004097, OG0002136, OG0015615	Tfasc_v1.00053, Tfasc_v1.00171, Tfasc_v1.01632, Tfasc_v1.01633, Tfasc_v1.02212, Tfasc_v1.02532, Tfasc_v1.02959, Tfasc_v1.02960, Tfasc_v1.04396, Tfasc_v1.06281, Tfasc_v1.06382, Tfasc_v1.06444, Tfasc_v1.07620, Tfasc_v1.08781, Tfasc_v1.08971, Tfasc_v1.09148, Tfasc_v1.10615, Tfasc_v1.10758, Tfasc_v1.11869, Tfasc_v1.12652, Tfasc_v1.13250, Tfasc_v1.13335, Tfasc_v1.13401, Tfasc_v1.13456, Tfasc_v1.14340, Tfasc_v1.14687, Tfasc_v1.14747, Tfasc_v1.14915, Tfasc_v1.14920, Tfasc_v1.16103, Tfasc_v1.17219, Tfasc_v1.17882, Tfasc_v1.18009, Tfasc_v1.18407, Tfasc_v1.18442, Tfasc_v1.20288, Tfasc_v1.22315, Tfasc_v1.22814, Tfasc_v1.23074, Tfasc_v1.23104, Tfasc_v1.23953, Tfasc_v1.24000, Tfasc_v1.25409, Tfasc_v1.25763, Tfasc_v1.26334, Tfasc_v1.26587, Tfasc_v1.26905, Tfasc_v1.27989, Tfasc_v1.28031, Tfasc_v1.28640, Tfasc_v1.29186, Tfasc_v1.29709, Tfasc_v1.30518
BP	GO:0009073	aromatic amino acid family biosynthetic process	0.00542	OG0008484, OG0000719, OG0015499, OG0007137, OG0004112, OG0013033, OG0015140, OG0009788, OG0007849, OG0004401, OG0012246, OG0015059, OG0015703, OG0009282	Tfasc_v1.04670, Tfasc_v1.05794, Tfasc_v1.07894, Tfasc_v1.08858, Tfasc_v1.10858, Tfasc_v1.13163, Tfasc_v1.13529, Tfasc_v1.16314, Tfasc_v1.20454, Tfasc_v1.20894, Tfasc_v1.21265, Tfasc_v1.22844, Tfasc_v1.23078, Tfasc_v1.26878, Tfasc_v1.29919
BP	GO:0005980	glycogen catabolic process	0.00571	OG0001290, OG0010694, OG0014805	Tfasc_v1.05762, Tfasc_v1.12084, Tfasc_v1.29518
BP	GO:0002188	translation reinitiation	0.00571	OG0018416, OG0015024, OG0009607	Tfasc_v1.01515, Tfasc_v1.14725, Tfasc_v1.24984
BP	GO:0048211	Golgi vesicle docking	0.00571	OG0001449, OG0010000	Tfasc_v1.17668, Tfasc_v1.24123, Tfasc_v1.26612
BP	GO:0035352	NAD transmembrane transport	0.00571	OG0013397, OG0018067, OG0006924	Tfasc_v1.10248, Tfasc_v1.10251, Tfasc_v1.27601
BP	GO:0006452	translational frameshifting	0.00571	OG0000609, OG0016797	Tfasc_v1.04667, Tfasc_v1.12077, Tfasc_v1.20009
BP	GO:0006433	prolyl-tRNA aminoacylation	0.00571	OG0010812, OG0000876, OG0010615	Tfasc_v1.11845, Tfasc_v1.12705, Tfasc_v1.28622
BP	GO:0006616	SRP-dependent cotranslational protein targeting to membrane, translocation	0.00631	OG0002488, OG0000999, OG0002068, OG0009957	Tfasc_v1.02159, Tfasc_v1.04738, Tfasc_v1.09312, Tfasc_v1.11326, Tfasc_v1.26515
BP	GO:0009704	de-etiolation	0.00631	OG0003093, OG0003240, OG0013736, OG0001085	Tfasc_v1.01371, Tfasc_v1.09038, Tfasc_v1.09046, Tfasc_v1.22859, Tfasc_v1.23252
BP	GO:0006782	protoporphyrinogen IX biosynthetic process	0.00631	OG0003970, OG0010216, OG0005700, OG0010011, OG0002220	Tfasc_v1.07740, Tfasc_v1.17658, Tfasc_v1.22094, Tfasc_v1.26617, Tfasc_v1.26827
BP	GO:0006614	SRP-dependent cotranslational protein targeting to membrane	0.00655	OG0011656, OG0002488, OG0000999, OG0007200, OG0002068, OG0014873, OG0016075, OG0018546, OG0009957, OG0004140	Tfasc_v1.00241, Tfasc_v1.02159, Tfasc_v1.04738, Tfasc_v1.08985, Tfasc_v1.09312, Tfasc_v1.11326, Tfasc_v1.17825, Tfasc_v1.21040, Tfasc_v1.21043, Tfasc_v1.26515, Tfasc_v1.29215
BP	GO:0043328	protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway	0.01126	OG0013539, OG0010418, OG0011482, OG0008872	Tfasc_v1.06124, Tfasc_v1.07712, Tfasc_v1.23111, Tfasc_v1.24201
BP	GO:0006099	tricarboxylic acid cycle	0.01413	OG0004478, OG0001439, OG0000772, OG0010484, OG0001548, OG0000507, OG0001504, OG0001440, OG0000913, OG0001397, OG0014560, OG0001952	Tfasc_v1.04197, Tfasc_v1.04530, Tfasc_v1.06769, Tfasc_v1.07613, Tfasc_v1.07635, Tfasc_v1.09620, Tfasc_v1.09872, Tfasc_v1.11717, Tfasc_v1.14354, Tfasc_v1.15089, Tfasc_v1.18649, Tfasc_v1.26930, Tfasc_v1.27564, Tfasc_v1.27568, Tfasc_v1.27961
BP	GO:0000381	regulation of alternative mRNA splicing, via spliceosome	0.01486	OG0018348, OG0012512, OG0006278, OG0013715, OG0008877, OG0015421, OG0006759, OG0015410, OG0010543, OG0009217, OG0016026	Tfasc_v1.00160, Tfasc_v1.04921, Tfasc_v1.05974, Tfasc_v1.18474, Tfasc_v1.24220, Tfasc_v1.25948, Tfasc_v1.27932, Tfasc_v1.28448, Tfasc_v1.28765, Tfasc_v1.29391, Tfasc_v1.30699
