gene_id	chrom	start	end
Tlei_v1.29702-RA	Tlei_chr22	3412328	3412978
Tlei_v1.29731-RA	Tlei_chr22	3872788	3877880
Tlei_v1.29783-RA	Tlei_chr22	5188363	5192189
Tlei_v1.29835-RA	Tlei_chr22	6152379	6162061
Tlei_v1.29836-RA	Tlei_chr22	6162618	6165371
Tlei_v1.29844-RA	Tlei_chr22	6245593	6263461
Tlei_v1.29841-RA	Tlei_chr22	6216540	6219888
Tlei_v1.29937-RA	Tlei_chr22	7330831	7331909
Tlei_v1.29938-RA	Tlei_chr22	7332738	7334721
Tlei_v1.29955-RA	Tlei_chr22	7471976	7478989
Tlei_v1.29958-RA	Tlei_chr22	7492337	7494524
Tlei_v1.30041-RA	Tlei_chr22	8163460	8167231
Tlei_v1.30055-RA	Tlei_chr22	8309663	8313813
Tlei_v1.30062-RA	Tlei_chr22	8366760	8375382
Tlei_v1.30100-RA	Tlei_chr22	8638152	8639507
Tlei_v1.30143-RA	Tlei_chr22	8966930	8970244
Tlei_v1.30172-RA	Tlei_chr22	9238675	9246688
Tlei_v1.30205-RB	Tlei_chr22	9454250	9462963
Tlei_v1.30212-RA	Tlei_chr22	9506240	9509359
Tlei_v1.30243-RA	Tlei_chr22	9713810	9714301
Tlei_v1.30311-RA	Tlei_chr22	10173522	10177736
Tlei_v1.30281-RA	Tlei_chr22	10006984	10009163
Tlei_v1.30297-RA	Tlei_chr22	10093980	10094234
Tlei_v1.06604-RA	Tlei_chr5	101929	105673
Tlei_v1.06617-RA	Tlei_chr5	356170	367930
Tlei_v1.06629-RA	Tlei_chr5	471045	476860
Tlei_v1.06634-RA	Tlei_chr5	497024	509562
Tlei_v1.06687-RA	Tlei_chr5	956667	959779
Tlei_v1.06764-RA	Tlei_chr5	1633616	1634612
Tlei_v1.06828-RA	Tlei_chr5	2324096	2324662
Tlei_v1.06826-RA	Tlei_chr5	2305513	2310258
Tlei_v1.06834-RA	Tlei_chr5	2395196	2400771
Tlei_v1.06869-RA	Tlei_chr5	2672135	2672440
Tlei_v1.06877-RA	Tlei_chr5	2769708	2775827
Tlei_v1.06878-RA	Tlei_chr5	2790989	2800021
Tlei_v1.06901-RA	Tlei_chr5	3051605	3053251
Tlei_v1.06934-RA	Tlei_chr5	3384038	3391337
Tlei_v1.06962-RA	Tlei_chr5	3647106	3648521
Tlei_v1.06990-RA	Tlei_chr5	3931913	3936751
Tlei_v1.06994-RA	Tlei_chr5	4036045	4036730
Tlei_v1.07012-RA	Tlei_chr5	4325210	4328054
Tlei_v1.07034-RA	Tlei_chr5	4666931	4669964
Tlei_v1.07069-RA	Tlei_chr5	5189743	5199161
Tlei_v1.07135-RA	Tlei_chr5	6634236	6634373
Tlei_v1.07162-RA	Tlei_chr5	7332878	7347297
Tlei_v1.07217-RA	Tlei_chr5	11262419	11265278
Tlei_v1.07279-RA	Tlei_chr5	14033515	14042113
Tlei_v1.07615-RA	Tlei_chr5	38108614	38121341
Tlei_v1.07635-RA	Tlei_chr5	39832074	39846181
Tlei_v1.07634-RA	Tlei_chr5	39831982	39833638
Tlei_v1.07639-RA	Tlei_chr5	39982143	39983024
Tlei_v1.07670-RA	Tlei_chr5	42710562	42726627
Tlei_v1.07712-RA	Tlei_chr5	46012469	46013870
Tlei_v1.07735-RA	Tlei_chr5	48656997	48658696
Tlei_v1.07733-RA	Tlei_chr5	48626661	48644063
Tlei_v1.07772-RA	Tlei_chr5	50809643	50810047
Tlei_v1.07797-RA	Tlei_chr5	51695083	51706400
Tlei_v1.07798-RA	Tlei_chr5	51712099	51713535
Tlei_v1.07884-RA	Tlei_chr5	53170666	53171052
Tlei_v1.07912-RA	Tlei_chr5	53581887	53586627
Tlei_v1.07919-RA	Tlei_chr5	53736444	53737526
Tlei_v1.08016-RA	Tlei_chr5	54753605	54763128
Tlei_v1.08023-RA	Tlei_chr5	54795383	54800527
Tlei_v1.00008-RA	Tlei_chr1	56346	60936
Tlei_v1.00006-RA	Tlei_chr1	47256	50012
Tlei_v1.00047-RA	Tlei_chr1	357572	359790
Tlei_v1.00062-RA	Tlei_chr1	509509	515568
Tlei_v1.00084-RA	Tlei_chr1	675524	681239
Tlei_v1.00105-RA	Tlei_chr1	856534	860196
Tlei_v1.00109-RA	Tlei_chr1	900011	907243
Tlei_v1.00160-RA	Tlei_chr1	1507929	1515163
Tlei_v1.00166-RA	Tlei_chr1	1571238	1582591
Tlei_v1.00158-RA	Tlei_chr1	1480142	1492955
Tlei_v1.00190-RA	Tlei_chr1	1883498	1894745
Tlei_v1.00265-RA	Tlei_chr1	3728324	3731432
Tlei_v1.00357-RB	Tlei_chr1	6991940	6998056
Tlei_v1.00409-RA	Tlei_chr1	9590876	9594341
Tlei_v1.00532-RA	Tlei_chr1	18312610	18314781
Tlei_v1.00784-RA	Tlei_chr1	39996759	39998310
Tlei_v1.00790-RA	Tlei_chr1	40587171	40589920
Tlei_v1.00791-RA	Tlei_chr1	40591265	40594037
Tlei_v1.00792-RA	Tlei_chr1	40699745	40706743
Tlei_v1.00812-RB	Tlei_chr1	42707890	42739318
Tlei_v1.00868-RA	Tlei_chr1	48292297	48296585
Tlei_v1.00928-RA	Tlei_chr1	50310044	50312956
Tlei_v1.01035-RA	Tlei_chr1	53436375	53442254
Tlei_v1.01104-RA	Tlei_chr1	54258162	54268551
Tlei_v1.01100-RA	Tlei_chr1	54220273	54225252
Tlei_v1.01154-RA	Tlei_chr1	54749948	54755207
Tlei_v1.01304-RA	Tlei_chr1	56164046	56165086
Tlei_v1.01423-RA	Tlei_chr1	57218641	57222916
Tlei_v1.01456-RA	Tlei_chr1	57530682	57536657
Tlei_v1.01459-RA	Tlei_chr1	57550828	57555246
Tlei_v1.01472-RA	Tlei_chr1	57628573	57634521
Tlei_v1.01511-RA	Tlei_chr1	57914918	57932420
Tlei_v1.01507-RA	Tlei_chr1	57884962	57885105
Tlei_v1.01512-RA	Tlei_chr1	57943966	57946679
Tlei_v1.01526-RB	Tlei_chr1	58157024	58162527
Tlei_v1.01541-RA	Tlei_chr1	58285846	58287345
Tlei_v1.01663-RA	Tlei_chr1	59317121	59329250
Tlei_v1.01700-RA	Tlei_chr1	59595719	59602074
Tlei_v1.01705-RA	Tlei_chr1	59646635	59650369
Tlei_v1.01742-RA	Tlei_chr1	60007933	60013061
Tlei_v1.01771-RB	Tlei_chr1	60383475	60389102
Tlei_v1.28770-RA	Tlei_chr21	494282	497460
Tlei_v1.28825-RA	Tlei_chr21	910177	915044
Tlei_v1.28869-RA	Tlei_chr21	1218596	1222051
Tlei_v1.28883-RA	Tlei_chr21	1319424	1319933
Tlei_v1.28917-RA	Tlei_chr21	1542539	1554167
Tlei_v1.28908-RA	Tlei_chr21	1479720	1483119
Tlei_v1.28935-RA	Tlei_chr21	1695043	1698688
Tlei_v1.28991-RB	Tlei_chr21	2260243	2268484
Tlei_v1.29038-RA	Tlei_chr21	2831138	2835450
Tlei_v1.29045-RA	Tlei_chr21	3149098	3154950
Tlei_v1.29082-RA	Tlei_chr21	3983509	3984048
Tlei_v1.29086-RA	Tlei_chr21	4030585	4032452
Tlei_v1.29093-RA	Tlei_chr21	4192494	4197064
Tlei_v1.29096-RA	Tlei_chr21	4217954	4226671
Tlei_v1.29105-RA	Tlei_chr21	4426827	4438787
Tlei_v1.29181-RA	Tlei_chr21	6183655	6187195
Tlei_v1.29180-RA	Tlei_chr21	6101140	6101547
Tlei_v1.29182-RA	Tlei_chr21	6220244	6223687
Tlei_v1.29197-RA	Tlei_chr21	6459669	6462231
Tlei_v1.29204-RA	Tlei_chr21	6785421	6791768
Tlei_v1.29211-RA	Tlei_chr21	6904838	6907472
Tlei_v1.29217-RA	Tlei_chr21	7021312	7026851
Tlei_v1.29228-RA	Tlei_chr21	7441562	7447599
Tlei_v1.29252-RA	Tlei_chr21	7876935	7879943
Tlei_v1.29384-RA	Tlei_chr21	9812508	9818798
Tlei_v1.29462-RA	Tlei_chr21	10857591	10863131
Tlei_v1.29485-RA	Tlei_chr21	11074362	11077676
Tlei_v1.29494-RA	Tlei_chr21	11159482	11172104
Tlei_v1.29486-RA	Tlei_chr21	11078184	11085061
Tlei_v1.29498-RA	Tlei_chr21	11205156	11206412
Tlei_v1.29516-RA	Tlei_chr21	11427131	11430629
Tlei_v1.15911-RA	Tlei_chr11	143640	155233
Tlei_v1.15908-RA	Tlei_chr11	122243	128708
Tlei_v1.15912-RA	Tlei_chr11	155910	165493
Tlei_v1.15929-RA	Tlei_chr11	343153	345790
Tlei_v1.15934-RA	Tlei_chr11	399927	400742
Tlei_v1.15935-RA	Tlei_chr11	406179	407310
Tlei_v1.16057-RA	Tlei_chr11	1531497	1537503
Tlei_v1.16099-RA	Tlei_chr11	2121325	2124482
Tlei_v1.16139-RA	Tlei_chr11	2969320	2976253
Tlei_v1.16158-RA	Tlei_chr11	3456267	3466771
Tlei_v1.16237-RB	Tlei_chr11	7672988	7683303
Tlei_v1.16408-RA	Tlei_chr11	19230794	19233304
Tlei_v1.16418-RA	Tlei_chr11	20246625	20249727
Tlei_v1.16419-RA	Tlei_chr11	20309370	20333379
Tlei_v1.16463-RA	Tlei_chr11	24022882	24032421
Tlei_v1.16462-RA	Tlei_chr11	24018577	24021176
Tlei_v1.16555-RA	Tlei_chr11	32496425	32501422
Tlei_v1.16637-RA	Tlei_chr11	39957792	39958311
Tlei_v1.16660-RA	Tlei_chr11	40744431	40751090
Tlei_v1.16690-RA	Tlei_chr11	42299434	42307194
Tlei_v1.16730-RA	Tlei_chr11	43237497	43242393
Tlei_v1.16761-RB	Tlei_chr11	43630546	43634275
Tlei_v1.16811-RA	Tlei_chr11	44217692	44221805
Tlei_v1.03688-RA	Tlei_chr3	219755	225414
Tlei_v1.03694-RA	Tlei_chr3	260952	264657
Tlei_v1.03708-RA	Tlei_chr3	362103	373411
Tlei_v1.03809-RA	Tlei_chr3	1465182	1468403
Tlei_v1.03821-RA	Tlei_chr3	1564442	1578970
Tlei_v1.03835-RA	Tlei_chr3	1747640	1749051
Tlei_v1.03838-RA	Tlei_chr3	1819403	1830055
Tlei_v1.03837-RA	Tlei_chr3	1809541	1815455
Tlei_v1.03847-RA	Tlei_chr3	2010258	2012839
Tlei_v1.04002-RA	Tlei_chr3	6177882	6181107
Tlei_v1.04027-RB	Tlei_chr3	7594071	7617488
Tlei_v1.04045-RA	Tlei_chr3	8743509	8747054
Tlei_v1.04049-RA	Tlei_chr3	8979811	8984236
Tlei_v1.04094-RA	Tlei_chr3	11748079	11752357
Tlei_v1.04110-RA	Tlei_chr3	12329608	12334706
Tlei_v1.04243-RA	Tlei_chr3	18857490	18858325
Tlei_v1.04267-RA	Tlei_chr3	20407658	20408401
Tlei_v1.04266-RA	Tlei_chr3	20407196	20407537
Tlei_v1.04272-RA	Tlei_chr3	20459536	20461166
Tlei_v1.04278-RA	Tlei_chr3	20503196	20507116
Tlei_v1.04408-RA	Tlei_chr3	29712076	29714016
Tlei_v1.04561-RA	Tlei_chr3	39345148	39355472
Tlei_v1.04562-RA	Tlei_chr3	39378503	39384146
Tlei_v1.04573-RA	Tlei_chr3	39973998	39985183
Tlei_v1.04649-RA	Tlei_chr3	47340015	47349271
Tlei_v1.04711-RA	Tlei_chr3	49299908	49308280
Tlei_v1.04783-RA	Tlei_chr3	51100060	51101923
Tlei_v1.04787-RA	Tlei_chr3	51195468	51205285
Tlei_v1.04861-RA	Tlei_chr3	52456327	52460446
Tlei_v1.04871-RB	Tlei_chr3	52571464	52583474
Tlei_v1.04873-RA	Tlei_chr3	52586826	52595153
Tlei_v1.04875-RB	Tlei_chr3	52624688	52635379
Tlei_v1.04892-RA	Tlei_chr3	52741747	52744527
Tlei_v1.04936-RA	Tlei_chr3	53066450	53077440
Tlei_v1.04953-RA	Tlei_chr3	53237491	53240715
Tlei_v1.04973-RA	Tlei_chr3	53438668	53440326
Tlei_v1.05012-RA	Tlei_chr3	53778818	53783083
Tlei_v1.05037-RA	Tlei_chr3	54015524	54017321
Tlei_v1.05046-RA	Tlei_chr3	54118105	54127998
Tlei_v1.05069-RA	Tlei_chr3	54378648	54383484
Tlei_v1.05118-RA	Tlei_chr3	55143731	55147538
Tlei_v1.05119-RA	Tlei_chr3	55172437	55182325
Tlei_v1.05139-RA	Tlei_chr3	55571374	55573447
Tlei_v1.18318-RA	Tlei_chr13	18254	26515
Tlei_v1.18321-RA	Tlei_chr13	40815	45530
Tlei_v1.18414-RA	Tlei_chr13	1055614	1056519
Tlei_v1.18438-RA	Tlei_chr13	1299915	1306019
Tlei_v1.18508-RB	Tlei_chr13	2292342	2303774
Tlei_v1.18557-RA	Tlei_chr13	3381319	3386963
Tlei_v1.18572-RA	Tlei_chr13	3790369	3791453
Tlei_v1.18633-RA	Tlei_chr13	6531173	6532794
Tlei_v1.18686-RA	Tlei_chr13	8947668	8954458
Tlei_v1.18804-RA	Tlei_chr13	18287755	18288027
Tlei_v1.18839-RA	Tlei_chr13	20193075	20196165
Tlei_v1.18959-RA	Tlei_chr13	28917690	28959750
Tlei_v1.18983-RA	Tlei_chr13	30485621	30513502
Tlei_v1.19006-RA	Tlei_chr13	32207694	32209659
Tlei_v1.19031-RA	Tlei_chr13	32679531	32688529
Tlei_v1.19066-RA	Tlei_chr13	33880700	33882196
Tlei_v1.19096-RA	Tlei_chr13	34533441	34542169
Tlei_v1.19112-RA	Tlei_chr13	34808915	34823918
Tlei_v1.19219-RA	Tlei_chr13	36054720	36060517
Tlei_v1.19269-RB	Tlei_chr13	36632295	36644865
Tlei_v1.19318-RA	Tlei_chr13	37183687	37186079
Tlei_v1.17077-RA	Tlei_chr12	448019	455395
Tlei_v1.17075-RA	Tlei_chr12	440298	445579
Tlei_v1.17085-RA	Tlei_chr12	490263	493056
Tlei_v1.17103-RA	Tlei_chr12	634124	637562
Tlei_v1.17120-RA	Tlei_chr12	779822	783980
Tlei_v1.17203-RA	Tlei_chr12	1384212	1389026
Tlei_v1.17228-RA	Tlei_chr12	1566229	1569616
Tlei_v1.17232-RA	Tlei_chr12	1591426	1594059
Tlei_v1.17263-RA	Tlei_chr12	1824398	1828611
Tlei_v1.17269-RA	Tlei_chr12	1851203	1852503
Tlei_v1.17349-RA	Tlei_chr12	2518459	2520250
Tlei_v1.17357-RA	Tlei_chr12	2682827	2692922
Tlei_v1.17384-RA	Tlei_chr12	2922964	2929203
Tlei_v1.17388-RA	Tlei_chr12	2957117	2962409
Tlei_v1.17392-RA	Tlei_chr12	2991019	2996241
Tlei_v1.17530-RA	Tlei_chr12	4681193	4686551
Tlei_v1.17559-RA	Tlei_chr12	5555107	5558496
Tlei_v1.17596-RA	Tlei_chr12	8751796	8783337
Tlei_v1.17731-RA	Tlei_chr12	17403548	17412061
Tlei_v1.17859-RA	Tlei_chr12	26813062	26815273
Tlei_v1.17869-RA	Tlei_chr12	27483078	27488157
Tlei_v1.17889-RA	Tlei_chr12	29044090	29045990
Tlei_v1.17893-RA	Tlei_chr12	29325565	29331235
Tlei_v1.17970-RA	Tlei_chr12	33640134	33646485
Tlei_v1.17974-RA	Tlei_chr12	33717879	33718073
Tlei_v1.18018-RA	Tlei_chr12	36344458	36349029
Tlei_v1.18075-RA	Tlei_chr12	38713180	38716963
Tlei_v1.18094-RA	Tlei_chr12	39123850	39127735
Tlei_v1.18154-RB	Tlei_chr12	40849252	40857550
Tlei_v1.18210-RA	Tlei_chr12	42039306	42042674
Tlei_v1.18241-RA	Tlei_chr12	42460846	42470304
Tlei_v1.18240-RA	Tlei_chr12	42456637	42457437
Tlei_v1.18274-RA	Tlei_chr12	42854103	42857718
Tlei_v1.25331-RA	Tlei_chr18	584234	585843
Tlei_v1.25328-RA	Tlei_chr18	560782	570206
Tlei_v1.25338-RA	Tlei_chr18	646216	648542
Tlei_v1.25443-RA	Tlei_chr18	1562958	1569668
Tlei_v1.25558-RA	Tlei_chr18	2502306	2511696
Tlei_v1.25561-RA	Tlei_chr18	2553461	2555376
Tlei_v1.25573-RA	Tlei_chr18	2640972	2643701
Tlei_v1.25610-RA	Tlei_chr18	2990850	2997194
Tlei_v1.25677-RA	Tlei_chr18	3688538	3701395
Tlei_v1.25719-RA	Tlei_chr18	4344462	4346966
Tlei_v1.25752-RA	Tlei_chr18	5197160	5202737
Tlei_v1.25768-RA	Tlei_chr18	5538687	5543770
Tlei_v1.25864-RA	Tlei_chr18	9811478	9825650
Tlei_v1.25871-RA	Tlei_chr18	10208427	10221108
Tlei_v1.25928-RA	Tlei_chr18	12981207	12983605
Tlei_v1.25981-RA	Tlei_chr18	16742596	16743730
Tlei_v1.25989-RA	Tlei_chr18	17102364	17106865
Tlei_v1.26000-RA	Tlei_chr18	17554639	17555212
Tlei_v1.26053-RA	Tlei_chr18	21524495	21527791
Tlei_v1.26071-RA	Tlei_chr18	22203595	22204980
Tlei_v1.26112-RA	Tlei_chr18	23622362	23637895
Tlei_v1.26107-RA	Tlei_chr18	23573473	23598272
Tlei_v1.26183-RA	Tlei_chr18	25752459	25760489
Tlei_v1.26196-RA	Tlei_chr18	25957628	25963244
Tlei_v1.26202-RA	Tlei_chr18	25974339	25981743
Tlei_v1.01782-RA	Tlei_chr2	102711	104296
Tlei_v1.01791-RA	Tlei_chr2	163969	165705
Tlei_v1.01835-RA	Tlei_chr2	559476	561430
Tlei_v1.01875-RA	Tlei_chr2	775034	779342
Tlei_v1.01891-RA	Tlei_chr2	891207	895604
Tlei_v1.01898-RA	Tlei_chr2	975605	976735
Tlei_v1.01913-RA	Tlei_chr2	1083920	1088753
Tlei_v1.01945-RA	Tlei_chr2	1317255	1318332
Tlei_v1.01960-RA	Tlei_chr2	1468953	1473477
Tlei_v1.02149-RA	Tlei_chr2	2994540	2998085
Tlei_v1.02200-RA	Tlei_chr2	3406871	3411239
Tlei_v1.02306-RA	Tlei_chr2	4997729	5000364
Tlei_v1.02312-RA	Tlei_chr2	5081387	5087460
Tlei_v1.02368-RA	Tlei_chr2	6288782	6292141
Tlei_v1.02370-RA	Tlei_chr2	6307691	6310591
Tlei_v1.02412-RA	Tlei_chr2	7626984	7631705
Tlei_v1.02582-RA	Tlei_chr2	16963385	16963666
Tlei_v1.02585-RA	Tlei_chr2	17176432	17181779
Tlei_v1.02742-RA	Tlei_chr2	28467097	28516764
Tlei_v1.02791-RA	Tlei_chr2	31903920	31908883
Tlei_v1.02790-RA	Tlei_chr2	31888933	31895018
Tlei_v1.02803-RA	Tlei_chr2	33219030	33220977
Tlei_v1.02806-RA	Tlei_chr2	33385145	33397092
Tlei_v1.02807-RA	Tlei_chr2	33480873	33492262
Tlei_v1.02834-RA	Tlei_chr2	35349851	35360583
Tlei_v1.02870-RA	Tlei_chr2	38138044	38138649
Tlei_v1.02896-RA	Tlei_chr2	40837691	40838786
Tlei_v1.02897-RA	Tlei_chr2	40840013	40845011
Tlei_v1.02911-RA	Tlei_chr2	41654990	41656236
Tlei_v1.02908-RA	Tlei_chr2	41610304	41623212
Tlei_v1.02912-RA	Tlei_chr2	41657178	41658565
Tlei_v1.03021-RA	Tlei_chr2	50087358	50091377
Tlei_v1.03194-RA	Tlei_chr2	52317137	52320343
Tlei_v1.03234-RA	Tlei_chr2	52738562	52741795
Tlei_v1.03351-RA	Tlei_chr2	54450925	54451332
Tlei_v1.03458-RD	Tlei_chr2	55545559	55551617
Tlei_v1.03481-RA	Tlei_chr2	55753832	55756624
Tlei_v1.03486-RA	Tlei_chr2	55808654	55811950
Tlei_v1.03534-RA	Tlei_chr2	56185745	56188519
Tlei_v1.03548-RA	Tlei_chr2	56329779	56336088
Tlei_v1.03587-RA	Tlei_chr2	56598783	56602762
Tlei_v1.03600-RA	Tlei_chr2	56699416	56705499
Tlei_v1.03647-RA	Tlei_chr2	56949783	56950235
Tlei_v1.22836-RA	Tlei_chr16	478127	487640
Tlei_v1.22869-RA	Tlei_chr16	1143859	1150501
Tlei_v1.22911-RA	Tlei_chr16	2397101	2400391
Tlei_v1.22973-RA	Tlei_chr16	3497658	3520447
Tlei_v1.22974-RA	Tlei_chr16	3674062	3677028
Tlei_v1.22988-RA	Tlei_chr16	4187378	4197296
Tlei_v1.23012-RA	Tlei_chr16	4863183	4874717
Tlei_v1.23043-RB	Tlei_chr16	7141933	7145436
Tlei_v1.23043-RA	Tlei_chr16	7141790	7142924
Tlei_v1.23062-RA	Tlei_chr16	7815342	7815973
Tlei_v1.23084-RA	Tlei_chr16	8929167	8930915
Tlei_v1.23090-RA	Tlei_chr16	9426069	9431767
Tlei_v1.23092-RA	Tlei_chr16	9435694	9438623
Tlei_v1.23116-RA	Tlei_chr16	10224133	10226247
Tlei_v1.23202-RA	Tlei_chr16	16252274	16261991
Tlei_v1.23214-RA	Tlei_chr16	17113004	17117141
Tlei_v1.23217-RA	Tlei_chr16	17165379	17166552
Tlei_v1.23218-RA	Tlei_chr16	17185040	17186275
Tlei_v1.23283-RA	Tlei_chr16	21274556	21276229
Tlei_v1.23292-RA	Tlei_chr16	22252392	22259333
Tlei_v1.23337-RA	Tlei_chr16	24058867	24066152
Tlei_v1.23346-RA	Tlei_chr16	24271907	24274218
