"gene_id" "median_cov" "mean_cov" "og_id" "Acom_count" "Tfas_count" "Tlei_count" "duplicated"
"2770" "Tfasc_v1.29866-RA" 121 120.727891156463 "OG0000395" 0 12 0 "unique-multi-copy"
"2771" "Tfasc_v1.29873-RA" 204 202.747440273038 "OG0000395" 0 12 0 "unique-multi-copy"
"2772" "Tfasc_v1.29872-RA" 123 123.255102040816 "OG0000395" 0 12 0 "unique-multi-copy"
"2773" "Tfasc_v1.29871-RA" 120 120.350340136054 "OG0000395" 0 12 0 "unique-multi-copy"
"2774" "Tfasc_v1.29870-RA" 112 112.928571428571 "OG0000395" 0 12 0 "unique-multi-copy"
"2775" "Tfasc_v1.29878-RA" 197 196.420338983051 "OG0000395" 0 12 0 "unique-multi-copy"
"2776" "Tfasc_v1.29875-RA" 154 154.107142857143 "OG0000395" 0 12 0 "unique-multi-copy"
"2777" "Tfasc_v1.29877-RA" 118 120.833898305085 "OG0000395" 0 12 0 "unique-multi-copy"
"2909" "Tfasc_v1.00856-RA" 105 110.531145344943 "OG0000021" 0 79 2 "multi-copy"
"3005" "Tfasc_v1.24737-RA" 758 757.171916010499 "OG0005055" 2 1 1 "single-copy"
"3354" "Tfasc_v1.16744-RA" 103 105.364161849711 "OG0000560" 0 10 0 "unique-multi-copy"
"3355" "Tfasc_v1.16741-RA" 166 174.43063583815 "OG0000560" 0 10 0 "unique-multi-copy"
"3356" "Tfasc_v1.25412-RA" 128 125.450867052023 "OG0000560" 0 10 0 "unique-multi-copy"
"3357" "Tfasc_v1.21811-RA" 117 115.682080924855 "OG0000560" 0 10 0 "unique-multi-copy"
"3358" "Tfasc_v1.25413-RA" 114 112.56936416185 "OG0000560" 0 10 0 "unique-multi-copy"
"3362" "Tfasc_v1.07273-RA" 107 113.303468208092 "OG0000560" 0 10 0 "unique-multi-copy"
"3373" "Tfasc_v1.17120-RA" 101 105.711669283098 "OG0000562" 0 6 4 "multi-copy"
"3451" "Tfasc_v1.13241-RA" 907 858.994134897361 "OG0004285" 1 1 2 "single-copy"
"3509" "Tfasc_v1.25642-RA" 5720 5817.23529411765 "OG0013746" 1 1 1 "ancestral-single-copy"
"3587" "Tfasc_v1.05450-RA" 140 127.419523099851 "OG0001770" 1 1 4 "single-copy"
"3606" "Tfasc_v1.19052-RA" 5001 4952.87980769231 "OG0000828" 3 2 3 "multi-copy"
"3607" "Tfasc_v1.26193-RA" 7008 6697.43964671246 "OG0000828" 3 2 3 "multi-copy"
"3941" "Tfasc_v1.27289-RA" 656 560.009650180941 "OG0017182" 1 1 0 "single-copy"
"3962" "Tfasc_v1.25467-RA" 941 1186.06478958523 "OG0013511" 1 1 1 "ancestral-single-copy"
"4163" "Tfasc_v1.21723-RA" 126 115.293567251462 "OG0001190" 0 7 0 "unique-multi-copy"
"4166" "Tfasc_v1.25874-RA" 117 107.553435114504 "OG0001190" 0 7 0 "unique-multi-copy"
"4177" "Tfasc_v1.08496-RA" 163 148.430205949657 "OG0001194" 0 7 0 "unique-multi-copy"
"4346" "Tfasc_v1.23299-RA" 6666 6581.93884892086 "OG0001757" 1 1 4 "single-copy"
"4449" "Tfasc_v1.15358-RA" 123 100.074534161491 "OG0019469" 0 2 0 "unique-multi-copy"
"4866" "Tfasc_v1.03365-RA" 131 125.568792830785 "OG0004801" 1 2 1 "multi-copy"
"5007" "Tfasc_v1.00786-RA" 101 98.848 "OG0001200" 0 7 0 "unique-multi-copy"
"5021" "Tfasc_v1.04851-RA" 116 118.121771217712 "OG0001204" 0 6 1 "multi-copy"
"5022" "Tfasc_v1.20545-RA" 115 118.266159695817 "OG0001204" 0 6 1 "multi-copy"
"5025" "Tfasc_v1.18511-RA" 116 118.613272706343 "OG0001204" 0 6 1 "multi-copy"
"5224" "Tfasc_v1.04210-RA" 7412 7124.24905660377 "OG0000798" 6 1 1 "single-copy"
"5350" "Tfasc_v1.13751-RA" 126 133.52319109462 "OG0016217" 0 2 1 "multi-copy"
"5381" "Tfasc_v1.26005-RA" 101 92.7699680511182 "OG0015621" 1 1 1 "ancestral-single-copy"
"5421" "Tfasc_v1.24740-RA" 824 840.516620498615 "OG0005213" 1 1 2 "single-copy"
"5455" "Tfasc_v1.07904-RA" 117 103.805732484076 "OG0005512" 0 4 0 "unique-multi-copy"
"6047" "Tfasc_v1.02358-RA" 3510 3009.2754491018 "OG0010252" 1 2 0 "multi-copy"
"6048" "Tfasc_v1.13950-RA" 294 246.37125748503 "OG0010252" 1 2 0 "multi-copy"
"6123" "Tfasc_v1.23790-RA" 129 179.770245231608 "OG0001820" 0 2 4 "multi-copy"
"6199" "Tfasc_v1.00750-RA" 124 116.018644067797 "OG0001793" 0 4 2 "multi-copy"
"6200" "Tfasc_v1.21851-RA" 127 124.253996447602 "OG0001793" 0 4 2 "multi-copy"
"6207" "Tfasc_v1.22000-RA" 122 120.093088071349 "OG0001795" 0 5 1 "multi-copy"
"6216" "Tfasc_v1.16087-RA" 111 107.765614938828 "OG0001796" 0 6 0 "unique-multi-copy"
"6269" "Tfasc_v1.00661-RA" 102 102.464542651593 "OG0000846" 1 3 4 "multi-copy"
"6443" "Tfasc_v1.25433-RA" 102.5 95.7159090909091 "OG0005492" 0 4 0 "unique-multi-copy"
"6495" "Tfasc_v1.22212-RA" 106 108.800995024876 "OG0002806" 0 3 2 "multi-copy"
"6622" "Tfasc_v1.10501-RA" 163 159.350835322196 "OG0000676" 0 9 0 "unique-multi-copy"
"6623" "Tfasc_v1.10463-RA" 107 104.375598086124 "OG0000676" 0 9 0 "unique-multi-copy"
"6625" "Tfasc_v1.10450-RA" 102 116.891289893617 "OG0000676" 0 9 0 "unique-multi-copy"
"6644" "Tfasc_v1.21996-RA" 132 129.592264302981 "OG0000678" 0 4 5 "multi-copy"
"6726" "Tfasc_v1.21998-RA" 114 114.208955223881 "OG0003327" 1 2 1 "multi-copy"
"7056" "Tfasc_v1.20552-RB" 179 228.4414823218 "OG0001802" 0 6 0 "unique-multi-copy"
"7059" "Tfasc_v1.29017-RB" 563 586.065346534653 "OG0001802" 0 6 0 "unique-multi-copy"
"7106" "Tfasc_v1.26327-RA" 3859 4327.64551010813 "OG0018618" 0 1 1 "single-copy"
"7162" "Tfasc_v1.00752-RA" 441 432.434170854271 "OG0000140" 1 23 0 "multi-copy"
"7164" "Tfasc_v1.15441-RA" 226 224.543949044586 "OG0000140" 1 23 0 "multi-copy"
"7165" "Tfasc_v1.21786-RA" 312 296.56050955414 "OG0000140" 1 23 0 "multi-copy"
"7166" "Tfasc_v1.05320-RA" 553 568.033121019108 "OG0000140" 1 23 0 "multi-copy"
"7167" "Tfasc_v1.13633-RA" 157 168.040118870728 "OG0000140" 1 23 0 "multi-copy"
"7168" "Tfasc_v1.08622-RA" 558 582.008915304606 "OG0000140" 1 23 0 "multi-copy"
"7169" "Tfasc_v1.08206-RA" 363.5 360.117384843982 "OG0000140" 1 23 0 "multi-copy"
"7171" "Tfasc_v1.02888-RA" 420.5 402.11367013373 "OG0000140" 1 23 0 "multi-copy"
"7172" "Tfasc_v1.20951-RA" 535 539.893016344725 "OG0000140" 1 23 0 "multi-copy"
"7173" "Tfasc_v1.21772-RA" 385 376.74294205052 "OG0000140" 1 23 0 "multi-copy"
"7174" "Tfasc_v1.15773-RA" 500 491.63949044586 "OG0000140" 1 23 0 "multi-copy"
"7175" "Tfasc_v1.19137-RA" 465 466.824665676077 "OG0000140" 1 23 0 "multi-copy"
"7176" "Tfasc_v1.13686-RA" 144.5 132.402674591382 "OG0000140" 1 23 0 "multi-copy"
"7177" "Tfasc_v1.12751-RA" 299 289.884101040119 "OG0000140" 1 23 0 "multi-copy"
"7178" "Tfasc_v1.12664-RA" 111 126.62951575711 "OG0000140" 1 23 0 "multi-copy"
"7179" "Tfasc_v1.00767-RA" 131 118.626389918458 "OG0000140" 1 23 0 "multi-copy"
"7180" "Tfasc_v1.18219-RA" 360 366.861056751468 "OG0000140" 1 23 0 "multi-copy"
"7181" "Tfasc_v1.20950-RA" 291 292.713862120089 "OG0000140" 1 23 0 "multi-copy"
"7182" "Tfasc_v1.07295-RA" 410 415.91456166419 "OG0000140" 1 23 0 "multi-copy"
"7184" "Tfasc_v1.23884-RA" 101 100.94279346211 "OG0000140" 1 23 0 "multi-copy"
"7250" "Tfasc_v1.11219-RA" 111 110.448795180723 "OG0000148" 1 8 14 "multi-copy"
"7251" "Tfasc_v1.00859-RA" 177.5 174.214285714286 "OG0000148" 1 8 14 "multi-copy"
"7503" "Tfasc_v1.28686-RA" 245 1184.36464088398 "OG0001057" 5 1 1 "single-copy"
"7852" "Tfasc_v1.10339-RA" 113 107.666666666667 "OG0000051" 0 28 23 "multi-copy"
"7853" "Tfasc_v1.10356-RA" 113 111.762222222222 "OG0000051" 0 28 23 "multi-copy"
"7855" "Tfasc_v1.17342-RA" 111 110.375555555556 "OG0000051" 0 28 23 "multi-copy"
"7856" "Tfasc_v1.11081-RA" 126 124.124444444444 "OG0000051" 0 28 23 "multi-copy"
"7861" "Tfasc_v1.20199-RA" 104 98.9822222222222 "OG0000051" 0 28 23 "multi-copy"
"7904" "Tfasc_v1.21042-RA" 1010 1018.59233449477 "OG0018547" 0 1 1 "single-copy"
"8332" "Tfasc_v1.08437-RA" 168 166.56464811784 "OG0000001" 0 601 0 "unique-multi-copy"
"8340" "Tfasc_v1.21112-RA" 136 119.082748948107 "OG0000001" 0 601 0 "unique-multi-copy"
"8343" "Tfasc_v1.28479-RA" 200 227.447405329593 "OG0000001" 0 601 0 "unique-multi-copy"
"8349" "Tfasc_v1.26229-RA" 192 193.755960729313 "OG0000001" 0 601 0 "unique-multi-copy"
"8350" "Tfasc_v1.02766-RA" 139 152.200561009818 "OG0000001" 0 601 0 "unique-multi-copy"
"8354" "Tfasc_v1.18010-RA" 290 287.67461430575 "OG0000001" 0 601 0 "unique-multi-copy"
"8357" "Tfasc_v1.12714-RA" 152 179.830294530154 "OG0000001" 0 601 0 "unique-multi-copy"
"8370" "Tfasc_v1.03875-RA" 181 164.520336605891 "OG0000001" 0 601 0 "unique-multi-copy"
"8372" "Tfasc_v1.08371-RA" 108 108.545582047686 "OG0000001" 0 601 0 "unique-multi-copy"
"8378" "Tfasc_v1.13659-RA" 127 130.925666199158 "OG0000001" 0 601 0 "unique-multi-copy"
"8401" "Tfasc_v1.12797-RA" 142 147.970546984572 "OG0000001" 0 601 0 "unique-multi-copy"
"8407" "Tfasc_v1.23608-RA" 214 223.065918653576 "OG0000001" 0 601 0 "unique-multi-copy"
"8416" "Tfasc_v1.19712-RA" 138 135.304347826087 "OG0000001" 0 601 0 "unique-multi-copy"
"8417" "Tfasc_v1.12644-RA" 163 178.057503506311 "OG0000001" 0 601 0 "unique-multi-copy"
"8427" "Tfasc_v1.24838-RA" 106 100.970546984572 "OG0000001" 0 601 0 "unique-multi-copy"
"8428" "Tfasc_v1.16848-RA" 175 161.115007012623 "OG0000001" 0 601 0 "unique-multi-copy"
"8432" "Tfasc_v1.18158-RA" 326 295.15427769986 "OG0000001" 0 601 0 "unique-multi-copy"
"8434" "Tfasc_v1.16696-RA" 108 114.256661991585 "OG0000001" 0 601 0 "unique-multi-copy"
"8436" "Tfasc_v1.04077-RA" 130 113.054698457223 "OG0000001" 0 601 0 "unique-multi-copy"
"8437" "Tfasc_v1.04142-RA" 168 170.227208976157 "OG0000001" 0 601 0 "unique-multi-copy"
"8438" "Tfasc_v1.21929-RA" 164 163.924263674614 "OG0000001" 0 601 0 "unique-multi-copy"
"8449" "Tfasc_v1.21081-RA" 119 119.94950911641 "OG0000001" 0 601 0 "unique-multi-copy"
"8455" "Tfasc_v1.08459-RA" 105 104.17110799439 "OG0000001" 0 601 0 "unique-multi-copy"
"8456" "Tfasc_v1.00819-RA" 140 159.410939691445 "OG0000001" 0 601 0 "unique-multi-copy"
"8460" "Tfasc_v1.13601-RA" 133 128.483870967742 "OG0000001" 0 601 0 "unique-multi-copy"
"8462" "Tfasc_v1.28629-RA" 104 90.9901823281907 "OG0000001" 0 601 0 "unique-multi-copy"
"8463" "Tfasc_v1.05487-RA" 142 142.788218793829 "OG0000001" 0 601 0 "unique-multi-copy"
"8465" "Tfasc_v1.02886-RA" 175 160.394109396914 "OG0000001" 0 601 0 "unique-multi-copy"
"8466" "Tfasc_v1.08566-RA" 176 190.619915848527 "OG0000001" 0 601 0 "unique-multi-copy"
"8467" "Tfasc_v1.18119-RA" 132 146.24824684432 "OG0000001" 0 601 0 "unique-multi-copy"
"8470" "Tfasc_v1.21838-RA" 101 110.368863955119 "OG0000001" 0 601 0 "unique-multi-copy"
"8477" "Tfasc_v1.19148-RA" 114 111.022440392707 "OG0000001" 0 601 0 "unique-multi-copy"
"8488" "Tfasc_v1.03930-RA" 354 338.286115007013 "OG0000001" 0 601 0 "unique-multi-copy"
"8490" "Tfasc_v1.20849-RA" 104 118.084151472651 "OG0000001" 0 601 0 "unique-multi-copy"
"8492" "Tfasc_v1.27418-RA" 122 140.147265077139 "OG0000001" 0 601 0 "unique-multi-copy"
"8515" "Tfasc_v1.21053-RA" 208 209.772791023843 "OG0000001" 0 601 0 "unique-multi-copy"
"8522" "Tfasc_v1.16763-RA" 125 189.019635343619 "OG0000001" 0 601 0 "unique-multi-copy"
"8525" "Tfasc_v1.16796-RA" 113 112.896213183731 "OG0000001" 0 601 0 "unique-multi-copy"
"8528" "Tfasc_v1.19791-RA" 216 198.437587657784 "OG0000001" 0 601 0 "unique-multi-copy"
"8529" "Tfasc_v1.16535-RA" 143 162.286115007013 "OG0000001" 0 601 0 "unique-multi-copy"
"8531" "Tfasc_v1.07174-RA" 173 171.396914446003 "OG0000001" 0 601 0 "unique-multi-copy"
"8532" "Tfasc_v1.17986-RA" 121 114.673211781206 "OG0000001" 0 601 0 "unique-multi-copy"
"8534" "Tfasc_v1.05389-RA" 221 163.899173553719 "OG0000001" 0 601 0 "unique-multi-copy"
"8537" "Tfasc_v1.13772-RA" 105 123.220196353436 "OG0000001" 0 601 0 "unique-multi-copy"
"8539" "Tfasc_v1.19123-RA" 174 202.976157082749 "OG0000001" 0 601 0 "unique-multi-copy"
"8540" "Tfasc_v1.19124-RA" 408 411.589060308555 "OG0000001" 0 601 0 "unique-multi-copy"
"8542" "Tfasc_v1.12749-RA" 173 176.58064516129 "OG0000001" 0 601 0 "unique-multi-copy"
"8544" "Tfasc_v1.27462-RA" 120 124.892005610098 "OG0000001" 0 601 0 "unique-multi-copy"
"8545" "Tfasc_v1.00774-RA" 198 216.40252454418 "OG0000001" 0 601 0 "unique-multi-copy"
"8546" "Tfasc_v1.25347-RA" 131 126.619915848527 "OG0000001" 0 601 0 "unique-multi-copy"
"8548" "Tfasc_v1.07040-RA" 186 138.29873772791 "OG0000001" 0 601 0 "unique-multi-copy"
"8549" "Tfasc_v1.08370-RA" 194 182.910238429173 "OG0000001" 0 601 0 "unique-multi-copy"
"8550" "Tfasc_v1.05395-RA" 113 110.971949509116 "OG0000001" 0 601 0 "unique-multi-copy"
"8551" "Tfasc_v1.26396-RA" 166 159.719495091164 "OG0000001" 0 601 0 "unique-multi-copy"
"8554" "Tfasc_v1.09977-RA" 209 219.152875175316 "OG0000001" 0 601 0 "unique-multi-copy"
"8558" "Tfasc_v1.13685-RA" 115 113.270687237027 "OG0000001" 0 601 0 "unique-multi-copy"
"8560" "Tfasc_v1.20850-RA" 296 318.117812061711 "OG0000001" 0 601 0 "unique-multi-copy"
"8561" "Tfasc_v1.19095-RA" 143 134.907433380084 "OG0000001" 0 601 0 "unique-multi-copy"
"8565" "Tfasc_v1.19027-RA" 137 151.598877980365 "OG0000001" 0 601 0 "unique-multi-copy"
"8566" "Tfasc_v1.15830-RA" 129 126.057503506311 "OG0000001" 0 601 0 "unique-multi-copy"
"8569" "Tfasc_v1.16768-RA" 126 119.316970546985 "OG0000001" 0 601 0 "unique-multi-copy"
"8578" "Tfasc_v1.02785-RA" 137 165.270687237027 "OG0000001" 0 601 0 "unique-multi-copy"
"8588" "Tfasc_v1.25417-RA" 163 156.587657784011 "OG0000001" 0 601 0 "unique-multi-copy"
"8593" "Tfasc_v1.24647-RA" 169 167.798036465638 "OG0000001" 0 601 0 "unique-multi-copy"
"8596" "Tfasc_v1.19521-RA" 209 202.211781206171 "OG0000001" 0 601 0 "unique-multi-copy"
"8597" "Tfasc_v1.08473-RA" 122 103 "OG0000001" 0 601 0 "unique-multi-copy"
"8598" "Tfasc_v1.12673-RA" 249 253.157082748948 "OG0000001" 0 601 0 "unique-multi-copy"
"8601" "Tfasc_v1.00923-RA" 345 330.697054698457 "OG0000001" 0 601 0 "unique-multi-copy"
"8603" "Tfasc_v1.28502-RA" 195 179.502103786816 "OG0000001" 0 601 0 "unique-multi-copy"
"8604" "Tfasc_v1.13677-RA" 316 277.266479663394 "OG0000001" 0 601 0 "unique-multi-copy"
"8605" "Tfasc_v1.02624-RA" 102 104.98316970547 "OG0000001" 0 601 0 "unique-multi-copy"
"8606" "Tfasc_v1.02643-RA" 106 101.277661795407 "OG0000001" 0 601 0 "unique-multi-copy"
"8614" "Tfasc_v1.22063-RA" 124 115.434782608696 "OG0000001" 0 601 0 "unique-multi-copy"
"8616" "Tfasc_v1.03854-RA" 147 150.085553997195 "OG0000001" 0 601 0 "unique-multi-copy"
"8636" "Tfasc_v1.03906-RA" 116 122.035063113604 "OG0000001" 0 601 0 "unique-multi-copy"
"8637" "Tfasc_v1.18946-RA" 122 119.797297297297 "OG0000001" 0 601 0 "unique-multi-copy"
"8638" "Tfasc_v1.23535-RA" 150 231.910238429173 "OG0000001" 0 601 0 "unique-multi-copy"
"8646" "Tfasc_v1.18118-RA" 209 188.242636746143 "OG0000001" 0 601 0 "unique-multi-copy"
"8647" "Tfasc_v1.15658-RA" 111 100.677419354839 "OG0000001" 0 601 0 "unique-multi-copy"
"8655" "Tfasc_v1.11389-RA" 125 121.071528751753 "OG0000001" 0 601 0 "unique-multi-copy"
"8670" "Tfasc_v1.21023-RA" 202 204.713884992987 "OG0000001" 0 601 0 "unique-multi-copy"
"8671" "Tfasc_v1.24656-RA" 142 150.180925666199 "OG0000001" 0 601 0 "unique-multi-copy"
"8672" "Tfasc_v1.17927-RA" 111 120.604488078541 "OG0000001" 0 601 0 "unique-multi-copy"
"8673" "Tfasc_v1.29188-RA" 168 175.963534361851 "OG0000001" 0 601 0 "unique-multi-copy"
"8674" "Tfasc_v1.29189-RA" 137 132.377279102384 "OG0000001" 0 601 0 "unique-multi-copy"
"8675" "Tfasc_v1.05447-RA" 119 130.173913043478 "OG0000001" 0 601 0 "unique-multi-copy"
"8676" "Tfasc_v1.21736-RA" 170 197.447405329593 "OG0000001" 0 601 0 "unique-multi-copy"
"8677" "Tfasc_v1.25431-RA" 202 184.290322580645 "OG0000001" 0 601 0 "unique-multi-copy"
"8680" "Tfasc_v1.11322-RA" 104 96.695652173913 "OG0000001" 0 601 0 "unique-multi-copy"
"8686" "Tfasc_v1.12848-RA" 147 142.328190743338 "OG0000001" 0 601 0 "unique-multi-copy"
"8691" "Tfasc_v1.25368-RA" 115 130.322580645161 "OG0000001" 0 601 0 "unique-multi-copy"
"8698" "Tfasc_v1.20924-RA" 276 251.019635343619 "OG0000001" 0 601 0 "unique-multi-copy"
"8702" "Tfasc_v1.23476-RA" 116 108.892005610098 "OG0000001" 0 601 0 "unique-multi-copy"
"8707" "Tfasc_v1.01029-RA" 109 159.890603085554 "OG0000001" 0 601 0 "unique-multi-copy"
"8714" "Tfasc_v1.24590-RA" 120 159.455820476858 "OG0000001" 0 601 0 "unique-multi-copy"
"8717" "Tfasc_v1.07279-RA" 197 203 "OG0000001" 0 601 0 "unique-multi-copy"
"8720" "Tfasc_v1.07177-RA" 153 175.354838709677 "OG0000001" 0 601 0 "unique-multi-copy"
"8723" "Tfasc_v1.23526-RA" 148 147.51356993737 "OG0000001" 0 601 0 "unique-multi-copy"
"8727" "Tfasc_v1.15671-RA" 213.5 218.203821656051 "OG0000001" 0 601 0 "unique-multi-copy"
"8752" "Tfasc_v1.21784-RA" 138.5 132.765853658537 "OG0000001" 0 601 0 "unique-multi-copy"
"8753" "Tfasc_v1.05387-RA" 129 120.742268041237 "OG0000001" 0 601 0 "unique-multi-copy"
"8754" "Tfasc_v1.07236-RA" 155 130.25289017341 "OG0000001" 0 601 0 "unique-multi-copy"
"8760" "Tfasc_v1.16683-RA" 110 113.352 "OG0000001" 0 601 0 "unique-multi-copy"
"8789" "Tfasc_v1.19799-RA" 126 128.562412342216 "OG0000001" 0 601 0 "unique-multi-copy"
"8791" "Tfasc_v1.27198-RA" 152.5 143.182634730539 "OG0000001" 0 601 0 "unique-multi-copy"
"8838" "Tfasc_v1.16514-RA" 104 107.290322580645 "OG0000001" 0 601 0 "unique-multi-copy"
"8850" "Tfasc_v1.07148-RA" 250 265.162692847125 "OG0000001" 0 601 0 "unique-multi-copy"
"8851" "Tfasc_v1.26401-RA" 125 128.859747545582 "OG0000001" 0 601 0 "unique-multi-copy"
"8872" "Tfasc_v1.01011-RA" 418 405.082748948107 "OG0000001" 0 601 0 "unique-multi-copy"
"8873" "Tfasc_v1.28386-RA" 120 120.953716690042 "OG0000001" 0 601 0 "unique-multi-copy"
"8874" "Tfasc_v1.25388-RA" 124 121.973352033661 "OG0000001" 0 601 0 "unique-multi-copy"
"8878" "Tfasc_v1.22071-RA" 136 151.290322580645 "OG0000001" 0 601 0 "unique-multi-copy"
"8880" "Tfasc_v1.16642-RA" 121 116.854137447405 "OG0000001" 0 601 0 "unique-multi-copy"
"8908" "Tfasc_v1.23552-RA" 105 107.908396946565 "OG0000001" 0 601 0 "unique-multi-copy"
"8912" "Tfasc_v1.19937-RA" 130 123.492286115007 "OG0000001" 0 601 0 "unique-multi-copy"
"8913" "Tfasc_v1.07151-RA" 186 187.942496493689 "OG0000001" 0 601 0 "unique-multi-copy"
"8914" "Tfasc_v1.13429-RA" 200 146.380084151473 "OG0000001" 0 601 0 "unique-multi-copy"
"8918" "Tfasc_v1.26279-RA" 315 312.976157082749 "OG0000001" 0 601 0 "unique-multi-copy"
"8919" "Tfasc_v1.28456-RA" 107 109.301542776999 "OG0000001" 0 601 0 "unique-multi-copy"
"8923" "Tfasc_v1.03836-RA" 150 214.015427769986 "OG0000001" 0 601 0 "unique-multi-copy"
"8925" "Tfasc_v1.03936-RA" 119 126.928471248247 "OG0000001" 0 601 0 "unique-multi-copy"
"9083" "Tfasc_v1.19596-RA" 7340 5949.16783216783 "OG0010793" 1 1 1 "ancestral-single-copy"
"9314" "Tfasc_v1.26358-RA" 1156 1128.52195121951 "OG0015275" 1 1 1 "ancestral-single-copy"
"9535" "Tfasc_v1.05472-RA" 124 124.628458498024 "OG0005373" 1 2 1 "multi-copy"
"9591" "Tfasc_v1.04029-RA" 145 142.17348403301 "OG0000150" 0 23 0 "unique-multi-copy"
"9647" "Tfasc_v1.24912-RA" 234 235.160377358491 "OG0000157" 0 22 0 "unique-multi-copy"
"9652" "Tfasc_v1.22070-RA" 169.5 169.333333333333 "OG0000157" 0 22 0 "unique-multi-copy"
"9653" "Tfasc_v1.24911-RA" 210 203.87106918239 "OG0000157" 0 22 0 "unique-multi-copy"
"9654" "Tfasc_v1.22069-RA" 167.5 173.471698113208 "OG0000157" 0 22 0 "unique-multi-copy"
"9782" "Tfasc_v1.21791-RA" 132 138.400952261621 "OG0018165" 0 2 0 "unique-multi-copy"
"9806" "Tfasc_v1.25471-RA" 7903 5650.40293398533 "OG0017695" 1 1 0 "single-copy"
"9993" "Tfasc_v1.24722-RA" 6562.5 5604.56916996047 "OG0018145" 0 1 1 "single-copy"
"10079" "Tfasc_v1.24721-RA" 426 402.068322981366 "OG0018144" 0 1 1 "single-copy"
"10167" "Tfasc_v1.25991-RA" 121 107.596060943887 "OG0002631" 2 1 2 "single-copy"
"10434" "Tfasc_v1.30451-RA" 320 343.019773059207 "OG0001565" 2 2 2 "ancestral-multi-copy"
"10813" "Tfasc_v1.08369-RA" 218 221.746143057504 "OG0000010" 0 126 0 "unique-multi-copy"
"10815" "Tfasc_v1.24892-RA" 294 289.481065918654 "OG0000010" 0 126 0 "unique-multi-copy"
"10817" "Tfasc_v1.07176-RA" 128 145.894810659187 "OG0000010" 0 126 0 "unique-multi-copy"
"10821" "Tfasc_v1.22165-RA" 136 134.92899408284 "OG0000010" 0 126 0 "unique-multi-copy"
"10825" "Tfasc_v1.21775-RA" 173 166.279102384292 "OG0000010" 0 126 0 "unique-multi-copy"
"10826" "Tfasc_v1.30292-RA" 129 125.451376146789 "OG0000010" 0 126 0 "unique-multi-copy"
"10842" "Tfasc_v1.19743-RA" 220 224.26507713885 "OG0000010" 0 126 0 "unique-multi-copy"
"10843" "Tfasc_v1.11598-RA" 129 120.614305750351 "OG0000010" 0 126 0 "unique-multi-copy"
"10846" "Tfasc_v1.10100-RA" 143 145.450210378682 "OG0000010" 0 126 0 "unique-multi-copy"
"10858" "Tfasc_v1.21787-RA" 101 100.833099579243 "OG0000010" 0 126 0 "unique-multi-copy"
"10861" "Tfasc_v1.21789-RA" 180 197.092566619916 "OG0000010" 0 126 0 "unique-multi-copy"
"10876" "Tfasc_v1.23496-RA" 210 193.904628330996 "OG0000010" 0 126 0 "unique-multi-copy"
"10877" "Tfasc_v1.19821-RA" 117 116.663394109397 "OG0000010" 0 126 0 "unique-multi-copy"
"10878" "Tfasc_v1.25346-RA" 161 165.12762973352 "OG0000010" 0 126 0 "unique-multi-copy"
"10882" "Tfasc_v1.21119-RA" 148 166.025245441795 "OG0000010" 0 126 0 "unique-multi-copy"
"10883" "Tfasc_v1.16711-RA" 123 126.179523141655 "OG0000010" 0 126 0 "unique-multi-copy"
