Ortho_ID	Tfas_ID	Tlei_ID	Method	Ka	Ks	Ka/Ks	P-Value(Fisher)	Length	S-Sites	N-Sites	Fold-Sites(0:2:4)	Substitutions	S-Substitutions	N-Substitutions	Fold-S-Substitutions(0:2:4)	Fold-N-Substitutions(0:2:4)	Divergence-Time	Substitution-Rate-Ratio(rTC:rAG:rTA:rCG:rTG:rCA/rCA)	GC(1:2:3)	ML-Score	AICc	Akaike-Weight	Model
OG0015255_NT	Tfasc_v1.13362-RA:cds	Tlei_v1.18518-RA:cds	MYN	0.0143879	0.0106087	1.35624	0.716063	768	249.299	518.701	NA	10	2.61304	7.38696	NA	NA	0.0131611	2.89513:12.1273:1:1:1:1	0.501145(0.520619:0.506873:0.475945)	NA	NA	NA	NA
OG0015289_NT	Tfasc_v1.00059-RA:cds	Tlei_v1.03619-RA:cds	MYN	0.0134584	0.0232659	0.578462	0.373673	864	263.134	600.866	NA	14	6	8	NA	NA	0.0164453	6.76125:5.10393:1:1:1:1	0.417653(0.457101:0.349112:0.446746)	NA	NA	NA	NA
OG0005768_NT	Tfasc_v1.14069-RA:cds	Tlei_v1.19231-RA:cds	MYN	0.00375343	0.0151892	0.247112	0.126537	735	200.329	534.671	NA	5	3	2	NA	NA	0.00687032	2:2:1:1:1:1	0.478941(0.537906:0.416968:0.481949)	NA	NA	NA	NA
OG0009461_NT	Tfasc_v1.30439-RA:cds	Tlei_v1.20577-RA:cds	MYN	0.0693695	0.0953661	0.727402	0.595822	249	76.3119	172.688	NA	18	6.65518	11.3448	NA	NA	0.0773368	4.79183:12.7137:1:1:1:1	0.508418(0.5:0.520202:0.505051)	NA	NA	NA	NA
OG0014332_NT	Tfasc_v1.30361-RA:cds	Tlei_v1.20595-RA:cds	MYN	0.213935	0.608233	0.351732	0.00128916	273	51.6403	221.36	NA	61	20.1707	40.8293	NA	NA	0.28852	0.906188:0.432002:1:1:1:1	0.42042(0.405405:0.373874:0.481982)	NA	NA	NA	NA
OG0015992_NT	Tfasc_v1.06692-RA:cds	Tlei_v1.14558-RA:cds	MYN	0.246913	0.399912	0.617418	0.024023	495	135.837	359.163	NA	117	41.5493	75.4507	NA	NA	0.288899	1.44998:1.32117:1:1:1:1	0.454148(0.532751:0.40393:0.425764)	NA	NA	NA	NA
OG0002612_NT	Tfasc_v1.08400-RA:cds	Tlei_v1.13622-RA:cds	MYN	0.00490363	0.0100888	0.486048	0.229168	1425	401.477	1023.52	NA	9	4	5	NA	NA	0.00636448	2:2:1:1:1:1	0.489097(0.560748:0.437383:0.469159)	NA	NA	NA	NA
OG0011444_NT	Tfasc_v1.16641-RA:cds	Tlei_v1.07216-RA:cds	MYN	0.00270314	0.0114242	0.236614	0.117391	1008	266.422	741.578	NA	5	3	2	NA	NA	0.00500819	2:2:1:1:1:1	0.445587(0.521851:0.380463:0.434447)	NA	NA	NA	NA
OG0014588_NT	Tfasc_v1.18743-RA:cds	Tlei_v1.16812-RA:cds	MYN	0.0157594	0.00749222	2.10343	0.542354	396	138.949	257.051	NA	5	1	4	NA	NA	0.0128586	10.4162:2.54175:1:1:1:1	0.536093(0.579618:0.426752:0.601911)	NA	NA	NA	NA
OG0014741_NT	Tfasc_v1.11255-RA:cds	Tlei_v1.12220-RA:cds	MYN	0.0386933	0.0954821	0.405241	0.00384311	948	218.488	729.512	NA	47	19.5174	27.4826	NA	NA	0.0517815	2.02725:2.55193:1:1:1:1	0.409741(0.505362:0.348525:0.375335)	NA	NA	NA	NA
OG0014556_NT	Tfasc_v1.18645-RA:cds	Tlei_v1.16892-RA:cds	MYN	0.00241986	0.0157176	0.153958	0.0308414	1086	257.97	828.03	NA	6	4	2	NA	NA	0.00557863	2:2:1:1:1:1	0.46026(0.448905:0.456204:0.475669)	NA	NA	NA	NA
OG0008168_NT	Tfasc_v1.15520-RA:cds	Tlei_v1.22207-RA:cds	MYN	0.0024894	0.0265174	0.0938781	6.78332e-05	1116	311.051	804.949	NA	10	8	2	NA	NA	0.00918648	2:2:1:1:1:1	0.47806(0.56351:0.424942:0.445727)	NA	NA	NA	NA
OG0012130_NT	Tfasc_v1.15998-RA:cds	Tlei_v1.22635-RA:cds	MYN	0.0160505	0.0383952	0.418035	0.0399684	1203	320.918	882.082	NA	26	12	14	NA	NA	0.0220113	1.06126:4.95931:1:1:1:1	0.444682(0.490364:0.37045:0.473233)	NA	NA	NA	NA
OG0005919_NT	Tfasc_v1.14243-RA:cds	Tlei_v1.30609-RA:cds	MYN	0.00191636	0.0255704	0.0749443	0.00667548	723	199.051	523.949	NA	6	5	1	NA	NA	0.00842863	1.73045:2.13971:1:1:1:1	0.441207(0.466258:0.394172:0.46319)	NA	NA	NA	NA
OG0006834_NT	Tfasc_v1.27800-RA:cds	Tlei_v1.30086-RA:cds	MYN	0.00674026	0.0155049	0.434719	0.143271	1221	326.343	894.657	NA	11	5	6	NA	NA	0.00908282	2.22159:2.08427:1:1:1:1	0.532065(0.564482:0.468288:0.563425)	NA	NA	NA	NA
OG0010189_NT	Tfasc_v1.17602-RA:cds	Tlei_v1.26496-RA:cds	MYN	0.0096215	0.0100992	0.952698	0.660415	519	100.498	418.502	NA	5	1	4	NA	NA	0.009714	4.07912:3.26983:1:1:1:1	0.520129(0.47343:0.410628:0.676329)	NA	NA	NA	NA
OG0010998_NT	Tfasc_v1.10799-RA:cds	Tlei_v1.12732-RA:cds	MYN	0.138038	0.351475	0.39274	0.00453187	315	80.1157	234.884	NA	51	21.4222	29.5778	NA	NA	0.192323	1.77924:1.01828:1:1:1:1	0.575881(0.49187:0.605691:0.630081)	NA	NA	NA	NA
OG0011706_NT	Tfasc_v1.00364-RA:cds	Tlei_v1.03366-RA:cds	MYN	0.0117047	NA	NA	NA	228	55.2354	172.765	NA	2	NA	2	NA	NA	0.00886909	2:2:1:1:1:1	0.494186(0.540698:0.401163:0.540698)	NA	NA	NA	NA
OG0003911_NT	Tfasc_v1.17512-RA:cds	Tlei_v1.26414-RA:cds	MYN	0.00405912	0.0174349	0.232816	0.0247484	1341	352.448	988.552	NA	10	6	4	NA	NA	0.0075746	2:2:1:1:1:1	0.463852(0.496161:0.419386:0.476008)	NA	NA	NA	NA
OG0013202_NT	Tfasc_v1.10590-RA:cds	Tlei_v1.25166-RA:cds	MYN	0.0108564	0.0876716	0.123831	7.32291e-07	1284	170.502	1113.5	NA	26	14	12	NA	NA	0.0210567	0.527026:1.87594:1:1:1:1	0.577244(0.532359:0.433194:0.76618)	NA	NA	NA	NA
OG0013823_NT	Tfasc_v1.11070-RA:cds	Tlei_v1.12419-RA:cds	MYN	0.0354447	0.061401	0.577266	0.10069	972	262.846	709.154	NA	40	15.4653	24.5347	NA	NA	0.0424637	2.34942:1.63702:1:1:1:1	0.450698(0.46466:0.390052:0.497382)	NA	NA	NA	NA
OG0014336_NT	Tfasc_v1.18206-RA:cds	Tlei_v1.05121-RA:cds	MYN	0.00348908	0.00672798	0.518593	0.491357	726	149.551	576.449	NA	3	1	2	NA	NA	0.00415628	2:2:1:1:1:1	0.566082(0.522807:0.447368:0.72807)	NA	NA	NA	NA
OG0005060_NT	Tfasc_v1.16727-RA:cds	Tlei_v1.07641-RA:cds	MYN	0.0100085	0.0153396	0.652463	0.404607	1302	396.406	905.594	NA	15	6	9	NA	NA	0.0116316	6.86065:9.78057:1:1:1:1	0.482456(0.537594:0.445489:0.464286)	NA	NA	NA	NA
OG0007974_NT	Tfasc_v1.14970-RC:cds	Tlei_v1.21699-RA:cds	MYN	0.00457329	0.0105291	0.434347	0.273844	1359	481.129	877.871	NA	9	5	4	NA	NA	0.00668183	6.61426:6.00007:1:1:1:1	0.564579(0.618395:0.561644:0.513699)	NA	NA	NA	NA
OG0011409_NT	Tfasc_v1.17223-RA:cds	Tlei_v1.04920-RA:cds	MYN	0.00693489	0.014245	0.486831	0.130255	1263	328.304	934.696	NA	11	4.55351	6.44649	NA	NA	0.00883507	2.70397:3.87426:1:1:1:1	0.448397(0.470192:0.343269:0.531731)	NA	NA	NA	NA
OG0006660_NT	Tfasc_v1.01565-RA:cds	Tlei_v1.01893-RA:cds	MYN	0.00738136	0.0165416	0.44623	0.325501	531	122.435	408.565	NA	5	2	3	NA	NA	0.00949348	2:2:1:1:1:1	0.466035(0.523697:0.329384:0.545024)	NA	NA	NA	NA
OG0015851_NT	Tfasc_v1.18528-RA:cds	Tlei_v1.17016-RA:cds	MYN	0.0203032	0.0126273	1.60788	0.429754	1056	283.117	772.883	NA	19	3.52085	15.4791	NA	NA	0.0182453	2.5168:2.07976:1:1:1:1	0.454288(0.411408:0.461165:0.490291)	NA	NA	NA	NA
OG0011408_NT	Tfasc_v1.17224-RA:cds	Tlei_v1.04919-RA:cds	MYN	0.0139202	0.058858	0.236504	3.68823e-05	1188	346.114	841.886	NA	31	19.4059	11.5941	NA	NA	0.0270124	9.3613:16.8001:1:1:1:1	0.487696(0.506711:0.385906:0.57047)	NA	NA	NA	NA
OG0012708_NT	Tfasc_v1.20603-RA:cds	Tlei_v1.18272-RA:cds	MYN	0.00646191	0.0125287	0.515771	0.307582	864	241.939	622.061	NA	7	3	4	NA	NA	0.00816073	2:2:1:1:1:1	0.445402(0.442529:0.433908:0.45977)	NA	NA	NA	NA
OG0010361_NT	Tfasc_v1.07860-RA:cds	Tlei_v1.15858-RA:cds	MYN	0.0275448	0.0231784	1.18838	0.819598	894	265.169	628.831	NA	23	6	17	NA	NA	0.0262497	3.1568:2.36325:1:1:1:1	0.462441(0.511268:0.440845:0.435211)	NA	NA	NA	NA
OG0007987_NT	Tfasc_v1.14997-RA:cds	Tlei_v1.21727-RA:cds	MYN	0.0158602	0.0224779	0.70559	0.359166	1176	409.647	766.353	NA	21	9	12	NA	NA	0.0181654	27.0432:12.2857:1:1:1:1	0.398567(0.485294:0.335973:0.374434)	NA	NA	NA	NA
OG0009648_NT	Tfasc_v1.16076-RA:cds	Tlei_v1.06626-RA:cds	MYN	0.00500813	0.0163296	0.30669	0.0950202	1050	248.212	801.788	NA	8	4	4	NA	NA	0.00768444	2:2:1:1:1:1	0.423786(0.457286:0.405779:0.408291)	NA	NA	NA	NA
OG0013256_NT	Tfasc_v1.02064-RA:cds	Tlei_v1.27118-RA:cds	MYN	0.0105931	0.0430133	0.246275	0.0133899	672	193.753	478.247	NA	13	8	5	NA	NA	0.0199406	3.1377:2.49471:1:1:1:1	0.450258(0.513566:0.408915:0.428295)	NA	NA	NA	NA
OG0018646_NT	Tfasc_v1.26972-RA:cds	Tlei_v1.28606-RA:cds	MYN	0.0327595	0.0424191	0.772282	0.710524	288	91.6072	196.393	NA	10	3.74735	6.25265	NA	NA	0.035832	4.15182:9.44807:1:1:1:1	0.531609(0.482759:0.534483:0.577586)	NA	NA	NA	NA
OG0009462_NT	Tfasc_v1.30456-RA:cds	Tlei_v1.21055-RA:cds	MYN	0.00778857	0.0108251	0.719494	0.505932	705	188.178	516.822	NA	6	2	4	NA	NA	0.00859907	4.2988:5.99399:1:1:1:1	0.406934(0.536496:0.388686:0.29562)	NA	NA	NA	NA
OG0013407_NT	Tfasc_v1.30670-RA:cds	Tlei_v1.21249-RA:cds	MYN	0.00324228	0.0315804	0.102668	6.43113e-06	1317	389.412	927.588	NA	15	12	3	NA	NA	0.0116213	4.63866:1.08167:1:1:1:1	0.511202(0.533605:0.425662:0.574338)	NA	NA	NA	NA
OG0019508_NT	Tfasc_v1.19530-RA:cds	Tlei_v1.06430-RA:cds	MYN	0.0454279	0.124117	0.366008	0.00636401	411	141.297	269.703	NA	28	16.1174	11.8826	NA	NA	0.0724804	2.03417:2.77442:1:1:1:1	0.517117(0.5:0.578378:0.472973)	NA	NA	NA	NA
OG0006997_NT	Tfasc_v1.27213-RA:cds	Tlei_v1.29743-RA:cds	MYN	0.0204201	0.102021	0.200155	0.00746954	609	51.2967	557.703	NA	16	4.78852	11.2115	NA	NA	0.0272934	2:2:1:1:1:1	0.653955(0.667373:0.5:0.794492)	NA	NA	NA	NA
OG0018894_NT	Tfasc_v1.30310-RA:cds	Tlei_v1.20644-RA:cds	MYN	0.012228	0.0414531	0.294984	0.0025158	1401	327.169	1073.83	NA	26	13	13	NA	NA	0.0190528	7.45067:6.44986:1:1:1:1	0.574144(0.580798:0.438213:0.703422)	NA	NA	NA	NA
OG0013842_NT	Tfasc_v1.11123-RA:cds	Tlei_v1.12371-RA:cds	MYN	0.0554091	0.0373165	1.48484	0.503362	570	138.716	431.284	NA	28	5.0119	22.9881	NA	NA	0.0510061	1.09902:2.6567:1:1:1:1	0.391629(0.349776:0.403587:0.421525)	NA	NA	NA	NA
OG0018898_NT	Tfasc_v1.30398-RA:cds	Tlei_v1.00809-RA:cds	MYN	0.101836	0.272103	0.374254	0.000941237	459	91.9235	367.077	NA	55	20.3124	34.6876	NA	NA	0.135935	3.63183:4.0828:1:1:1:1	0.33624(0.40407:0.331395:0.273256)	NA	NA	NA	NA
OG0002972_NT	Tfasc_v1.01130-RA:cds	Tlei_v1.02341-RA:cds	MYN	0.0440876	NA	NA	NA	504	174.713	329.287	NA	14	NA	14	NA	NA	0.0288045	12.426:8.08167:1:1:1:1	0.423077(0.415385:0.392308:0.461538)	NA	NA	NA	NA
OG0004434_NT	Tfasc_v1.23692-RA:cds	Tlei_v1.22940-RA:cds	MYN	0.0160815	0.0681016	0.23614	8.86015e-06	1242	311.04	930.96	NA	35	20.1917	14.8083	NA	NA	0.0291091	2.04815:1.66271:1:1:1:1	0.484064(0.515936:0.37749:0.558765)	NA	NA	NA	NA
OG0006047_NT	Tfasc_v1.14472-RA:cds	Tlei_v1.30378-RA:cds	MYN	0.0613796	0.0860512	0.713291	0.2969	660	189.854	470.146	NA	43	15.3153	27.6847	NA	NA	0.0684766	5.35433:2.9542:1:1:1:1	0.460474(0.498024:0.3083:0.575099)	NA	NA	NA	NA
OG0009313_NT	Tfasc_v1.29962-RA:cds	Tlei_v1.20932-RA:cds	MYN	0.0487361	0.114683	0.424963	0.0223728	522	111.88	410.12	NA	31	11.6721	19.3279	NA	NA	0.0628706	0.837332:1.88496:1:1:1:1	0.444167(0.46:0.4625:0.41)	NA	NA	NA	NA
OG0005915_NT	Tfasc_v1.14240-RA:cds	Tlei_v1.30613-RA:cds	MYN	0.00512402	0.0351727	0.145682	0.00429389	795	207.267	587.733	NA	10	7	3	NA	NA	0.0129581	2:2:1:1:1:1	0.526515(0.569805:0.404221:0.605519)	NA	NA	NA	NA
OG0007226_NT	Tfasc_v1.09055-RA:cds	Tlei_v1.12980-RA:cds	MYN	0.0122709	0.0312424	0.392765	0.170077	462	132.808	329.192	NA	8	4	4	NA	NA	0.0177245	5.47517:4.70178:1:1:1:1	0.43597(0.440678:0.364407:0.502825)	NA	NA	NA	NA
OG0007849_NT	Tfasc_v1.20454-RA:cds	Tlei_v1.05235-RA:cds	MYN	0.0761719	0.103197	0.73812	0.23393	786	213.208	572.792	NA	62	20.5205	41.4795	NA	NA	0.0835027	1.46872:1.02674:1:1:1:1	0.421601(0.501645:0.389803:0.373355)	NA	NA	NA	NA
OG0007926_NT	Tfasc_v1.14903-RA:cds	Tlei_v1.21635-RA:cds	MYN	0.00592488	0.00908052	0.652482	0.624155	1182	333.487	848.513	NA	8	3	5	NA	NA	0.00681521	2:2:1:1:1:1	0.489187(0.551454:0.402685:0.513423)	NA	NA	NA	NA
OG0012759_NT	Tfasc_v1.04039-RA:cds	Tlei_v1.08819-RA:cds	MYN	0.0701098	0.055116	1.27204	0.706913	690	152.405	537.595	NA	44	8.05398	35.946	NA	NA	0.0667981	1.536:1.24712:1:1:1:1	0.399481(0.455253:0.342412:0.400778)	NA	NA	NA	NA
OG0009059_NT	Tfasc_v1.16560-RA:cds	Tlei_v1.07129-RA:cds	MYN	0.0584552	0.10884	0.537076	0.0317029	684	168.282	515.718	NA	46	17.0027	28.9973	NA	NA	0.0708512	1.44551:0.994966:1:1:1:1	0.46224(0.494141:0.431641:0.460938)	NA	NA	NA	NA
OG0013478_NT	Tfasc_v1.11691-RA:cds	Tlei_v1.11426-RA:cds	MYN	0.00445979	0.00896643	0.497388	0.366566	900	225.139	674.861	NA	5	2	3	NA	NA	0.00558715	2:2:1:1:1:1	0.419668(0.477839:0.394737:0.386427)	NA	NA	NA	NA
OG0002950_NT	Tfasc_v1.14329-RA:cds	Tlei_v1.30519-RA:cds	MYN	0.00539641	0.0147078	0.366908	0.200626	765	206.292	558.708	NA	6	3	3	NA	NA	0.00790733	2:2:1:1:1:1	0.495935(0.560976:0.400697:0.526132)	NA	NA	NA	NA
OG0007144_NT	Tfasc_v1.08899-RA:cds	Tlei_v1.13125-RA:cds	MYN	0.00576637	0.014864	0.387941	0.196449	903	204.856	698.144	NA	7	3	4	NA	NA	0.00783028	2:2:1:1:1:1	0.481159(0.502899:0.352174:0.588406)	NA	NA	NA	NA
OG0018505_NT	Tfasc_v1.06114-RA:cds	Tlei_v1.09605-RA:cds	MYN	NA	NA	NA	NA	201	82.8263	118.174	NA	0	NA	NA	NA	NA	NA	2:2:1:1:1:1	0.527778(0.519231:0.641026:0.423077)	NA	NA	NA	NA
OG0009624_NT	Tfasc_v1.24962-RA:cds	Tlei_v1.28660-RA:cds	MYN	0.00778269	0.0708366	0.109868	8.84566e-06	960	179.999	780.001	NA	18	12	6	NA	NA	0.0196052	13.3095:2.12795:1:1:1:1	0.571117(0.528796:0.430628:0.753927)	NA	NA	NA	NA
OG0018406_NT	Tfasc_v1.01278-RA:cds	Tlei_v1.02178-RA:cds	MYN	0.004149	0.0625299	0.0663522	2.94174e-05	672	188.033	483.967	NA	13	11	2	NA	NA	0.0204846	2:2:1:1:1:1	0.542767(0.549057:0.473585:0.60566)	NA	NA	NA	NA
OG0012018_NT	Tfasc_v1.21608-RA:cds	Tlei_v1.17133-RA:cds	MYN	0.00444034	0.00588342	0.75472	0.59932	624	171.709	452.291	NA	3	1	2	NA	NA	0.00483744	2:2:1:1:1:1	0.439759(0.506024:0.429719:0.383534)	NA	NA	NA	NA
OG0007405_NT	Tfasc_v1.22523-RA:cds	Tlei_v1.19777-RA:cds	MYN	0.0012369	0.0144438	0.085635	0.0159852	1089	279.765	809.235	NA	5	4	1	NA	NA	0.00462977	2:2:1:1:1:1	0.45873(0.536905:0.421429:0.417857)	NA	NA	NA	NA
OG0018125_NT	Tfasc_v1.24489-RA:cds	Tlei_v1.25859-RA:cds	MYN	0.00752945	0.02554	0.29481	0.0869811	699	160.884	538.116	NA	8	4	4	NA	NA	0.0116748	2:2:1:1:1:1	0.567708(0.539931:0.494792:0.668403)	NA	NA	NA	NA
OG0009850_NT	Tfasc_v1.03527-RA:cds	Tlei_v1.09486-RA:cds	MYN	0.00832231	0.0286735	0.290244	0.0267603	978	250.443	727.557	NA	13	7	6	NA	NA	0.0135338	2:2:1:1:1:1	0.410223(0.391753:0.400773:0.438144)	NA	NA	NA	NA
OG0013836_NT	Tfasc_v1.11116-RA:cds	Tlei_v1.12380-RA:cds	MYN	0.00637937	0.0185311	0.344252	0.273475	426	110.658	315.342	NA	4	2	2	NA	NA	0.00953591	2:2:1:1:1:1	0.449495(0.448485:0.384848:0.515152)	NA	NA	NA	NA
OG0012191_NT	Tfasc_v1.01786-RA:cds	Tlei_v1.27409-RA:cds	MYN	0.0762403	0.16844	0.452625	0.0009227	960	212.073	747.927	NA	86	31.8107	54.1893	NA	NA	0.0966082	1.60299:2.59107:1:1:1:1	0.507378(0.536458:0.359375:0.626302)	NA	NA	NA	NA
OG0003973_NT	Tfasc_v1.07739-RA:cds	Tlei_v1.15746-RA:cds	MYN	0.0577786	0.0989443	0.58395	0.0731352	891	206.297	684.703	NA	57	18.9421	38.0579	NA	NA	0.0673099	1.32587:1.31585:1:1:1:1	0.404286(0.464286:0.36:0.388571)	NA	NA	NA	NA
OG0010478_NT	Tfasc_v1.07622-RA:cds	Tlei_v1.15628-RA:cds	MYN	0.00385785	0.0375052	0.102862	0.0411328	345	82.7298	262.27	NA	4	3	1	NA	NA	0.0119264	2:2:1:1:1:1	0.467949(0.546154:0.311538:0.546154)	NA	NA	NA	NA
OG0006878_NT	Tfasc_v1.27734-RA:cds	Tlei_v1.30021-RA:cds	MYN	0.00219922	0.0197308	0.111461	0.0512093	615	159.498	455.502	NA	4	3	1	NA	NA	0.00674598	2:2:1:1:1:1	0.506303(0.596639:0.352941:0.569328)	NA	NA	NA	NA
OG0018917_NT	Tfasc_v1.07910-RA:cds	Tlei_v1.20562-RA:cds	MYN	0.00995038	0.00434689	2.28908	0.382636	237	60.6947	176.305	NA	2	0.262804	1.7372	NA	NA	0.00851535	2:2:1:1:1:1	0.393773(0.467033:0.302198:0.412088)	NA	NA	NA	NA
OG0010703_NT	Tfasc_v1.12051-RA:cds	Tlei_v1.11100-RA:cds	MYN	0.012577	0.0325814	0.386017	0.015724	1545	356.734	1188.27	NA	26	11.1876	14.8124	NA	NA	0.0171959	1.45118:4.12685:1:1:1:1	0.449565(0.506957:0.413043:0.428696)	NA	NA	NA	NA
OG0010161_NT	Tfasc_v1.17566-RA:cds	Tlei_v1.26466-RA:cds	MYN	0.023748	0.0797326	0.297845	0.0902206	195	66.2919	128.708	NA	8	5	3	NA	NA	0.0427804	1.74783:2.09226:1:1:1:1	0.495833(0.4625:0.51875:0.50625)	NA	NA	NA	NA
OG0012163_NT	Tfasc_v1.15911-RA:cds	Tlei_v1.22746-RA:cds	MYN	0.0895218	0.163539	0.547404	0.0215131	603	163.149	439.851	NA	60	23.7427	36.2573	NA	NA	0.109548	3.22377:5.34778:1:1:1:1	0.494993(0.538627:0.409871:0.536481)	NA	NA	NA	NA
OG0013455_NT	Tfasc_v1.30543-RA:cds	Tlei_v1.21130-RA:cds	MYN	0.00572469	0.0275624	0.207699	0.0166843	927	225.466	701.534	NA	10	6	4	NA	NA	0.0110361	2:2:1:1:1:1	0.467391(0.466033:0.383152:0.552989)	NA	NA	NA	NA
OG0011360_NT	Tfasc_v1.18310-RA:cds	Tlei_v1.05020-RA:cds	MYN	0.0106796	0.013289	0.803642	0.869662	531	152.429	378.571	NA	6	2	4	NA	NA	0.0114287	2:2:1:1:1:1	0.361111(0.415152:0.322727:0.345455)	NA	NA	NA	NA
OG0009083_NT	Tfasc_v1.13688-RA:cds	Tlei_v1.19010-RA:cds	MYN	0.0771547	0.147172	0.524248	0.00275005	1407	313.252	1093.75	NA	121	40.8238	80.1762	NA	NA	0.0927432	1.93838:1.53042:1:1:1:1	0.509603(0.51487:0.383829:0.630112)	NA	NA	NA	NA
OG0007639_NT	Tfasc_v1.19989-RA:cds	Tlei_v1.05649-RA:cds	MYN	0.0231722	0.05324	0.435241	0.0231322	1080	228.859	851.141	NA	31	11.5818	19.4182	NA	NA	0.0295438	1.12711:0.9417:1:1:1:1	0.458333(0.503606:0.405048:0.466346)	NA	NA	NA	NA
OG0004807_NT	Tfasc_v1.26038-RA:cds	Tlei_v1.27759-RA:cds	MYN	0.0167611	0.0428003	0.391612	0.0124089	1410	305.902	1104.1	NA	31	12.7049	18.2951	NA	NA	0.0224103	0.686431:1.39017:1:1:1:1	0.412897(0.450078:0.374415:0.414197)	NA	NA	NA	NA
