Tfasc_v1.31994-RA	Scaffold_2305	267462	111692	121190	OG0000000	1	2100
Tfasc_v1.03999-RA	Scaffold_2318	31153634	14449572	14450285	OG0000001	772	0
Tfasc_v1.04000-RA	Scaffold_2318	31153634	14455435	14456148	OG0000001	772	0
Tfasc_v1.04010-RA	Scaffold_2318	31153634	15007395	15007988	OG0000001	772	0
Tfasc_v1.04026-RA	Scaffold_2318	31153634	16053500	16054213	OG0000001	772	0
Tfasc_v1.04031-RA	Scaffold_2318	31153634	16344750	16345463	OG0000001	772	0
Tfasc_v1.04052-RA	Scaffold_2318	31153634	17569744	17570457	OG0000001	772	0
Tfasc_v1.04066-RA	Scaffold_2318	31153634	18448763	18449476	OG0000001	772	0
Tfasc_v1.04067-RA	Scaffold_2318	31153634	18453675	18454388	OG0000001	772	0
Tfasc_v1.04068-RA	Scaffold_2318	31153634	18458584	18459297	OG0000001	772	0
Tfasc_v1.04077-RA	Scaffold_2318	31153634	19245800	19246513	OG0000001	772	0
Tfasc_v1.04104-RA	Scaffold_2318	31153634	20745188	20745901	OG0000001	772	0
Tfasc_v1.04142-RA	Scaffold_2318	31153634	22112142	22112855	OG0000001	772	0
Tfasc_v1.04176-RA	Scaffold_2318	31153634	23097454	23097990	OG0000001	772	0
Tfasc_v1.05227-RA	Scaffold_2041	30972320	6680686	6681399	OG0000001	772	0
Tfasc_v1.05235-RA	Scaffold_2041	30972320	6935732	6936202	OG0000001	772	0
Tfasc_v1.05296-RA	Scaffold_2041	30972320	9903816	9904529	OG0000001	772	0
Tfasc_v1.05305-RA	Scaffold_2041	30972320	10498848	10499561	OG0000001	772	0
Tfasc_v1.05311-RA	Scaffold_2041	30972320	10707854	10708567	OG0000001	772	0
Tfasc_v1.05318-RA	Scaffold_2041	30972320	11130601	11131035	OG0000001	772	0
Tfasc_v1.05337-RA	Scaffold_2041	30972320	12189628	12190293	OG0000001	772	0
Tfasc_v1.05362-RA	Scaffold_2041	30972320	13541313	13542026	OG0000001	772	0
Tfasc_v1.05376-RA	Scaffold_2041	30972320	14392006	14392719	OG0000001	772	0
Tfasc_v1.05387-RA	Scaffold_2041	30972320	14886035	14886520	OG0000001	772	0
Tfasc_v1.05389-RA	Scaffold_2041	30972320	14939670	14940275	OG0000001	772	0
Tfasc_v1.05395-RA	Scaffold_2041	30972320	15421630	15422343	OG0000001	772	0
Tfasc_v1.05487-RA	Scaffold_2041	30972320	19952552	19953265	OG0000001	772	0
Tfasc_v1.05538-RA	Scaffold_2041	30972320	21289061	21289774	OG0000001	772	0
Tfasc_v1.05622-RA	Scaffold_2041	30972320	23056182	23056895	OG0000001	772	0
Tfasc_v1.05624-RA	Scaffold_2041	30972320	23087812	23088525	OG0000001	772	0
Tfasc_v1.06977-RA	Scaffold_2096	30145683	4769991	4770611	OG0000001	772	0
Tfasc_v1.07040-RA	Scaffold_2096	30145683	6220025	6220738	OG0000001	772	0
Tfasc_v1.07058-RA	Scaffold_2096	30145683	6926154	6926867	OG0000001	772	0
Tfasc_v1.07069-RA	Scaffold_2096	30145683	7354566	7354955	OG0000001	772	0
Tfasc_v1.07090-RA	Scaffold_2096	30145683	8051925	8058604	OG0000001	772	0
Tfasc_v1.07150-RA	Scaffold_2096	30145683	10503933	10504322	OG0000001	772	0
Tfasc_v1.07151-RA	Scaffold_2096	30145683	10509123	10509836	OG0000001	772	0
Tfasc_v1.07174-RA	Scaffold_2096	30145683	11698180	11698893	OG0000001	772	0
Tfasc_v1.07177-RA	Scaffold_2096	30145683	11902856	11903569	OG0000001	772	0
Tfasc_v1.07179-RA	Scaffold_2096	30145683	11968631	11969344	OG0000001	772	0
Tfasc_v1.07182-RA	Scaffold_2096	30145683	12062027	12062740	OG0000001	772	0
Tfasc_v1.07193-RA	Scaffold_2096	30145683	13035534	13036232	OG0000001	772	0
Tfasc_v1.07196-RA	Scaffold_2096	30145683	13192876	13193589	OG0000001	772	0
Tfasc_v1.07203-RA	Scaffold_2096	30145683	13565701	13566414	OG0000001	772	0
Tfasc_v1.07206-RA	Scaffold_2096	30145683	13970929	13971642	OG0000001	772	0
Tfasc_v1.07220-RA	Scaffold_2096	30145683	14507869	14508582	OG0000001	772	0
Tfasc_v1.07231-RA	Scaffold_2096	30145683	15230824	15231528	OG0000001	772	0
Tfasc_v1.07234-RA	Scaffold_2096	30145683	15362488	15363192	OG0000001	772	0
Tfasc_v1.07236-RA	Scaffold_2096	30145683	15439648	15440340	OG0000001	772	0
Tfasc_v1.07279-RA	Scaffold_2096	30145683	17276808	17277521	OG0000001	772	0
Tfasc_v1.07280-RA	Scaffold_2096	30145683	17286364	17287077	OG0000001	772	0
Tfasc_v1.07326-RA	Scaffold_2096	30145683	19967392	19968042	OG0000001	772	0
Tfasc_v1.07339-RA	Scaffold_2096	30145683	21020526	21021239	OG0000001	772	0
Tfasc_v1.07389-RA	Scaffold_2096	30145683	23007039	23007752	OG0000001	772	0
Tfasc_v1.08146-RA	Scaffold_2315	29567185	3380054	3380728	OG0000001	772	0
Tfasc_v1.08225-RA	Scaffold_2315	29567185	7308561	7347402	OG0000001	772	0
Tfasc_v1.08366-RA	Scaffold_2315	29567185	12552930	12553319	OG0000001	772	0
Tfasc_v1.08370-RA	Scaffold_2315	29567185	12822774	12823487	OG0000001	772	0
Tfasc_v1.08371-RA	Scaffold_2315	29567185	12875962	12876675	OG0000001	772	0
Tfasc_v1.08379-RA	Scaffold_2315	29567185	13196106	13196819	OG0000001	772	0
Tfasc_v1.08383-RA	Scaffold_2315	29567185	13272621	13273334	OG0000001	772	0
Tfasc_v1.08386-RA	Scaffold_2315	29567185	13423522	13424235	OG0000001	772	0
Tfasc_v1.08423-RA	Scaffold_2315	29567185	15269664	15270377	OG0000001	772	0
Tfasc_v1.08424-RA	Scaffold_2315	29567185	15365205	15365918	OG0000001	772	0
Tfasc_v1.08433-RA	Scaffold_2315	29567185	15887178	15887888	OG0000001	772	0
Tfasc_v1.08437-RA	Scaffold_2315	29567185	16215275	16215886	OG0000001	772	0
Tfasc_v1.08459-RA	Scaffold_2315	29567185	17106514	17107227	OG0000001	772	0
Tfasc_v1.08462-RA	Scaffold_2315	29567185	17240525	17241238	OG0000001	772	0
Tfasc_v1.08472-RA	Scaffold_2315	29567185	17945703	17950997	OG0000001	772	0
Tfasc_v1.08473-RA	Scaffold_2315	29567185	17970985	17971698	OG0000001	772	0
Tfasc_v1.08504-RA	Scaffold_2315	29567185	19683689	19684402	OG0000001	772	0
Tfasc_v1.08516-RA	Scaffold_2315	29567185	20082132	20082845	OG0000001	772	0
Tfasc_v1.08519-RA	Scaffold_2315	29567185	20098558	20099271	OG0000001	772	0
Tfasc_v1.08534-RA	Scaffold_2315	29567185	20571730	20572026	OG0000001	772	0
Tfasc_v1.08566-RA	Scaffold_2315	29567185	22326593	22327306	OG0000001	772	0
Tfasc_v1.08569-RA	Scaffold_2315	29567185	22447550	22448263	OG0000001	772	0
Tfasc_v1.08572-RA	Scaffold_2315	29567185	22580874	22581587	OG0000001	772	0
Tfasc_v1.08592-RA	Scaffold_2315	29567185	23297261	23297608	OG0000001	772	0
Tfasc_v1.09767-RA	Scaffold_2317	27230796	4335627	4336340	OG0000001	772	0
Tfasc_v1.09866-RA	Scaffold_2317	27230796	6491163	6491876	OG0000001	772	0
Tfasc_v1.09977-RA	Scaffold_2317	27230796	9805216	9805929	OG0000001	772	0
Tfasc_v1.09981-RA	Scaffold_2317	27230796	10014808	10015521	OG0000001	772	0
Tfasc_v1.10003-RA	Scaffold_2317	27230796	10644024	10644413	OG0000001	772	0
Tfasc_v1.10094-RA	Scaffold_2317	27230796	13535950	13536492	OG0000001	772	0
Tfasc_v1.10095-RA	Scaffold_2317	27230796	13587318	13587932	OG0000001	772	0
Tfasc_v1.10098-RA	Scaffold_2317	27230796	13685148	13685861	OG0000001	772	0
Tfasc_v1.10102-RA	Scaffold_2317	27230796	13755567	13755998	OG0000001	772	0
Tfasc_v1.10208-RA	Scaffold_2317	27230796	16985488	16986201	OG0000001	772	0
Tfasc_v1.10384-RA	Scaffold_2317	27230796	21245398	21245784	OG0000001	772	0
Tfasc_v1.11263-RA	Scaffold_2287	27210704	5962895	5963608	OG0000001	772	0
Tfasc_v1.11322-RA	Scaffold_2287	27210704	7727018	7727731	OG0000001	772	0
Tfasc_v1.11340-RA	Scaffold_2287	27210704	8261203	8261592	OG0000001	772	0
Tfasc_v1.11348-RA	Scaffold_2287	27210704	8863490	8864203	OG0000001	772	0
Tfasc_v1.11349-RA	Scaffold_2287	27210704	8959408	8959770	OG0000001	772	0
Tfasc_v1.11352-RA	Scaffold_2287	27210704	9050753	9051466	OG0000001	772	0
Tfasc_v1.11389-RA	Scaffold_2287	27210704	10264800	10265513	OG0000001	772	0
Tfasc_v1.11395-RA	Scaffold_2287	27210704	10489095	10489391	OG0000001	772	0
Tfasc_v1.11413-RA	Scaffold_2287	27210704	10935113	10935826	OG0000001	772	0
Tfasc_v1.11414-RA	Scaffold_2287	27210704	10965521	10966222	OG0000001	772	0
Tfasc_v1.11453-RA	Scaffold_2287	27210704	12530721	12531434	OG0000001	772	0
Tfasc_v1.11470-RA	Scaffold_2287	27210704	13124954	13125667	OG0000001	772	0
Tfasc_v1.11477-RA	Scaffold_2287	27210704	13288419	13288817	OG0000001	772	0
Tfasc_v1.11500-RA	Scaffold_2287	27210704	14269832	14270545	OG0000001	772	0
Tfasc_v1.11501-RA	Scaffold_2287	27210704	14296546	14297259	OG0000001	772	0
Tfasc_v1.11523-RA	Scaffold_2287	27210704	15644929	15645642	OG0000001	772	0
Tfasc_v1.11528-RA	Scaffold_2287	27210704	15813767	15814453	OG0000001	772	0
Tfasc_v1.11533-RA	Scaffold_2287	27210704	15992877	15993431	OG0000001	772	0
Tfasc_v1.11545-RA	Scaffold_2287	27210704	16712219	16712932	OG0000001	772	0
Tfasc_v1.11556-RA	Scaffold_2287	27210704	16969102	16969815	OG0000001	772	0
Tfasc_v1.11557-RA	Scaffold_2287	27210704	17071289	17072002	OG0000001	772	0
Tfasc_v1.11572-RA	Scaffold_2287	27210704	17967066	17967776	OG0000001	772	0
Tfasc_v1.11574-RA	Scaffold_2287	27210704	18195279	18195668	OG0000001	772	0
Tfasc_v1.12628-RA	Scaffold_326	26509606	6690968	6698598	OG0000001	772	0
Tfasc_v1.12644-RA	Scaffold_326	26509606	7492321	7493034	OG0000001	772	0
Tfasc_v1.12673-RA	Scaffold_326	26509606	8430922	8431635	OG0000001	772	0
Tfasc_v1.12683-RA	Scaffold_326	26509606	8991943	8992656	OG0000001	772	0
Tfasc_v1.12697-RA	Scaffold_326	26509606	9657321	9657914	OG0000001	772	0
Tfasc_v1.12699-RA	Scaffold_326	26509606	9819999	9820712	OG0000001	772	0
Tfasc_v1.12714-RA	Scaffold_326	26509606	10468584	10469297	OG0000001	772	0
Tfasc_v1.12749-RA	Scaffold_326	26509606	12713735	12714448	OG0000001	772	0
Tfasc_v1.12781-RA	Scaffold_326	26509606	15456638	15457351	OG0000001	772	0
Tfasc_v1.12787-RA	Scaffold_326	26509606	15649025	15649738	OG0000001	772	0
Tfasc_v1.12792-RA	Scaffold_326	26509606	16178614	16178997	OG0000001	772	0
Tfasc_v1.12797-RA	Scaffold_326	26509606	16464563	16465276	OG0000001	772	0
Tfasc_v1.12813-RA	Scaffold_326	26509606	17493942	17494655	OG0000001	772	0
Tfasc_v1.12848-RA	Scaffold_326	26509606	19042406	19043119	OG0000001	772	0
Tfasc_v1.12849-RA	Scaffold_326	26509606	19156806	19157471	OG0000001	772	0
Tfasc_v1.12908-RA	Scaffold_326	26509606	21735938	21736651	OG0000001	772	0
Tfasc_v1.13381-RA	Scaffold_1174	26021936	2435002	2435715	OG0000001	772	0
Tfasc_v1.13427-RA	Scaffold_1174	26021936	3967839	3968228	OG0000001	772	0
Tfasc_v1.13429-RA	Scaffold_1174	26021936	4057249	4057962	OG0000001	772	0
Tfasc_v1.13430-RA	Scaffold_1174	26021936	4082044	4082757	OG0000001	772	0
Tfasc_v1.13446-RA	Scaffold_1174	26021936	4334434	4335306	OG0000001	772	0
Tfasc_v1.13487-RA	Scaffold_1174	26021936	6588601	6589314	OG0000001	772	0
Tfasc_v1.13582-RA	Scaffold_1174	26021936	10957088	10957801	OG0000001	772	0
Tfasc_v1.13586-RA	Scaffold_1174	26021936	11243533	11244246	OG0000001	772	0
Tfasc_v1.13587-RA	Scaffold_1174	26021936	11261258	11261971	OG0000001	772	0
Tfasc_v1.13597-RA	Scaffold_1174	26021936	12466316	12467029	OG0000001	772	0
Tfasc_v1.13601-RA	Scaffold_1174	26021936	12854240	12854953	OG0000001	772	0
Tfasc_v1.13612-RA	Scaffold_1174	26021936	13301307	13302020	OG0000001	772	0
Tfasc_v1.13615-RA	Scaffold_1174	26021936	13419452	13420165	OG0000001	772	0
Tfasc_v1.13616-RA	Scaffold_1174	26021936	13444507	13445220	OG0000001	772	0
Tfasc_v1.13659-RA	Scaffold_1174	26021936	15077432	15078145	OG0000001	772	0
Tfasc_v1.13676-RA	Scaffold_1174	26021936	15754677	15755111	OG0000001	772	0
Tfasc_v1.13677-RA	Scaffold_1174	26021936	15778881	15779594	OG0000001	772	0
Tfasc_v1.13685-RA	Scaffold_1174	26021936	16226483	16227196	OG0000001	772	0
Tfasc_v1.13732-RA	Scaffold_1174	26021936	17431718	17432431	OG0000001	772	0
Tfasc_v1.13738-RA	Scaffold_1174	26021936	17720148	17720510	OG0000001	772	0
Tfasc_v1.13768-RA	Scaffold_1174	26021936	18597116	18597829	OG0000001	772	0
Tfasc_v1.13772-RA	Scaffold_1174	26021936	18809733	18810446	OG0000001	772	0
Tfasc_v1.14016-RA	Scaffold_1174	26021936	21932066	21932779	OG0000001	772	0
Tfasc_v1.15509-RA	Scaffold_2314	25842354	10740090	10740803	OG0000001	772	0
Tfasc_v1.15609-RA	Scaffold_2314	25842354	13203752	13204465	OG0000001	772	0
Tfasc_v1.15629-RA	Scaffold_2314	25842354	14608964	14609692	OG0000001	772	0
Tfasc_v1.15646-RA	Scaffold_2314	25842354	15726222	15726935	OG0000001	772	0
Tfasc_v1.15658-RA	Scaffold_2314	25842354	16174855	16175568	OG0000001	772	0
Tfasc_v1.15662-RA	Scaffold_2314	25842354	16368471	16369184	OG0000001	772	0
Tfasc_v1.15671-RA	Scaffold_2314	25842354	17048168	17048482	OG0000001	772	0
Tfasc_v1.15724-RA	Scaffold_2314	25842354	19241030	19241218	OG0000001	772	0
Tfasc_v1.15770-RA	Scaffold_2314	25842354	20567208	20567921	OG0000001	772	0
Tfasc_v1.15783-RA	Scaffold_2314	25842354	21248473	21249186	OG0000001	772	0
Tfasc_v1.15797-RA	Scaffold_2314	25842354	21616627	21617340	OG0000001	772	0
Tfasc_v1.15822-RA	Scaffold_2314	25842354	22207434	22208147	OG0000001	772	0
Tfasc_v1.15830-RA	Scaffold_2314	25842354	22596268	22596981	OG0000001	772	0
Tfasc_v1.16589-RA	Scaffold_2313	25341332	7124634	7125347	OG0000001	772	0
Tfasc_v1.16642-RA	Scaffold_2313	25341332	9005915	9006628	OG0000001	772	0
Tfasc_v1.16680-RA	Scaffold_2313	25341332	10394254	10394601	OG0000001	772	0
Tfasc_v1.16682-RA	Scaffold_2313	25341332	10594544	10595257	OG0000001	772	0
Tfasc_v1.16683-RA	Scaffold_2313	25341332	10638499	10638999	OG0000001	772	0
Tfasc_v1.16695-RA	Scaffold_2313	25341332	11113690	11114403	OG0000001	772	0
Tfasc_v1.16696-RA	Scaffold_2313	25341332	11170421	11171134	OG0000001	772	0
Tfasc_v1.16704-RA	Scaffold_2313	25341332	11522854	11523567	OG0000001	772	0
Tfasc_v1.16728-RA	Scaffold_2313	25341332	12626133	12626846	OG0000001	772	0
Tfasc_v1.16763-RA	Scaffold_2313	25341332	14807443	14808156	OG0000001	772	0
Tfasc_v1.16768-RA	Scaffold_2313	25341332	15131354	15132067	OG0000001	772	0
Tfasc_v1.16795-RA	Scaffold_2313	25341332	16373447	16374160	OG0000001	772	0
Tfasc_v1.16796-RA	Scaffold_2313	25341332	16425422	16426135	OG0000001	772	0
Tfasc_v1.16828-RA	Scaffold_2313	25341332	18949224	18949937	OG0000001	772	0
Tfasc_v1.16848-RA	Scaffold_2313	25341332	19923782	19924495	OG0000001	772	0
Tfasc_v1.16856-RA	Scaffold_2313	25341332	20280502	20281215	OG0000001	772	0
Tfasc_v1.17811-RA	Scaffold_2225	24881768	7414359	7415072	OG0000001	772	0
Tfasc_v1.17879-RA	Scaffold_2225	24881768	9103019	9103732	OG0000001	772	0
Tfasc_v1.17883-RA	Scaffold_2225	24881768	9300377	9301090	OG0000001	772	0
Tfasc_v1.17909-RA	Scaffold_2225	24881768	10228517	10229230	OG0000001	772	0
Tfasc_v1.17919-RA	Scaffold_2225	24881768	11429394	11430107	OG0000001	772	0
Tfasc_v1.17928-RA	Scaffold_2225	24881768	11870640	11871023	OG0000001	772	0
Tfasc_v1.17929-RA	Scaffold_2225	24881768	11886713	11887426	OG0000001	772	0
Tfasc_v1.17962-RA	Scaffold_2225	24881768	13997619	13998332	OG0000001	772	0
Tfasc_v1.17986-RA	Scaffold_2225	24881768	15402192	15402905	OG0000001	772	0
Tfasc_v1.18010-RA	Scaffold_2225	24881768	17099825	17100538	OG0000001	772	0
Tfasc_v1.18011-RA	Scaffold_2225	24881768	17105446	17106159	OG0000001	772	0
Tfasc_v1.18040-RA	Scaffold_2225	24881768	18073180	18073893	OG0000001	772	0
Tfasc_v1.18043-RA	Scaffold_2225	24881768	18199424	18200137	OG0000001	772	0
Tfasc_v1.18049-RA	Scaffold_2225	24881768	18376814	18384147	OG0000001	772	0
Tfasc_v1.18051-RA	Scaffold_2225	24881768	18434993	18435706	OG0000001	772	0
Tfasc_v1.18081-RA	Scaffold_2225	24881768	19347331	19347978	OG0000001	772	0
Tfasc_v1.18114-RA	Scaffold_2225	24881768	20071455	20078167	OG0000001	772	0
Tfasc_v1.18117-RA	Scaffold_2225	24881768	20161741	20162310	OG0000001	772	0
Tfasc_v1.18118-RA	Scaffold_2225	24881768	20164620	20165333	OG0000001	772	0
Tfasc_v1.18121-RA	Scaffold_2225	24881768	20478387	20478776	OG0000001	772	0
Tfasc_v1.18126-RA	Scaffold_2225	24881768	20611585	20612298	OG0000001	772	0
Tfasc_v1.18158-RA	Scaffold_2225	24881768	21752394	21753107	OG0000001	772	0
Tfasc_v1.18189-RA	Scaffold_2225	24881768	22543938	22544651	OG0000001	772	0
Tfasc_v1.18941-RA	Scaffold_1383	24649150	7308504	7309217	OG0000001	772	0
Tfasc_v1.18947-RA	Scaffold_1383	24649150	7755252	7755965	OG0000001	772	0
Tfasc_v1.18954-RA	Scaffold_1383	24649150	8012342	8013055	OG0000001	772	0
Tfasc_v1.19027-RA	Scaffold_1383	24649150	11140349	11141062	OG0000001	772	0
Tfasc_v1.19046-RA	Scaffold_1383	24649150	12376497	12377210	OG0000001	772	0
Tfasc_v1.19081-RA	Scaffold_1383	24649150	13914200	13914913	OG0000001	772	0
Tfasc_v1.19087-RA	Scaffold_1383	24649150	14261644	14262357	OG0000001	772	0
Tfasc_v1.19095-RA	Scaffold_1383	24649150	14971960	14972673	OG0000001	772	0
Tfasc_v1.19123-RA	Scaffold_1383	24649150	16062661	16063374	OG0000001	772	0
Tfasc_v1.19124-RA	Scaffold_1383	24649150	16080742	16081455	OG0000001	772	0
Tfasc_v1.19142-RA	Scaffold_1383	24649150	17588119	17588832	OG0000001	772	0
Tfasc_v1.19148-RA	Scaffold_1383	24649150	17838324	17839037	OG0000001	772	0
Tfasc_v1.19149-RA	Scaffold_1383	24649150	17843662	17844375	OG0000001	772	0
Tfasc_v1.19156-RA	Scaffold_1383	24649150	18444321	18445034	OG0000001	772	0
Tfasc_v1.19222-RA	Scaffold_1383	24649150	21530269	21530982	OG0000001	772	0
Tfasc_v1.19521-RA	Scaffold_819	23784123	2094222	2094935	OG0000001	772	0
Tfasc_v1.19626-RA	Scaffold_819	23784123	5421050	5421682	OG0000001	772	0
Tfasc_v1.19701-RA	Scaffold_819	23784123	8906499	8907059	OG0000001	772	0
Tfasc_v1.19712-RA	Scaffold_819	23784123	9249676	9250389	OG0000001	772	0
Tfasc_v1.19731-RA	Scaffold_819	23784123	10453132	10453845	OG0000001	772	0
Tfasc_v1.19747-RA	Scaffold_819	23784123	11381944	11382657	OG0000001	772	0
Tfasc_v1.19791-RA	Scaffold_819	23784123	13299901	13300614	OG0000001	772	0
Tfasc_v1.19792-RA	Scaffold_819	23784123	13359942	13360655	OG0000001	772	0
Tfasc_v1.19799-RA	Scaffold_819	23784123	13867049	13867762	OG0000001	772	0
Tfasc_v1.19800-RA	Scaffold_819	23784123	13871923	13872636	OG0000001	772	0
Tfasc_v1.19802-RA	Scaffold_819	23784123	13913572	13914285	OG0000001	772	0
Tfasc_v1.19807-RA	Scaffold_819	23784123	14075637	14076035	OG0000001	772	0
Tfasc_v1.19809-RA	Scaffold_819	23784123	14272771	14273481	OG0000001	772	0
Tfasc_v1.19937-RA	Scaffold_819	23784123	18388056	18388769	OG0000001	772	0
Tfasc_v1.20849-RA	Scaffold_15	23642332	3825852	3826565	OG0000001	772	0
Tfasc_v1.20850-RA	Scaffold_15	23642332	3862922	3863635	OG0000001	772	0
Tfasc_v1.20918-RA	Scaffold_15	23642332	6874478	6874861	OG0000001	772	0
Tfasc_v1.20924-RA	Scaffold_15	23642332	7179368	7180081	OG0000001	772	0
Tfasc_v1.20965-RA	Scaffold_15	23642332	9721202	9721915	OG0000001	772	0
Tfasc_v1.20975-RA	Scaffold_15	23642332	10319830	10320543	OG0000001	772	0
Tfasc_v1.20984-RA	Scaffold_15	23642332	10548953	10549666	OG0000001	772	0
Tfasc_v1.20986-RA	Scaffold_15	23642332	10583790	10584503	OG0000001	772	0
Tfasc_v1.20987-RA	Scaffold_15	23642332	10725768	10726481	OG0000001	772	0
Tfasc_v1.20989-RA	Scaffold_15	23642332	10866192	10866905	OG0000001	772	0
Tfasc_v1.21023-RA	Scaffold_15	23642332	11962761	11963474	OG0000001	772	0
Tfasc_v1.21025-RA	Scaffold_15	23642332	12134106	12134819	OG0000001	772	0
Tfasc_v1.21026-RA	Scaffold_15	23642332	12156337	12157050	OG0000001	772	0
Tfasc_v1.21027-RA	Scaffold_15	23642332	12229156	12229590	OG0000001	772	0
