Tfasc_v1.31994-RA	Scaffold_2305	111692	121190	OG0000000	1	2100
Tfasc_v1.08225-RA	Scaffold_2315	7308561	7347402	OG0000001	772	0
Tfasc_v1.08366-RA	Scaffold_2315	12552930	12553319	OG0000001	772	0
Tfasc_v1.08370-RA	Scaffold_2315	12822774	12823487	OG0000001	772	0
Tfasc_v1.08371-RA	Scaffold_2315	12875962	12876675	OG0000001	772	0
Tfasc_v1.08379-RA	Scaffold_2315	13196106	13196819	OG0000001	772	0
Tfasc_v1.08383-RA	Scaffold_2315	13272621	13273334	OG0000001	772	0
Tfasc_v1.08386-RA	Scaffold_2315	13423522	13424235	OG0000001	772	0
Tfasc_v1.08423-RA	Scaffold_2315	15269664	15270377	OG0000001	772	0
Tfasc_v1.08424-RA	Scaffold_2315	15365205	15365918	OG0000001	772	0
Tfasc_v1.08433-RA	Scaffold_2315	15887178	15887888	OG0000001	772	0
Tfasc_v1.08437-RA	Scaffold_2315	16215275	16215886	OG0000001	772	0
Tfasc_v1.08459-RA	Scaffold_2315	17106514	17107227	OG0000001	772	0
Tfasc_v1.08462-RA	Scaffold_2315	17240525	17241238	OG0000001	772	0
Tfasc_v1.08472-RA	Scaffold_2315	17945703	17950997	OG0000001	772	0
Tfasc_v1.08473-RA	Scaffold_2315	17970985	17971698	OG0000001	772	0
Tfasc_v1.08504-RA	Scaffold_2315	19683689	19684402	OG0000001	772	0
Tfasc_v1.08516-RA	Scaffold_2315	20082132	20082845	OG0000001	772	0
Tfasc_v1.08519-RA	Scaffold_2315	20098558	20099271	OG0000001	772	0
Tfasc_v1.08534-RA	Scaffold_2315	20571730	20572026	OG0000001	772	0
Tfasc_v1.08566-RA	Scaffold_2315	22326593	22327306	OG0000001	772	0
Tfasc_v1.08569-RA	Scaffold_2315	22447550	22448263	OG0000001	772	0
Tfasc_v1.08572-RA	Scaffold_2315	22580874	22581587	OG0000001	772	0
Tfasc_v1.08592-RA	Scaffold_2315	23297261	23297608	OG0000001	772	0
Tfasc_v1.09767-RA	Scaffold_2317	4335627	4336340	OG0000001	772	0
Tfasc_v1.09866-RA	Scaffold_2317	6491163	6491876	OG0000001	772	0
Tfasc_v1.09977-RA	Scaffold_2317	9805216	9805929	OG0000001	772	0
Tfasc_v1.09981-RA	Scaffold_2317	10014808	10015521	OG0000001	772	0
Tfasc_v1.10003-RA	Scaffold_2317	10644024	10644413	OG0000001	772	0
Tfasc_v1.10094-RA	Scaffold_2317	13535950	13536492	OG0000001	772	0
Tfasc_v1.10095-RA	Scaffold_2317	13587318	13587932	OG0000001	772	0
Tfasc_v1.10098-RA	Scaffold_2317	13685148	13685861	OG0000001	772	0
Tfasc_v1.10102-RA	Scaffold_2317	13755567	13755998	OG0000001	772	0
Tfasc_v1.10208-RA	Scaffold_2317	16985488	16986201	OG0000001	772	0
Tfasc_v1.10384-RA	Scaffold_2317	21245398	21245784	OG0000001	772	0
Tfasc_v1.11263-RA	Scaffold_2287	5962895	5963608	OG0000001	772	0
Tfasc_v1.11322-RA	Scaffold_2287	7727018	7727731	OG0000001	772	0
Tfasc_v1.11340-RA	Scaffold_2287	8261203	8261592	OG0000001	772	0
Tfasc_v1.11348-RA	Scaffold_2287	8863490	8864203	OG0000001	772	0
Tfasc_v1.11349-RA	Scaffold_2287	8959408	8959770	OG0000001	772	0
Tfasc_v1.11352-RA	Scaffold_2287	9050753	9051466	OG0000001	772	0
Tfasc_v1.11389-RA	Scaffold_2287	10264800	10265513	OG0000001	772	0
Tfasc_v1.11395-RA	Scaffold_2287	10489095	10489391	OG0000001	772	0
Tfasc_v1.11413-RA	Scaffold_2287	10935113	10935826	OG0000001	772	0
Tfasc_v1.11414-RA	Scaffold_2287	10965521	10966222	OG0000001	772	0
Tfasc_v1.11453-RA	Scaffold_2287	12530721	12531434	OG0000001	772	0
Tfasc_v1.11470-RA	Scaffold_2287	13124954	13125667	OG0000001	772	0
Tfasc_v1.11477-RA	Scaffold_2287	13288419	13288817	OG0000001	772	0
Tfasc_v1.11500-RA	Scaffold_2287	14269832	14270545	OG0000001	772	0
Tfasc_v1.11501-RA	Scaffold_2287	14296546	14297259	OG0000001	772	0
Tfasc_v1.11523-RA	Scaffold_2287	15644929	15645642	OG0000001	772	0
Tfasc_v1.11528-RA	Scaffold_2287	15813767	15814453	OG0000001	772	0
Tfasc_v1.11533-RA	Scaffold_2287	15992877	15993431	OG0000001	772	0
Tfasc_v1.11545-RA	Scaffold_2287	16712219	16712932	OG0000001	772	0
Tfasc_v1.11556-RA	Scaffold_2287	16969102	16969815	OG0000001	772	0
Tfasc_v1.11557-RA	Scaffold_2287	17071289	17072002	OG0000001	772	0
Tfasc_v1.11572-RA	Scaffold_2287	17967066	17967776	OG0000001	772	0
Tfasc_v1.11574-RA	Scaffold_2287	18195279	18195668	OG0000001	772	0
Tfasc_v1.12628-RA	Scaffold_326	6690968	6698598	OG0000001	772	0
Tfasc_v1.12644-RA	Scaffold_326	7492321	7493034	OG0000001	772	0
Tfasc_v1.12673-RA	Scaffold_326	8430922	8431635	OG0000001	772	0
Tfasc_v1.12683-RA	Scaffold_326	8991943	8992656	OG0000001	772	0
Tfasc_v1.12697-RA	Scaffold_326	9657321	9657914	OG0000001	772	0
Tfasc_v1.12699-RA	Scaffold_326	9819999	9820712	OG0000001	772	0
Tfasc_v1.12714-RA	Scaffold_326	10468584	10469297	OG0000001	772	0
Tfasc_v1.12749-RA	Scaffold_326	12713735	12714448	OG0000001	772	0
Tfasc_v1.12781-RA	Scaffold_326	15456638	15457351	OG0000001	772	0
Tfasc_v1.12787-RA	Scaffold_326	15649025	15649738	OG0000001	772	0
Tfasc_v1.12792-RA	Scaffold_326	16178614	16178997	OG0000001	772	0
Tfasc_v1.12797-RA	Scaffold_326	16464563	16465276	OG0000001	772	0
Tfasc_v1.12813-RA	Scaffold_326	17493942	17494655	OG0000001	772	0
Tfasc_v1.12848-RA	Scaffold_326	19042406	19043119	OG0000001	772	0
Tfasc_v1.12849-RA	Scaffold_326	19156806	19157471	OG0000001	772	0
Tfasc_v1.12908-RA	Scaffold_326	21735938	21736651	OG0000001	772	0
Tfasc_v1.13381-RA	Scaffold_1174	2435002	2435715	OG0000001	772	0
Tfasc_v1.13427-RA	Scaffold_1174	3967839	3968228	OG0000001	772	0
Tfasc_v1.13429-RA	Scaffold_1174	4057249	4057962	OG0000001	772	0
Tfasc_v1.13430-RA	Scaffold_1174	4082044	4082757	OG0000001	772	0
Tfasc_v1.13446-RA	Scaffold_1174	4334434	4335306	OG0000001	772	0
Tfasc_v1.13487-RA	Scaffold_1174	6588601	6589314	OG0000001	772	0
Tfasc_v1.13582-RA	Scaffold_1174	10957088	10957801	OG0000001	772	0
Tfasc_v1.13586-RA	Scaffold_1174	11243533	11244246	OG0000001	772	0
Tfasc_v1.13587-RA	Scaffold_1174	11261258	11261971	OG0000001	772	0
Tfasc_v1.13597-RA	Scaffold_1174	12466316	12467029	OG0000001	772	0
Tfasc_v1.13601-RA	Scaffold_1174	12854240	12854953	OG0000001	772	0
Tfasc_v1.13612-RA	Scaffold_1174	13301307	13302020	OG0000001	772	0
Tfasc_v1.13615-RA	Scaffold_1174	13419452	13420165	OG0000001	772	0
Tfasc_v1.13616-RA	Scaffold_1174	13444507	13445220	OG0000001	772	0
Tfasc_v1.13659-RA	Scaffold_1174	15077432	15078145	OG0000001	772	0
Tfasc_v1.13676-RA	Scaffold_1174	15754677	15755111	OG0000001	772	0
Tfasc_v1.13677-RA	Scaffold_1174	15778881	15779594	OG0000001	772	0
Tfasc_v1.13685-RA	Scaffold_1174	16226483	16227196	OG0000001	772	0
Tfasc_v1.13732-RA	Scaffold_1174	17431718	17432431	OG0000001	772	0
Tfasc_v1.13738-RA	Scaffold_1174	17720148	17720510	OG0000001	772	0
Tfasc_v1.13768-RA	Scaffold_1174	18597116	18597829	OG0000001	772	0
Tfasc_v1.13772-RA	Scaffold_1174	18809733	18810446	OG0000001	772	0
Tfasc_v1.14016-RA	Scaffold_1174	21932066	21932779	OG0000001	772	0
Tfasc_v1.15509-RA	Scaffold_2314	10740090	10740803	OG0000001	772	0
Tfasc_v1.15609-RA	Scaffold_2314	13203752	13204465	OG0000001	772	0
Tfasc_v1.15629-RA	Scaffold_2314	14608964	14609692	OG0000001	772	0
Tfasc_v1.15646-RA	Scaffold_2314	15726222	15726935	OG0000001	772	0
Tfasc_v1.15658-RA	Scaffold_2314	16174855	16175568	OG0000001	772	0
Tfasc_v1.15662-RA	Scaffold_2314	16368471	16369184	OG0000001	772	0
Tfasc_v1.15671-RA	Scaffold_2314	17048168	17048482	OG0000001	772	0
Tfasc_v1.15724-RA	Scaffold_2314	19241030	19241218	OG0000001	772	0
Tfasc_v1.15770-RA	Scaffold_2314	20567208	20567921	OG0000001	772	0
Tfasc_v1.15783-RA	Scaffold_2314	21248473	21249186	OG0000001	772	0
Tfasc_v1.15797-RA	Scaffold_2314	21616627	21617340	OG0000001	772	0
Tfasc_v1.15822-RA	Scaffold_2314	22207434	22208147	OG0000001	772	0
Tfasc_v1.15830-RA	Scaffold_2314	22596268	22596981	OG0000001	772	0
Tfasc_v1.16589-RA	Scaffold_2313	7124634	7125347	OG0000001	772	0
Tfasc_v1.16642-RA	Scaffold_2313	9005915	9006628	OG0000001	772	0
Tfasc_v1.16680-RA	Scaffold_2313	10394254	10394601	OG0000001	772	0
Tfasc_v1.16682-RA	Scaffold_2313	10594544	10595257	OG0000001	772	0
Tfasc_v1.16683-RA	Scaffold_2313	10638499	10638999	OG0000001	772	0
Tfasc_v1.16695-RA	Scaffold_2313	11113690	11114403	OG0000001	772	0
Tfasc_v1.16696-RA	Scaffold_2313	11170421	11171134	OG0000001	772	0
Tfasc_v1.16704-RA	Scaffold_2313	11522854	11523567	OG0000001	772	0
Tfasc_v1.16728-RA	Scaffold_2313	12626133	12626846	OG0000001	772	0
Tfasc_v1.16763-RA	Scaffold_2313	14807443	14808156	OG0000001	772	0
Tfasc_v1.16768-RA	Scaffold_2313	15131354	15132067	OG0000001	772	0
Tfasc_v1.16795-RA	Scaffold_2313	16373447	16374160	OG0000001	772	0
Tfasc_v1.16796-RA	Scaffold_2313	16425422	16426135	OG0000001	772	0
Tfasc_v1.16828-RA	Scaffold_2313	18949224	18949937	OG0000001	772	0
Tfasc_v1.16848-RA	Scaffold_2313	19923782	19924495	OG0000001	772	0
Tfasc_v1.16856-RA	Scaffold_2313	20280502	20281215	OG0000001	772	0
Tfasc_v1.17811-RA	Scaffold_2225	7414359	7415072	OG0000001	772	0
Tfasc_v1.17879-RA	Scaffold_2225	9103019	9103732	OG0000001	772	0
Tfasc_v1.17883-RA	Scaffold_2225	9300377	9301090	OG0000001	772	0
Tfasc_v1.17909-RA	Scaffold_2225	10228517	10229230	OG0000001	772	0
Tfasc_v1.17919-RA	Scaffold_2225	11429394	11430107	OG0000001	772	0
Tfasc_v1.17928-RA	Scaffold_2225	11870640	11871023	OG0000001	772	0
Tfasc_v1.17929-RA	Scaffold_2225	11886713	11887426	OG0000001	772	0
Tfasc_v1.17962-RA	Scaffold_2225	13997619	13998332	OG0000001	772	0
Tfasc_v1.17986-RA	Scaffold_2225	15402192	15402905	OG0000001	772	0
Tfasc_v1.18010-RA	Scaffold_2225	17099825	17100538	OG0000001	772	0
Tfasc_v1.18011-RA	Scaffold_2225	17105446	17106159	OG0000001	772	0
Tfasc_v1.18040-RA	Scaffold_2225	18073180	18073893	OG0000001	772	0
Tfasc_v1.18043-RA	Scaffold_2225	18199424	18200137	OG0000001	772	0
Tfasc_v1.18049-RA	Scaffold_2225	18376814	18384147	OG0000001	772	0
Tfasc_v1.18051-RA	Scaffold_2225	18434993	18435706	OG0000001	772	0
Tfasc_v1.18081-RA	Scaffold_2225	19347331	19347978	OG0000001	772	0
Tfasc_v1.18114-RA	Scaffold_2225	20071455	20078167	OG0000001	772	0
Tfasc_v1.18117-RA	Scaffold_2225	20161741	20162310	OG0000001	772	0
Tfasc_v1.18118-RA	Scaffold_2225	20164620	20165333	OG0000001	772	0
Tfasc_v1.18121-RA	Scaffold_2225	20478387	20478776	OG0000001	772	0
Tfasc_v1.18126-RA	Scaffold_2225	20611585	20612298	OG0000001	772	0
Tfasc_v1.18158-RA	Scaffold_2225	21752394	21753107	OG0000001	772	0
Tfasc_v1.18189-RA	Scaffold_2225	22543938	22544651	OG0000001	772	0
Tfasc_v1.18941-RA	Scaffold_1383	7308504	7309217	OG0000001	772	0
Tfasc_v1.18947-RA	Scaffold_1383	7755252	7755965	OG0000001	772	0
Tfasc_v1.18954-RA	Scaffold_1383	8012342	8013055	OG0000001	772	0
Tfasc_v1.19027-RA	Scaffold_1383	11140349	11141062	OG0000001	772	0
Tfasc_v1.19046-RA	Scaffold_1383	12376497	12377210	OG0000001	772	0
Tfasc_v1.19081-RA	Scaffold_1383	13914200	13914913	OG0000001	772	0
Tfasc_v1.19087-RA	Scaffold_1383	14261644	14262357	OG0000001	772	0
Tfasc_v1.19095-RA	Scaffold_1383	14971960	14972673	OG0000001	772	0
Tfasc_v1.19123-RA	Scaffold_1383	16062661	16063374	OG0000001	772	0
Tfasc_v1.19124-RA	Scaffold_1383	16080742	16081455	OG0000001	772	0
Tfasc_v1.19142-RA	Scaffold_1383	17588119	17588832	OG0000001	772	0
Tfasc_v1.19148-RA	Scaffold_1383	17838324	17839037	OG0000001	772	0
Tfasc_v1.19149-RA	Scaffold_1383	17843662	17844375	OG0000001	772	0
Tfasc_v1.19156-RA	Scaffold_1383	18444321	18445034	OG0000001	772	0
Tfasc_v1.19222-RA	Scaffold_1383	21530269	21530982	OG0000001	772	0
Tfasc_v1.19521-RA	Scaffold_819	2094222	2094935	OG0000001	772	0
Tfasc_v1.19626-RA	Scaffold_819	5421050	5421682	OG0000001	772	0
Tfasc_v1.19701-RA	Scaffold_819	8906499	8907059	OG0000001	772	0
Tfasc_v1.19712-RA	Scaffold_819	9249676	9250389	OG0000001	772	0
Tfasc_v1.19731-RA	Scaffold_819	10453132	10453845	OG0000001	772	0
Tfasc_v1.19747-RA	Scaffold_819	11381944	11382657	OG0000001	772	0
Tfasc_v1.19791-RA	Scaffold_819	13299901	13300614	OG0000001	772	0
Tfasc_v1.19792-RA	Scaffold_819	13359942	13360655	OG0000001	772	0
Tfasc_v1.19799-RA	Scaffold_819	13867049	13867762	OG0000001	772	0
Tfasc_v1.19800-RA	Scaffold_819	13871923	13872636	OG0000001	772	0
Tfasc_v1.19802-RA	Scaffold_819	13913572	13914285	OG0000001	772	0
Tfasc_v1.19807-RA	Scaffold_819	14075637	14076035	OG0000001	772	0
Tfasc_v1.19809-RA	Scaffold_819	14272771	14273481	OG0000001	772	0
Tfasc_v1.19937-RA	Scaffold_819	18388056	18388769	OG0000001	772	0
Tfasc_v1.20849-RA	Scaffold_15	3825852	3826565	OG0000001	772	0
Tfasc_v1.20850-RA	Scaffold_15	3862922	3863635	OG0000001	772	0
Tfasc_v1.20918-RA	Scaffold_15	6874478	6874861	OG0000001	772	0
Tfasc_v1.20924-RA	Scaffold_15	7179368	7180081	OG0000001	772	0
Tfasc_v1.20965-RA	Scaffold_15	9721202	9721915	OG0000001	772	0
Tfasc_v1.20975-RA	Scaffold_15	10319830	10320543	OG0000001	772	0
Tfasc_v1.20984-RA	Scaffold_15	10548953	10549666	OG0000001	772	0
Tfasc_v1.20986-RA	Scaffold_15	10583790	10584503	OG0000001	772	0
Tfasc_v1.20987-RA	Scaffold_15	10725768	10726481	OG0000001	772	0
Tfasc_v1.20989-RA	Scaffold_15	10866192	10866905	OG0000001	772	0
Tfasc_v1.21023-RA	Scaffold_15	11962761	11963474	OG0000001	772	0
Tfasc_v1.21025-RA	Scaffold_15	12134106	12134819	OG0000001	772	0
Tfasc_v1.21026-RA	Scaffold_15	12156337	12157050	OG0000001	772	0
Tfasc_v1.21027-RA	Scaffold_15	12229156	12229590	OG0000001	772	0
Tfasc_v1.21053-RA	Scaffold_15	12802137	12802850	OG0000001	772	0
Tfasc_v1.21054-RA	Scaffold_15	12856873	12857586	OG0000001	772	0
Tfasc_v1.21061-RA	Scaffold_15	13725692	13726405	OG0000001	772	0
Tfasc_v1.21081-RA	Scaffold_15	14360706	14361419	OG0000001	772	0
Tfasc_v1.21112-RA	Scaffold_15	15373991	15374704	OG0000001	772	0
Tfasc_v1.21113-RA	Scaffold_15	15463596	15464243	OG0000001	772	0
Tfasc_v1.21116-RA	Scaffold_15	15778410	15778961	OG0000001	772	0
Tfasc_v1.21118-RA	Scaffold_15	16083018	16083731	OG0000001	772	0
Tfasc_v1.21727-RA	Scaffold_2073	139489	140202	OG0000001	772	0
Tfasc_v1.21736-RA	Scaffold_2073	446823	447536	OG0000001	772	0
Tfasc_v1.21741-RA	Scaffold_2073	1147165	1147878	OG0000001	772	0
Tfasc_v1.21778-RA	Scaffold_2073	2408367	2409080	OG0000001	772	0
Tfasc_v1.21782-RA	Scaffold_2073	2535992	2536705	OG0000001	772	0
Tfasc_v1.21784-RA	Scaffold_2073	2598924	2599334	OG0000001	772	0
Tfasc_v1.21785-RA	Scaffold_2073	2608935	2609522	OG0000001	772	0
Tfasc_v1.21788-RA	Scaffold_2073	2682334	2683047	OG0000001	772	0
Tfasc_v1.21826-RA	Scaffold_2073	5270796	5271509	OG0000001	772	0
Tfasc_v1.21828-RA	Scaffold_2073	5372460	5373173	OG0000001	772	0
Tfasc_v1.21838-RA	Scaffold_2073	6015048	6015761	OG0000001	772	0
Tfasc_v1.21862-RA	Scaffold_2073	7173289	7173984	OG0000001	772	0
Tfasc_v1.21864-RA	Scaffold_2073	7262128	7262778	OG0000001	772	0
Tfasc_v1.21866-RA	Scaffold_2073	7348814	7349527	OG0000001	772	0
Tfasc_v1.21870-RA	Scaffold_2073	7553221	7553934	OG0000001	772	0
Tfasc_v1.21929-RA	Scaffold_2073	9008422	9009135	OG0000001	772	0
Tfasc_v1.22008-RA	Scaffold_2073	10405425	10406138	OG0000001	772	0
Tfasc_v1.22009-RA	Scaffold_2073	10410983	10411585	OG0000001	772	0
Tfasc_v1.22047-RA	Scaffold_2073	11339220	11339933	OG0000001	772	0
Tfasc_v1.22054-RA	Scaffold_2073	11626386	11627099	OG0000001	772	0
Tfasc_v1.22063-RA	Scaffold_2073	11979164	11979877	OG0000001	772	0
Tfasc_v1.22066-RA	Scaffold_2073	12146646	12155659	OG0000001	772	0
