"chrom" "start_window" "end_window" "gene_count"
"215" "Scaffold_4655" 39000001 4e+07 3
"216" "Scaffold_4655" 40000001 4.1e+07 1
"217" "Scaffold_4655" 41000001 4.2e+07 0
"218" "Scaffold_4655" 42000001 4.3e+07 1
"219" "Scaffold_4655" 43000001 4.4e+07 0
"220" "Scaffold_4655" 44000001 4.5e+07 1
"221" "Scaffold_4655" 45000001 4.6e+07 0
"222" "Scaffold_4655" 46000001 4.7e+07 0
"223" "Scaffold_4655" 47000001 4.8e+07 2
"224" "Scaffold_4655" 48000001 4.9e+07 5
"225" "Scaffold_4655" 49000001 5e+07 5
"226" "Scaffold_4655" 50000001 5.1e+07 4
"227" "Scaffold_4655" 51000001 5.2e+07 5
"228" "Scaffold_4655" 52000001 5.3e+07 11
"229" "Scaffold_4655" 53000001 5.4e+07 18
"230" "Scaffold_4655" 54000001 5.5e+07 46
"231" "Scaffold_4655" 55000001 5.6e+07 28
"232" "Scaffold_10302" 1 1e+06 64
"233" "Scaffold_10302" 1000001 2e+06 72
"234" "Scaffold_10302" 2000001 3e+06 47
"235" "Scaffold_10302" 3000001 4e+06 53
"236" "Scaffold_10302" 4000001 5e+06 25
"237" "Scaffold_10302" 5000001 6e+06 21
"238" "Scaffold_10302" 6000001 7e+06 14
"239" "Scaffold_10302" 7000001 8e+06 5
"240" "Scaffold_10302" 8000001 9e+06 4
"241" "Scaffold_10302" 9000001 1e+07 1
"242" "Scaffold_10302" 10000001 1.1e+07 2
"243" "Scaffold_10302" 11000001 1.2e+07 4
"244" "Scaffold_10302" 12000001 1.3e+07 7
"245" "Scaffold_10302" 13000001 1.4e+07 1
"246" "Scaffold_10302" 14000001 1.5e+07 0
"247" "Scaffold_10302" 15000001 1.6e+07 2
"248" "Scaffold_10302" 16000001 1.7e+07 4
"249" "Scaffold_10302" 17000001 1.8e+07 0
"250" "Scaffold_10302" 18000001 1.9e+07 1
"251" "Scaffold_10302" 19000001 2e+07 1
"252" "Scaffold_10302" 20000001 2.1e+07 0
"253" "Scaffold_10302" 21000001 2.2e+07 0
"254" "Scaffold_10302" 22000001 2.3e+07 2
"255" "Scaffold_10302" 23000001 2.4e+07 0
"256" "Scaffold_10302" 24000001 2.5e+07 0
"257" "Scaffold_10302" 25000001 2.6e+07 0
"258" "Scaffold_10302" 26000001 2.7e+07 1
"259" "Scaffold_10302" 27000001 2.8e+07 1
"260" "Scaffold_10302" 28000001 2.9e+07 0
"261" "Scaffold_10302" 29000001 3e+07 0
"262" "Scaffold_10302" 30000001 3.1e+07 0
"263" "Scaffold_10302" 31000001 3.2e+07 0
"264" "Scaffold_10302" 32000001 3.3e+07 3
"265" "Scaffold_10302" 33000001 3.4e+07 0
"266" "Scaffold_10302" 34000001 3.5e+07 4
"267" "Scaffold_10302" 35000001 3.6e+07 7
"268" "Scaffold_10302" 36000001 3.7e+07 0
"269" "Scaffold_10302" 37000001 3.8e+07 1
"270" "Scaffold_10302" 38000001 3.9e+07 1
"271" "Scaffold_10302" 39000001 4e+07 1
"272" "Scaffold_10302" 40000001 4.1e+07 1
"273" "Scaffold_10302" 41000001 4.2e+07 6
"274" "Scaffold_10302" 42000001 4.3e+07 2
"275" "Scaffold_10302" 43000001 4.4e+07 0
"276" "Scaffold_10302" 44000001 4.5e+07 0
"277" "Scaffold_10302" 45000001 4.6e+07 0
"278" "Scaffold_10302" 46000001 4.7e+07 1
"279" "Scaffold_10302" 47000001 4.8e+07 1
"280" "Scaffold_10302" 48000001 4.9e+07 1
"281" "Scaffold_10302" 49000001 5e+07 6
"282" "Scaffold_10302" 50000001 5.1e+07 2
"283" "Scaffold_10302" 51000001 5.2e+07 15
"284" "Scaffold_10302" 52000001 5.3e+07 13
"285" "Scaffold_10302" 53000001 5.4e+07 38
"286" "Scaffold_10302" 54000001 5.5e+07 31
"287" "Scaffold_10429" 1 1e+06 51
"288" "Scaffold_10429" 1000001 2e+06 76
"289" "Scaffold_10429" 2000001 3e+06 77
"290" "Scaffold_10429" 3000001 4e+06 65
"291" "Scaffold_10429" 4000001 5e+06 81
"292" "Scaffold_10429" 5000001 6e+06 18
"293" "Scaffold_10429" 6000001 7e+06 10
"294" "Scaffold_10429" 7000001 8e+06 5
"295" "Scaffold_10429" 8000001 9e+06 4
"296" "Scaffold_10429" 9000001 1e+07 2
"297" "Scaffold_10429" 10000001 1.1e+07 0
"298" "Scaffold_10429" 11000001 1.2e+07 3
"299" "Scaffold_10429" 12000001 1.3e+07 0
"300" "Scaffold_10429" 13000001 1.4e+07 1
"301" "Scaffold_10429" 14000001 1.5e+07 4
"302" "Scaffold_10429" 15000001 1.6e+07 1
"303" "Scaffold_10429" 16000001 1.7e+07 3
"304" "Scaffold_10429" 17000001 1.8e+07 0
"305" "Scaffold_10429" 18000001 1.9e+07 0
"306" "Scaffold_10429" 19000001 2e+07 1
"307" "Scaffold_10429" 20000001 2.1e+07 5
"308" "Scaffold_10429" 21000001 2.2e+07 1
"309" "Scaffold_10429" 22000001 2.3e+07 0
"310" "Scaffold_10429" 23000001 2.4e+07 3
"311" "Scaffold_10429" 24000001 2.5e+07 1
"312" "Scaffold_10429" 25000001 2.6e+07 5
"313" "Scaffold_10429" 26000001 2.7e+07 2
"314" "Scaffold_10429" 27000001 2.8e+07 0
"315" "Scaffold_10429" 28000001 2.9e+07 0
"316" "Scaffold_10429" 29000001 3e+07 2
"317" "Scaffold_10429" 30000001 3.1e+07 0
"318" "Scaffold_10429" 31000001 3.2e+07 1
"319" "Scaffold_10429" 32000001 3.3e+07 0
"320" "Scaffold_10429" 33000001 3.4e+07 1
"321" "Scaffold_10429" 34000001 3.5e+07 0
"322" "Scaffold_10429" 35000001 3.6e+07 0
"323" "Scaffold_10429" 36000001 3.7e+07 0
"324" "Scaffold_10429" 37000001 3.8e+07 0
"325" "Scaffold_10429" 38000001 3.9e+07 2
"326" "Scaffold_10429" 39000001 4e+07 0
"327" "Scaffold_10429" 40000001 4.1e+07 2
"328" "Scaffold_10429" 41000001 4.2e+07 2
"329" "Scaffold_10429" 42000001 4.3e+07 2
"330" "Scaffold_10429" 43000001 4.4e+07 7
"331" "Scaffold_10429" 44000001 4.5e+07 3
"332" "Scaffold_10429" 45000001 4.6e+07 1
"333" "Scaffold_10429" 46000001 4.7e+07 4
"334" "Scaffold_10429" 47000001 4.8e+07 11
"335" "Scaffold_10429" 48000001 4.9e+07 18
"336" "Scaffold_10429" 49000001 5e+07 53
"337" "Scaffold_10429" 50000001 5.1e+07 62
"338" "Scaffold_10429" 51000001 5.2e+07 56
"339" "Scaffold_10429" 52000001 5.3e+07 25
"340" "Scaffold_5555" 1 1e+06 78
"341" "Scaffold_5555" 1000001 2e+06 64
"342" "Scaffold_5555" 2000001 3e+06 43
"343" "Scaffold_5555" 3000001 4e+06 32
"344" "Scaffold_5555" 4000001 5e+06 17
"345" "Scaffold_5555" 5000001 6e+06 10
"346" "Scaffold_5555" 6000001 7e+06 7
"347" "Scaffold_5555" 7000001 8e+06 5
"348" "Scaffold_5555" 8000001 9e+06 0
"349" "Scaffold_5555" 9000001 1e+07 4
"350" "Scaffold_5555" 10000001 1.1e+07 0
"351" "Scaffold_5555" 11000001 1.2e+07 2
"352" "Scaffold_5555" 12000001 1.3e+07 2
"353" "Scaffold_5555" 13000001 1.4e+07 2
"354" "Scaffold_5555" 14000001 1.5e+07 0
"355" "Scaffold_5555" 15000001 1.6e+07 0
"356" "Scaffold_5555" 16000001 1.7e+07 0
"357" "Scaffold_5555" 17000001 1.8e+07 0
"358" "Scaffold_5555" 18000001 1.9e+07 0
"359" "Scaffold_5555" 19000001 2e+07 3
"360" "Scaffold_5555" 20000001 2.1e+07 0
"361" "Scaffold_5555" 21000001 2.2e+07 1
"362" "Scaffold_5555" 22000001 2.3e+07 0
"363" "Scaffold_5555" 23000001 2.4e+07 0
"364" "Scaffold_5555" 24000001 2.5e+07 0
"365" "Scaffold_5555" 25000001 2.6e+07 0
"366" "Scaffold_5555" 26000001 2.7e+07 0
"367" "Scaffold_5555" 27000001 2.8e+07 1
"368" "Scaffold_5555" 28000001 2.9e+07 1
"369" "Scaffold_5555" 29000001 3e+07 1
"370" "Scaffold_5555" 30000001 3.1e+07 2
"371" "Scaffold_5555" 31000001 3.2e+07 3
"372" "Scaffold_5555" 32000001 3.3e+07 0
"373" "Scaffold_5555" 33000001 3.4e+07 3
"374" "Scaffold_5555" 34000001 3.5e+07 0
"375" "Scaffold_5555" 35000001 3.6e+07 0
"376" "Scaffold_5555" 36000001 3.7e+07 5
"377" "Scaffold_5555" 37000001 3.8e+07 3
"378" "Scaffold_5555" 38000001 3.9e+07 2
"379" "Scaffold_5555" 39000001 4e+07 1
"380" "Scaffold_5555" 40000001 4.1e+07 3
"381" "Scaffold_5555" 41000001 4.2e+07 1
"382" "Scaffold_5555" 42000001 4.3e+07 1
"383" "Scaffold_5555" 43000001 4.4e+07 0
"384" "Scaffold_5555" 44000001 4.5e+07 1
"385" "Scaffold_5555" 45000001 4.6e+07 2
"386" "Scaffold_5555" 46000001 4.7e+07 3
"387" "Scaffold_5555" 47000001 4.8e+07 10
"388" "Scaffold_5555" 48000001 4.9e+07 5
"389" "Scaffold_5555" 49000001 5e+07 15
"390" "Scaffold_5555" 50000001 5.1e+07 17
"391" "Scaffold_5555" 51000001 5.2e+07 57
"392" "Scaffold_5555" 52000001 5.3e+07 15
"393" "Scaffold_9938" 1 1e+06 77
"394" "Scaffold_9938" 1000001 2e+06 65
"395" "Scaffold_9938" 2000001 3e+06 51
"396" "Scaffold_9938" 3000001 4e+06 32
"397" "Scaffold_9938" 4000001 5e+06 10
"398" "Scaffold_9938" 5000001 6e+06 11
"399" "Scaffold_9938" 6000001 7e+06 8
"400" "Scaffold_9938" 7000001 8e+06 5
"401" "Scaffold_9938" 8000001 9e+06 2
"402" "Scaffold_9938" 9000001 1e+07 1
"403" "Scaffold_9938" 10000001 1.1e+07 2
"404" "Scaffold_9938" 11000001 1.2e+07 3
"405" "Scaffold_9938" 12000001 1.3e+07 1
"406" "Scaffold_9938" 13000001 1.4e+07 1
"407" "Scaffold_9938" 14000001 1.5e+07 2
"408" "Scaffold_9938" 15000001 1.6e+07 3
"409" "Scaffold_9938" 16000001 1.7e+07 1
"410" "Scaffold_9938" 17000001 1.8e+07 0
"411" "Scaffold_9938" 18000001 1.9e+07 0
"412" "Scaffold_9938" 19000001 2e+07 2
"413" "Scaffold_9938" 20000001 2.1e+07 0
"414" "Scaffold_9938" 21000001 2.2e+07 0
"415" "Scaffold_9938" 22000001 2.3e+07 0
"416" "Scaffold_9938" 23000001 2.4e+07 4
"417" "Scaffold_9938" 24000001 2.5e+07 0
"418" "Scaffold_9938" 25000001 2.6e+07 0
"419" "Scaffold_9938" 26000001 2.7e+07 1
"420" "Scaffold_9938" 27000001 2.8e+07 1
"421" "Scaffold_9938" 28000001 2.9e+07 3
"422" "Scaffold_9938" 29000001 3e+07 2
"423" "Scaffold_9938" 30000001 3.1e+07 0
"424" "Scaffold_9938" 31000001 3.2e+07 0
"425" "Scaffold_9938" 32000001 3.3e+07 0
"426" "Scaffold_9938" 33000001 3.4e+07 0
"427" "Scaffold_9938" 34000001 3.5e+07 12
"428" "Scaffold_9938" 35000001 3.6e+07 7
"429" "Scaffold_9938" 36000001 3.7e+07 0
"430" "Scaffold_9938" 37000001 3.8e+07 1
"431" "Scaffold_9938" 38000001 3.9e+07 4
"432" "Scaffold_9938" 39000001 4e+07 5
"433" "Scaffold_9938" 40000001 4.1e+07 0
"434" "Scaffold_9938" 41000001 4.2e+07 0
"435" "Scaffold_9938" 42000001 4.3e+07 3
"436" "Scaffold_9938" 43000001 4.4e+07 0
"437" "Scaffold_9938" 44000001 4.5e+07 7
"438" "Scaffold_9938" 45000001 4.6e+07 8
"439" "Scaffold_9938" 46000001 4.7e+07 7
"440" "Scaffold_9938" 47000001 4.8e+07 35
"441" "Scaffold_9938" 48000001 4.9e+07 27
"442" "Scaffold_9938" 49000001 5e+07 56
"443" "Scaffold_9938" 50000001 5.1e+07 120
"444" "Scaffold_9938" 51000001 5.2e+07 23
"445" "Scaffold_4582" 1 1e+06 75
"446" "Scaffold_4582" 1000001 2e+06 85
"447" "Scaffold_4582" 2000001 3e+06 85
"448" "Scaffold_4582" 3000001 4e+06 45
"449" "Scaffold_4582" 4000001 5e+06 44
"450" "Scaffold_4582" 5000001 6e+06 23
"451" "Scaffold_4582" 6000001 7e+06 11
"452" "Scaffold_4582" 7000001 8e+06 3
"453" "Scaffold_4582" 8000001 9e+06 5
"454" "Scaffold_4582" 9000001 1e+07 2
"455" "Scaffold_4582" 10000001 1.1e+07 4
"456" "Scaffold_4582" 11000001 1.2e+07 3
"457" "Scaffold_4582" 12000001 1.3e+07 1
"458" "Scaffold_4582" 13000001 1.4e+07 4
"459" "Scaffold_4582" 14000001 1.5e+07 0
"460" "Scaffold_4582" 15000001 1.6e+07 3
"461" "Scaffold_4582" 16000001 1.7e+07 1
"462" "Scaffold_4582" 17000001 1.8e+07 2
"463" "Scaffold_4582" 18000001 1.9e+07 1
"464" "Scaffold_4582" 19000001 2e+07 0
"465" "Scaffold_4582" 20000001 2.1e+07 3
"466" "Scaffold_4582" 21000001 2.2e+07 1
"467" "Scaffold_4582" 22000001 2.3e+07 0
"468" "Scaffold_4582" 23000001 2.4e+07 0
"469" "Scaffold_4582" 24000001 2.5e+07 1
"470" "Scaffold_4582" 25000001 2.6e+07 0
"471" "Scaffold_4582" 26000001 2.7e+07 5
"472" "Scaffold_4582" 27000001 2.8e+07 0
"473" "Scaffold_4582" 28000001 2.9e+07 1
"474" "Scaffold_4582" 29000001 3e+07 0
"475" "Scaffold_4582" 30000001 3.1e+07 0
"476" "Scaffold_4582" 31000001 3.2e+07 3
"477" "Scaffold_4582" 32000001 3.3e+07 5
"478" "Scaffold_4582" 33000001 3.4e+07 6
"479" "Scaffold_4582" 34000001 3.5e+07 3
"480" "Scaffold_4582" 35000001 3.6e+07 2
"481" "Scaffold_4582" 36000001 3.7e+07 1
"482" "Scaffold_4582" 37000001 3.8e+07 0
"483" "Scaffold_4582" 38000001 3.9e+07 4
"484" "Scaffold_4582" 39000001 4e+07 1
"485" "Scaffold_4582" 40000001 4.1e+07 3
"486" "Scaffold_4582" 41000001 4.2e+07 2
"487" "Scaffold_4582" 42000001 4.3e+07 0
"488" "Scaffold_4582" 43000001 4.4e+07 2
"489" "Scaffold_4582" 44000001 4.5e+07 5
"490" "Scaffold_4582" 45000001 4.6e+07 3
"491" "Scaffold_4582" 46000001 4.7e+07 11
"492" "Scaffold_4582" 47000001 4.8e+07 14
"493" "Scaffold_4582" 48000001 4.9e+07 32
"494" "Scaffold_4582" 49000001 5e+07 69
"495" "Scaffold_4582" 50000001 5.1e+07 16
"496" "Scaffold_7805" 1 1e+06 82
"497" "Scaffold_7805" 1000001 2e+06 87
"498" "Scaffold_7805" 2000001 3e+06 84
"499" "Scaffold_7805" 3000001 4e+06 34
"500" "Scaffold_7805" 4000001 5e+06 20
"501" "Scaffold_7805" 5000001 6e+06 9
"502" "Scaffold_7805" 6000001 7e+06 7
"503" "Scaffold_7805" 7000001 8e+06 6
"504" "Scaffold_7805" 8000001 9e+06 1
"505" "Scaffold_7805" 9000001 1e+07 1
"506" "Scaffold_7805" 10000001 1.1e+07 0
"507" "Scaffold_7805" 11000001 1.2e+07 2
"508" "Scaffold_7805" 12000001 1.3e+07 1
"509" "Scaffold_7805" 13000001 1.4e+07 2
"510" "Scaffold_7805" 14000001 1.5e+07 2
"511" "Scaffold_7805" 15000001 1.6e+07 3
"512" "Scaffold_7805" 16000001 1.7e+07 6
"513" "Scaffold_7805" 17000001 1.8e+07 4
"514" "Scaffold_7805" 18000001 1.9e+07 1
"515" "Scaffold_7805" 19000001 2e+07 4
"516" "Scaffold_7805" 20000001 2.1e+07 0
"517" "Scaffold_7805" 21000001 2.2e+07 2
"518" "Scaffold_7805" 22000001 2.3e+07 1
"519" "Scaffold_7805" 23000001 2.4e+07 2
"520" "Scaffold_7805" 24000001 2.5e+07 1
"521" "Scaffold_7805" 25000001 2.6e+07 4
"522" "Scaffold_7805" 26000001 2.7e+07 0
"523" "Scaffold_7805" 27000001 2.8e+07 1
"524" "Scaffold_7805" 28000001 2.9e+07 2
"525" "Scaffold_7805" 29000001 3e+07 3
"526" "Scaffold_7805" 30000001 3.1e+07 0
"527" "Scaffold_7805" 31000001 3.2e+07 0
"528" "Scaffold_7805" 32000001 3.3e+07 0
"529" "Scaffold_7805" 33000001 3.4e+07 4
"530" "Scaffold_7805" 34000001 3.5e+07 4
