"chrom" "start_window" "end_window" "percentage_te"
"41" "Scaffold_658" "7000001" "8e+06" "7.567"
"42" "Scaffold_658" "8000001" "9e+06" "3.5227"
"43" "Scaffold_658" "9000001" "1e+07" "10.5856"
"44" "Scaffold_658" "10000001" "1.1e+07" "7.9784"
"45" "Scaffold_658" "11000001" "1.2e+07" "13.6249"
"46" "Scaffold_658" "12000001" "1.3e+07" "14.5858"
"47" "Scaffold_658" "13000001" "1.4e+07" "12.391"
"48" "Scaffold_658" "14000001" "1.5e+07" "5.9239"
"49" "Scaffold_658" "15000001" "1.6e+07" "14.3852"
"50" "Scaffold_658" "16000001" "1.7e+07" "16.9092"
"51" "Scaffold_658" "17000001" "1.8e+07" "6.141"
"52" "Scaffold_658" "18000001" "1.9e+07" "12.3362"
"53" "Scaffold_658" "19000001" "2e+07" "2.7804"
"54" "Scaffold_658" "20000001" "2.1e+07" "14.5056"
"55" "Scaffold_658" "21000001" "2.2e+07" "17.7606"
"56" "Scaffold_658" "22000001" "2.3e+07" "13.0328"
"57" "Scaffold_658" "23000001" "2.4e+07" "15.1111"
"58" "Scaffold_658" "24000001" "2.5e+07" "10.1986"
"59" "Scaffold_658" "25000001" "2.6e+07" "19.0061"
"60" "Scaffold_658" "26000001" "2.7e+07" "1.8853"
"61" "Scaffold_658" "27000001" "2.8e+07" "7.6613"
"62" "Scaffold_658" "28000001" "2.9e+07" "2.9196"
"63" "Scaffold_658" "29000001" "3e+07" "2.8021"
"64" "Scaffold_658" "30000001" "3.1e+07" "1.8728"
"65" "Scaffold_658" "31000001" "3.2e+07" "3.6015"
"66" "Scaffold_2318" "1" "1e+06" "5.7713"
"67" "Scaffold_2318" "1000001" "2e+06" "1.7275"
"68" "Scaffold_2318" "2000001" "3e+06" "6.3422"
"69" "Scaffold_2318" "3000001" "4e+06" "2.3611"
"70" "Scaffold_2318" "4000001" "5e+06" "10.9862"
"71" "Scaffold_2318" "5000001" "6e+06" "12.9057"
"72" "Scaffold_2318" "6000001" "7e+06" "16.6314"
"73" "Scaffold_2318" "7000001" "8e+06" "11.8443"
"74" "Scaffold_2318" "8000001" "9e+06" "11.6489"
"75" "Scaffold_2318" "9000001" "1e+07" "20.1087"
"76" "Scaffold_2318" "10000001" "1.1e+07" "11.3707"
"77" "Scaffold_2318" "11000001" "1.2e+07" "14.6892"
"78" "Scaffold_2318" "12000001" "1.3e+07" "15.9467"
"79" "Scaffold_2318" "13000001" "1.4e+07" "14.1867"
"80" "Scaffold_2318" "14000001" "1.5e+07" "17.3768"
"81" "Scaffold_2318" "15000001" "1.6e+07" "15.1656"
"82" "Scaffold_2318" "16000001" "1.7e+07" "12.7644"
"83" "Scaffold_2318" "17000001" "1.8e+07" "12.5777"
"84" "Scaffold_2318" "18000001" "1.9e+07" "30.1888"
"85" "Scaffold_2318" "19000001" "2e+07" "15.3754"
"86" "Scaffold_2318" "20000001" "2.1e+07" "16.6017"
"87" "Scaffold_2318" "21000001" "2.2e+07" "11.6944"
"88" "Scaffold_2318" "22000001" "2.3e+07" "13.9587"
"89" "Scaffold_2318" "23000001" "2.4e+07" "6.6986"
"90" "Scaffold_2318" "24000001" "2.5e+07" "7.3137"
"91" "Scaffold_2318" "25000001" "2.6e+07" "11.7852"
"92" "Scaffold_2318" "26000001" "2.7e+07" "4.0471"
"93" "Scaffold_2318" "27000001" "2.8e+07" "9.5693"
"94" "Scaffold_2318" "28000001" "2.9e+07" "5.5525"
"95" "Scaffold_2318" "29000001" "3e+07" "0.4271"
"96" "Scaffold_2318" "30000001" "3.1e+07" "7.2174"
"97" "Scaffold_2318" "31000001" "3.2e+07" "0.0729"
"98" "Scaffold_2041" "1" "1e+06" "1.2068"
"99" "Scaffold_2041" "1000001" "2e+06" "5.0552"
"100" "Scaffold_2041" "2000001" "3e+06" "7.1202"
"101" "Scaffold_2041" "3000001" "4e+06" "6.7635"
"102" "Scaffold_2041" "4000001" "5e+06" "15.2664"
"103" "Scaffold_2041" "5000001" "6e+06" "9.6535"
"104" "Scaffold_2041" "6000001" "7e+06" "12.5874"
"105" "Scaffold_2041" "7000001" "8e+06" "13.8782"
"106" "Scaffold_2041" "8000001" "9e+06" "13.5906"
"107" "Scaffold_2041" "9000001" "1e+07" "11.1818"
"108" "Scaffold_2041" "10000001" "1.1e+07" "9.926"
"109" "Scaffold_2041" "11000001" "1.2e+07" "12.9446"
"110" "Scaffold_2041" "12000001" "1.3e+07" "10.5328"
"111" "Scaffold_2041" "13000001" "1.4e+07" "8.0319"
"112" "Scaffold_2041" "14000001" "1.5e+07" "9.9202"
"113" "Scaffold_2041" "15000001" "1.6e+07" "15.6187"
"114" "Scaffold_2041" "16000001" "1.7e+07" "17.2028"
"115" "Scaffold_2041" "17000001" "1.8e+07" "15.1158"
"116" "Scaffold_2041" "18000001" "1.9e+07" "7.3449"
"117" "Scaffold_2041" "19000001" "2e+07" "10.5002"
"118" "Scaffold_2041" "20000001" "2.1e+07" "12.5822"
"119" "Scaffold_2041" "21000001" "2.2e+07" "8.5848"
"120" "Scaffold_2041" "22000001" "2.3e+07" "5.4215"
"121" "Scaffold_2041" "23000001" "2.4e+07" "11.9735"
"122" "Scaffold_2041" "24000001" "2.5e+07" "4.2271"
"123" "Scaffold_2041" "25000001" "2.6e+07" "4.1094"
"124" "Scaffold_2041" "26000001" "2.7e+07" "2.1874"
"125" "Scaffold_2041" "27000001" "2.8e+07" "7.2029"
"126" "Scaffold_2041" "28000001" "2.9e+07" "1.9068"
"127" "Scaffold_2041" "29000001" "3e+07" "4.4093"
"128" "Scaffold_2041" "30000001" "3.1e+07" "4.8306"
"129" "Scaffold_2096" "1" "1e+06" "2.6082"
"130" "Scaffold_2096" "1000001" "2e+06" "4.6653"
"131" "Scaffold_2096" "2000001" "3e+06" "3.9647"
"132" "Scaffold_2096" "3000001" "4e+06" "3.5833"
"133" "Scaffold_2096" "4000001" "5e+06" "5.8008"
"134" "Scaffold_2096" "5000001" "6e+06" "10.1792"
"135" "Scaffold_2096" "6000001" "7e+06" "11.1466"
"136" "Scaffold_2096" "7000001" "8e+06" "9.5437"
"137" "Scaffold_2096" "8000001" "9e+06" "14.6723"
"138" "Scaffold_2096" "9000001" "1e+07" "21.8183"
"139" "Scaffold_2096" "10000001" "1.1e+07" "14.8506"
"140" "Scaffold_2096" "11000001" "1.2e+07" "16.3799"
"141" "Scaffold_2096" "12000001" "1.3e+07" "15.9615"
"142" "Scaffold_2096" "13000001" "1.4e+07" "14.0469"
"143" "Scaffold_2096" "14000001" "1.5e+07" "11.802"
"144" "Scaffold_2096" "15000001" "1.6e+07" "9.9604"
"145" "Scaffold_2096" "16000001" "1.7e+07" "16.284"
"146" "Scaffold_2096" "17000001" "1.8e+07" "19.6869"
"147" "Scaffold_2096" "18000001" "1.9e+07" "18.7434"
"148" "Scaffold_2096" "19000001" "2e+07" "14.307"
"149" "Scaffold_2096" "20000001" "2.1e+07" "15.8959"
"150" "Scaffold_2096" "21000001" "2.2e+07" "14.0607"
"151" "Scaffold_2096" "22000001" "2.3e+07" "7.542"
"152" "Scaffold_2096" "23000001" "2.4e+07" "4.4378"
"153" "Scaffold_2096" "24000001" "2.5e+07" "10.3612"
"154" "Scaffold_2096" "25000001" "2.6e+07" "4.3568"
"155" "Scaffold_2096" "26000001" "2.7e+07" "6.0363"
"156" "Scaffold_2096" "27000001" "2.8e+07" "4.6276"
"157" "Scaffold_2096" "28000001" "2.9e+07" "1.2721"
"158" "Scaffold_2096" "29000001" "3e+07" "1.2848"
"159" "Scaffold_2096" "30000001" "3.1e+07" "0"
"160" "Scaffold_2315" "1" "1e+06" "6.2053"
"161" "Scaffold_2315" "1000001" "2e+06" "3.5309"
"162" "Scaffold_2315" "2000001" "3e+06" "5.7911"
"163" "Scaffold_2315" "3000001" "4e+06" "7.9973"
"164" "Scaffold_2315" "4000001" "5e+06" "4.6094"
"165" "Scaffold_2315" "5000001" "6e+06" "19.4227"
"166" "Scaffold_2315" "6000001" "7e+06" "21.8183"
"167" "Scaffold_2315" "7000001" "8e+06" "13.2952"
"168" "Scaffold_2315" "8000001" "9e+06" "7.9517"
"169" "Scaffold_2315" "9000001" "1e+07" "13.1637"
"170" "Scaffold_2315" "10000001" "1.1e+07" "22.2973"
"171" "Scaffold_2315" "11000001" "1.2e+07" "14.9719"
"172" "Scaffold_2315" "12000001" "1.3e+07" "9.9064"
"173" "Scaffold_2315" "13000001" "1.4e+07" "18.7934"
"174" "Scaffold_2315" "14000001" "1.5e+07" "7.5296"
"175" "Scaffold_2315" "15000001" "1.6e+07" "12.5475"
"176" "Scaffold_2315" "16000001" "1.7e+07" "11.9089"
"177" "Scaffold_2315" "17000001" "1.8e+07" "20.3899"
"178" "Scaffold_2315" "18000001" "1.9e+07" "17.9625"
"179" "Scaffold_2315" "19000001" "2e+07" "20.1504"
"180" "Scaffold_2315" "20000001" "2.1e+07" "15.8078"
"181" "Scaffold_2315" "21000001" "2.2e+07" "19.1757"
"182" "Scaffold_2315" "22000001" "2.3e+07" "8.5034"
"183" "Scaffold_2315" "23000001" "2.4e+07" "9.1914"
"184" "Scaffold_2315" "24000001" "2.5e+07" "6.6306"
"185" "Scaffold_2315" "25000001" "2.6e+07" "7.9337"
"186" "Scaffold_2315" "26000001" "2.7e+07" "5.6204"
"187" "Scaffold_2315" "27000001" "2.8e+07" "5.0291"
"188" "Scaffold_2315" "28000001" "2.9e+07" "3.8523"
"189" "Scaffold_2315" "29000001" "3e+07" "5.8053"
"190" "Scaffold_2317" "1" "1e+06" "2.4636"
"191" "Scaffold_2317" "1000001" "2e+06" "4.7361"
"192" "Scaffold_2317" "2000001" "3e+06" "2.4656"
"193" "Scaffold_2317" "3000001" "4e+06" "4.1193"
"194" "Scaffold_2317" "4000001" "5e+06" "0.7773"
"195" "Scaffold_2317" "5000001" "6e+06" "4.769"
"196" "Scaffold_2317" "6000001" "7e+06" "15.2004"
"197" "Scaffold_2317" "7000001" "8e+06" "10.2279"
"198" "Scaffold_2317" "8000001" "9e+06" "11.6263"
"199" "Scaffold_2317" "9000001" "1e+07" "9.8795"
"200" "Scaffold_2317" "10000001" "1.1e+07" "11.9971"
"201" "Scaffold_2317" "11000001" "1.2e+07" "12.9125"
"202" "Scaffold_2317" "12000001" "1.3e+07" "15.1837"
"203" "Scaffold_2317" "13000001" "1.4e+07" "13.2365"
"204" "Scaffold_2317" "14000001" "1.5e+07" "6.4991"
"205" "Scaffold_2317" "15000001" "1.6e+07" "13.7821"
"206" "Scaffold_2317" "16000001" "1.7e+07" "11.5555"
"207" "Scaffold_2317" "17000001" "1.8e+07" "10.5639"
"208" "Scaffold_2317" "18000001" "1.9e+07" "9.8218"
"209" "Scaffold_2317" "19000001" "2e+07" "13.5951"
"210" "Scaffold_2317" "20000001" "2.1e+07" "3.3105"
"211" "Scaffold_2317" "21000001" "2.2e+07" "10.3636"
"212" "Scaffold_2317" "22000001" "2.3e+07" "8.5331"
"213" "Scaffold_2317" "23000001" "2.4e+07" "5.3965"
"214" "Scaffold_2317" "24000001" "2.5e+07" "6.5583"
"215" "Scaffold_2317" "25000001" "2.6e+07" "13.2407"
"216" "Scaffold_2317" "26000001" "2.7e+07" "4.4101"
"217" "Scaffold_2317" "27000001" "2.8e+07" "1.1115"
"218" "Scaffold_2287" "1" "1e+06" "7.326"
"219" "Scaffold_2287" "1000001" "2e+06" "4.1893"
"220" "Scaffold_2287" "2000001" "3e+06" "5.5924"
"221" "Scaffold_2287" "3000001" "4e+06" "5.3489"
"222" "Scaffold_2287" "4000001" "5e+06" "10.6519"
"223" "Scaffold_2287" "5000001" "6e+06" "6.7158"
"224" "Scaffold_2287" "6000001" "7e+06" "9.4126"
"225" "Scaffold_2287" "7000001" "8e+06" "12.1394"
"226" "Scaffold_2287" "8000001" "9e+06" "13.9433"
"227" "Scaffold_2287" "9000001" "1e+07" "17.0058"
"228" "Scaffold_2287" "10000001" "1.1e+07" "9.9846"
"229" "Scaffold_2287" "11000001" "1.2e+07" "9.2039"
"230" "Scaffold_2287" "12000001" "1.3e+07" "11.036"
"231" "Scaffold_2287" "13000001" "1.4e+07" "19.8724"
"232" "Scaffold_2287" "14000001" "1.5e+07" "14.9268"
"233" "Scaffold_2287" "15000001" "1.6e+07" "10.1155"
"234" "Scaffold_2287" "16000001" "1.7e+07" "14.7776"
"235" "Scaffold_2287" "17000001" "1.8e+07" "16.9063"
"236" "Scaffold_2287" "18000001" "1.9e+07" "15.2549"
"237" "Scaffold_2287" "19000001" "2e+07" "10.0955"
"238" "Scaffold_2287" "20000001" "2.1e+07" "9.4226"
"239" "Scaffold_2287" "21000001" "2.2e+07" "8.4692"
"240" "Scaffold_2287" "22000001" "2.3e+07" "5.8734"
"241" "Scaffold_2287" "23000001" "2.4e+07" "8.0183"
"242" "Scaffold_2287" "24000001" "2.5e+07" "7.1224"
"243" "Scaffold_2287" "25000001" "2.6e+07" "6.0845"
"244" "Scaffold_2287" "26000001" "2.7e+07" "6.2656"
"245" "Scaffold_2287" "27000001" "2.8e+07" "0.472"
"246" "Scaffold_326" "1" "1e+06" "5.9677"
"247" "Scaffold_326" "1000001" "2e+06" "3.7657"
"248" "Scaffold_326" "2000001" "3e+06" "4.133"
"249" "Scaffold_326" "3000001" "4e+06" "10.31"
"250" "Scaffold_326" "4000001" "5e+06" "9.3998"
"251" "Scaffold_326" "5000001" "6e+06" "7.7921"
"252" "Scaffold_326" "6000001" "7e+06" "14.944"
"253" "Scaffold_326" "7000001" "8e+06" "19.8044"
"254" "Scaffold_326" "8000001" "9e+06" "16.9595"
"255" "Scaffold_326" "9000001" "1e+07" "16.6692"
"256" "Scaffold_326" "10000001" "1.1e+07" "18.063"
"257" "Scaffold_326" "11000001" "1.2e+07" "16.7839"
"258" "Scaffold_326" "12000001" "1.3e+07" "12.7771"
"259" "Scaffold_326" "13000001" "1.4e+07" "13.101"
"260" "Scaffold_326" "14000001" "1.5e+07" "12.4738"
"261" "Scaffold_326" "15000001" "1.6e+07" "20.6415"
"262" "Scaffold_326" "16000001" "1.7e+07" "11.7663"
"263" "Scaffold_326" "17000001" "1.8e+07" "11.6938"
"264" "Scaffold_326" "18000001" "1.9e+07" "21.7033"
"265" "Scaffold_326" "19000001" "2e+07" "11.7606"
"266" "Scaffold_326" "20000001" "2.1e+07" "9.7641"
"267" "Scaffold_326" "21000001" "2.2e+07" "7.0285"
"268" "Scaffold_326" "22000001" "2.3e+07" "7.4243"
"269" "Scaffold_326" "23000001" "2.4e+07" "11.0963"
"270" "Scaffold_326" "24000001" "2.5e+07" "10.0424"
"271" "Scaffold_326" "25000001" "2.6e+07" "3.7519"
"272" "Scaffold_326" "26000001" "2.7e+07" "1.5701"
"273" "Scaffold_1174" "1" "1e+06" "7.1235"
"274" "Scaffold_1174" "1000001" "2e+06" "1.9929"
"275" "Scaffold_1174" "2000001" "3e+06" "4.7929"
"276" "Scaffold_1174" "3000001" "4e+06" "14.0592"
"277" "Scaffold_1174" "4000001" "5e+06" "20.7918"
"278" "Scaffold_1174" "5000001" "6e+06" "16.2775"
"279" "Scaffold_1174" "6000001" "7e+06" "16.0271"
"280" "Scaffold_1174" "7000001" "8e+06" "14.5311"
"281" "Scaffold_1174" "8000001" "9e+06" "10.5703"
"282" "Scaffold_1174" "9000001" "1e+07" "10.8032"
"283" "Scaffold_1174" "10000001" "1.1e+07" "14.3501"
"284" "Scaffold_1174" "11000001" "1.2e+07" "12.9047"
"285" "Scaffold_1174" "12000001" "1.3e+07" "11.8952"
"286" "Scaffold_1174" "13000001" "1.4e+07" "20.4846"
"287" "Scaffold_1174" "14000001" "1.5e+07" "11.4337"
"288" "Scaffold_1174" "15000001" "1.6e+07" "15.8057"
"289" "Scaffold_1174" "16000001" "1.7e+07" "12.6573"
"290" "Scaffold_1174" "17000001" "1.8e+07" "14.5171"
"291" "Scaffold_1174" "18000001" "1.9e+07" "12.646"
"292" "Scaffold_1174" "19000001" "2e+07" "10.4888"
"293" "Scaffold_1174" "20000001" "2.1e+07" "3.5364"
"294" "Scaffold_1174" "21000001" "2.2e+07" "5.3225"
"295" "Scaffold_1174" "22000001" "2.3e+07" "2.4276"
"296" "Scaffold_1174" "23000001" "2.4e+07" "0.786"
"297" "Scaffold_1174" "24000001" "2.5e+07" "1.6794"
"298" "Scaffold_1174" "25000001" "2.6e+07" "3.9888"
"299" "Scaffold_1174" "26000001" "2.7e+07" "0"
"300" "Scaffold_2314" "1" "1e+06" "3.4626"
"301" "Scaffold_2314" "1000001" "2e+06" "3.168"
"302" "Scaffold_2314" "2000001" "3e+06" "3.9405"
"303" "Scaffold_2314" "3000001" "4e+06" "3.4277"
"304" "Scaffold_2314" "4000001" "5e+06" "5.563"
"305" "Scaffold_2314" "5000001" "6e+06" "2.2387"
"306" "Scaffold_2314" "6000001" "7e+06" "2.0433"
"307" "Scaffold_2314" "7000001" "8e+06" "6.4161"
"308" "Scaffold_2314" "8000001" "9e+06" "10.0761"
"309" "Scaffold_2314" "9000001" "1e+07" "7.9441"
"310" "Scaffold_2314" "10000001" "1.1e+07" "18.7625"
"311" "Scaffold_2314" "11000001" "1.2e+07" "9.5024"
"312" "Scaffold_2314" "12000001" "1.3e+07" "16.537"
"313" "Scaffold_2314" "13000001" "1.4e+07" "6.5818"
"314" "Scaffold_2314" "14000001" "1.5e+07" "20.1191"
"315" "Scaffold_2314" "15000001" "1.6e+07" "19.6053"
"316" "Scaffold_2314" "16000001" "1.7e+07" "13.2931"
"317" "Scaffold_2314" "17000001" "1.8e+07" "25.0661"
"318" "Scaffold_2314" "18000001" "1.9e+07" "10.0278"
"319" "Scaffold_2314" "19000001" "2e+07" "11.1023"
"320" "Scaffold_2314" "20000001" "2.1e+07" "14.8625"
"321" "Scaffold_2314" "21000001" "2.2e+07" "18.9425"
"322" "Scaffold_2314" "22000001" "2.3e+07" "13.0813"
"323" "Scaffold_2314" "23000001" "2.4e+07" "3.9846"
"324" "Scaffold_2314" "24000001" "2.5e+07" "2.2277"
"325" "Scaffold_2314" "25000001" "2.6e+07" "5.3666"
"326" "Scaffold_2313" "1" "1e+06" "4.9892"
"327" "Scaffold_2313" "1000001" "2e+06" "4.6847"
"328" "Scaffold_2313" "2000001" "3e+06" "4.1395"
"329" "Scaffold_2313" "3000001" "4e+06" "6.5604"
"330" "Scaffold_2313" "4000001" "5e+06" "4.0766"
"331" "Scaffold_2313" "5000001" "6e+06" "10.4306"
"332" "Scaffold_2313" "6000001" "7e+06" "10.5679"
"333" "Scaffold_2313" "7000001" "8e+06" "12.4196"
"334" "Scaffold_2313" "8000001" "9e+06" "12.4982"
"335" "Scaffold_2313" "9000001" "1e+07" "20.7386"
"336" "Scaffold_2313" "10000001" "1.1e+07" "17.5"
"337" "Scaffold_2313" "11000001" "1.2e+07" "18.2787"
"338" "Scaffold_2313" "12000001" "1.3e+07" "13.0843"
"339" "Scaffold_2313" "13000001" "1.4e+07" "9.3134"
"340" "Scaffold_2313" "14000001" "1.5e+07" "10.0046"
"341" "Scaffold_2313" "15000001" "1.6e+07" "11.7019"
"342" "Scaffold_2313" "16000001" "1.7e+07" "18.3611"
"343" "Scaffold_2313" "17000001" "1.8e+07" "17.9419"
"344" "Scaffold_2313" "18000001" "1.9e+07" "18.1539"
"345" "Scaffold_2313" "19000001" "2e+07" "15.0879"
"346" "Scaffold_2313" "20000001" "2.1e+07" "13.0426"
"347" "Scaffold_2313" "21000001" "2.2e+07" "10.3615"
"348" "Scaffold_2313" "22000001" "2.3e+07" "9.2082"
"349" "Scaffold_2313" "23000001" "2.4e+07" "2.9429"
"350" "Scaffold_2313" "24000001" "2.5e+07" "5.7233"
"351" "Scaffold_2313" "25000001" "2.6e+07" "1.2251"
"352" "Scaffold_2225" "1" "1e+06" "1.8772"
"353" "Scaffold_2225" "1000001" "2e+06" "1.6234"
"354" "Scaffold_2225" "2000001" "3e+06" "3.0711"
"355" "Scaffold_2225" "3000001" "4e+06" "3.1455"
"356" "Scaffold_2225" "4000001" "5e+06" "3.5201"
"357" "Scaffold_2225" "5000001" "6e+06" "5.8288"
"358" "Scaffold_2225" "6000001" "7e+06" "8.9028"
"359" "Scaffold_2225" "7000001" "8e+06" "12.97"
"360" "Scaffold_2225" "8000001" "9e+06" "9.2154"
"361" "Scaffold_2225" "9000001" "1e+07" "11.1661"
"362" "Scaffold_2225" "10000001" "1.1e+07" "23.8506"
"363" "Scaffold_2225" "11000001" "1.2e+07" "15.7643"
"364" "Scaffold_2225" "12000001" "1.3e+07" "14.6373"
"365" "Scaffold_2225" "13000001" "1.4e+07" "20.3556"
"366" "Scaffold_2225" "14000001" "1.5e+07" "16.3188"
"367" "Scaffold_2225" "15000001" "1.6e+07" "13.4762"
"368" "Scaffold_2225" "16000001" "1.7e+07" "12.2741"
"369" "Scaffold_2225" "17000001" "1.8e+07" "15.2738"
"370" "Scaffold_2225" "18000001" "1.9e+07" "15.7977"
"371" "Scaffold_2225" "19000001" "2e+07" "10.0639"
"372" "Scaffold_2225" "20000001" "2.1e+07" "15.0773"
"373" "Scaffold_2225" "21000001" "2.2e+07" "4.4188"
"374" "Scaffold_2225" "22000001" "2.3e+07" "12.426"
"375" "Scaffold_2225" "23000001" "2.4e+07" "8.1904"
"376" "Scaffold_2225" "24000001" "2.5e+07" "1.3194"
"377" "Scaffold_1383" "1" "1e+06" "2.1115"
"378" "Scaffold_1383" "1000001" "2e+06" "2.7599"
"379" "Scaffold_1383" "2000001" "3e+06" "4.2046"
"380" "Scaffold_1383" "3000001" "4e+06" "3.2799"
"381" "Scaffold_1383" "4000001" "5e+06" "7.0018"
"382" "Scaffold_1383" "5000001" "6e+06" "6.8163"
"383" "Scaffold_1383" "6000001" "7e+06" "19.4218"
"384" "Scaffold_1383" "7000001" "8e+06" "11.4045"
"385" "Scaffold_1383" "8000001" "9e+06" "10.8998"
"386" "Scaffold_1383" "9000001" "1e+07" "7.6025"
"387" "Scaffold_1383" "10000001" "1.1e+07" "16.1067"
"388" "Scaffold_1383" "11000001" "1.2e+07" "12.6811"
"389" "Scaffold_1383" "12000001" "1.3e+07" "8.5123"
"390" "Scaffold_1383" "13000001" "1.4e+07" "11.7097"
"391" "Scaffold_1383" "14000001" "1.5e+07" "13.4881"
"392" "Scaffold_1383" "15000001" "1.6e+07" "14.0976"
"393" "Scaffold_1383" "16000001" "1.7e+07" "20.6041"
"394" "Scaffold_1383" "17000001" "1.8e+07" "14.9855"
"395" "Scaffold_1383" "18000001" "1.9e+07" "11.1916"
"396" "Scaffold_1383" "19000001" "2e+07" "13.1992"
"397" "Scaffold_1383" "20000001" "2.1e+07" "11.4586"
"398" "Scaffold_1383" "21000001" "2.2e+07" "7.2447"
"399" "Scaffold_1383" "22000001" "2.3e+07" "7.5289"
"400" "Scaffold_1383" "23000001" "2.4e+07" "11.8692"
"401" "Scaffold_1383" "24000001" "2.5e+07" "4.2276"
"402" "Scaffold_819" "1" "1e+06" "4.2362"
"403" "Scaffold_819" "1000001" "2e+06" "3.3581"
"404" "Scaffold_819" "2000001" "3e+06" "11.7728"
"405" "Scaffold_819" "3000001" "4e+06" "7.1699"
"406" "Scaffold_819" "4000001" "5e+06" "9.1942"
"407" "Scaffold_819" "5000001" "6e+06" "14.3921"
"408" "Scaffold_819" "6000001" "7e+06" "12.6817"
"409" "Scaffold_819" "7000001" "8e+06" "11.8426"
"410" "Scaffold_819" "8000001" "9e+06" "11.2303"
"411" "Scaffold_819" "9000001" "1e+07" "7.9139"
"412" "Scaffold_819" "10000001" "1.1e+07" "8.9778"
"413" "Scaffold_819" "11000001" "1.2e+07" "14.0948"
"414" "Scaffold_819" "12000001" "1.3e+07" "13.1042"
"415" "Scaffold_819" "13000001" "1.4e+07" "15.2822"
"416" "Scaffold_819" "14000001" "1.5e+07" "18.9393"
"417" "Scaffold_819" "15000001" "1.6e+07" "18.2843"
"418" "Scaffold_819" "16000001" "1.7e+07" "9.1064"
"419" "Scaffold_819" "17000001" "1.8e+07" "10.0772"
"420" "Scaffold_819" "18000001" "1.9e+07" "4.2356"
"421" "Scaffold_819" "19000001" "2e+07" "2.6734"
"422" "Scaffold_819" "20000001" "2.1e+07" "2.5216"
"423" "Scaffold_819" "21000001" "2.2e+07" "3.062"
"424" "Scaffold_819" "22000001" "2.3e+07" "5.2334"
"425" "Scaffold_819" "23000001" "2.4e+07" "2.1276"
"426" "Scaffold_15" "1" "1e+06" "3.5031"
"427" "Scaffold_15" "1000001" "2e+06" "2.537"
"428" "Scaffold_15" "2000001" "3e+06" "4.9559"
"429" "Scaffold_15" "3000001" "4e+06" "14.8954"
"430" "Scaffold_15" "4000001" "5e+06" "7.9219"
"431" "Scaffold_15" "5000001" "6e+06" "12.2398"
"432" "Scaffold_15" "6000001" "7e+06" "17.5878"
"433" "Scaffold_15" "7000001" "8e+06" "16.0655"
"434" "Scaffold_15" "8000001" "9e+06" "14.3739"
"435" "Scaffold_15" "9000001" "1e+07" "11.101"
"436" "Scaffold_15" "10000001" "1.1e+07" "12.8866"
"437" "Scaffold_15" "11000001" "1.2e+07" "10.0412"
"438" "Scaffold_15" "12000001" "1.3e+07" "13.5484"
