"chrom" "V2" "V3" "percentage_genic"
"51" "Scaffold_658" "17000001" "1.8e+07" "1.3597"
"52" "Scaffold_658" "18000001" "1.9e+07" "3.254"
"53" "Scaffold_658" "19000001" "2e+07" "4.6528"
"54" "Scaffold_658" "20000001" "2.1e+07" "2.2313"
"55" "Scaffold_658" "21000001" "2.2e+07" "0.5555"
"56" "Scaffold_658" "22000001" "2.3e+07" "3.97"
"57" "Scaffold_658" "23000001" "2.4e+07" "6.512"
"58" "Scaffold_658" "24000001" "2.5e+07" "1.3207"
"59" "Scaffold_658" "25000001" "2.6e+07" "5.7511"
"60" "Scaffold_658" "26000001" "2.7e+07" "4.807"
"61" "Scaffold_658" "27000001" "2.8e+07" "9.5631"
"62" "Scaffold_658" "28000001" "2.9e+07" "26.4876"
"63" "Scaffold_658" "29000001" "3e+07" "12.683"
"64" "Scaffold_658" "30000001" "3.1e+07" "11.3057"
"65" "Scaffold_658" "31000001" "3.2e+07" "18.1629"
"66" "Scaffold_2318" "1" "1e+06" "26.8283"
"67" "Scaffold_2318" "1000001" "2e+06" "29.7216"
"68" "Scaffold_2318" "2000001" "3e+06" "12.3499"
"69" "Scaffold_2318" "3000001" "4e+06" "5.0623"
"70" "Scaffold_2318" "4000001" "5e+06" "6.2701"
"71" "Scaffold_2318" "5000001" "6e+06" "2.5412"
"72" "Scaffold_2318" "6000001" "7e+06" "3.6453"
"73" "Scaffold_2318" "7000001" "8e+06" "3.0279"
"74" "Scaffold_2318" "8000001" "9e+06" "4.0812"
"75" "Scaffold_2318" "9000001" "1e+07" "1.0187"
"76" "Scaffold_2318" "10000001" "1.1e+07" "13.4342"
"77" "Scaffold_2318" "11000001" "1.2e+07" "4.4799"
"78" "Scaffold_2318" "12000001" "1.3e+07" "0.4072"
"79" "Scaffold_2318" "13000001" "1.4e+07" "0.6091"
"80" "Scaffold_2318" "14000001" "1.5e+07" "1.1095"
"81" "Scaffold_2318" "15000001" "1.6e+07" "0"
"82" "Scaffold_2318" "16000001" "1.7e+07" "6.7582"
"83" "Scaffold_2318" "17000001" "1.8e+07" "0.6571"
"84" "Scaffold_2318" "18000001" "1.9e+07" "0.7182"
"85" "Scaffold_2318" "19000001" "2e+07" "3.1098"
"86" "Scaffold_2318" "20000001" "2.1e+07" "9.7161"
"87" "Scaffold_2318" "21000001" "2.2e+07" "2.9743"
"88" "Scaffold_2318" "22000001" "2.3e+07" "1.1779"
"89" "Scaffold_2318" "23000001" "2.4e+07" "2.5969"
"90" "Scaffold_2318" "24000001" "2.5e+07" "7.8232"
"91" "Scaffold_2318" "25000001" "2.6e+07" "4.3063"
"92" "Scaffold_2318" "26000001" "2.7e+07" "34.3394"
"93" "Scaffold_2318" "27000001" "2.8e+07" "30.0028"
"94" "Scaffold_2318" "28000001" "2.9e+07" "27.8282"
"95" "Scaffold_2318" "29000001" "3e+07" "30.5954"
"96" "Scaffold_2318" "30000001" "3.1e+07" "34.5473"
"97" "Scaffold_2318" "31000001" "3.2e+07" "0.8568"
"98" "Scaffold_2041" "1" "1e+06" "29.3052"
"99" "Scaffold_2041" "1000001" "2e+06" "19.1112"
"100" "Scaffold_2041" "2000001" "3e+06" "15.6136"
"101" "Scaffold_2041" "3000001" "4e+06" "9.7256"
"102" "Scaffold_2041" "4000001" "5e+06" "2.6264"
"103" "Scaffold_2041" "5000001" "6e+06" "4.4227"
"104" "Scaffold_2041" "6000001" "7e+06" "2.6779"
"105" "Scaffold_2041" "7000001" "8e+06" "1.5517"
"106" "Scaffold_2041" "8000001" "9e+06" "3.7899"
"107" "Scaffold_2041" "9000001" "1e+07" "0.4191"
"108" "Scaffold_2041" "10000001" "1.1e+07" "11.3038"
"109" "Scaffold_2041" "11000001" "1.2e+07" "1.6607"
"110" "Scaffold_2041" "12000001" "1.3e+07" "2.2066"
"111" "Scaffold_2041" "13000001" "1.4e+07" "2.806"
"112" "Scaffold_2041" "14000001" "1.5e+07" "2.7284"
"113" "Scaffold_2041" "15000001" "1.6e+07" "6.8199"
"114" "Scaffold_2041" "16000001" "1.7e+07" "4.5317"
"115" "Scaffold_2041" "17000001" "1.8e+07" "1.827"
"116" "Scaffold_2041" "18000001" "1.9e+07" "3.6786"
"117" "Scaffold_2041" "19000001" "2e+07" "0.891"
"118" "Scaffold_2041" "20000001" "2.1e+07" "7.7757"
"119" "Scaffold_2041" "21000001" "2.2e+07" "5.4508"
"120" "Scaffold_2041" "22000001" "2.3e+07" "12.5477"
"121" "Scaffold_2041" "23000001" "2.4e+07" "12.7844"
"122" "Scaffold_2041" "24000001" "2.5e+07" "16.7232"
"123" "Scaffold_2041" "25000001" "2.6e+07" "11.6873"
"124" "Scaffold_2041" "26000001" "2.7e+07" "24.9714"
"125" "Scaffold_2041" "27000001" "2.8e+07" "30.0309"
"126" "Scaffold_2041" "28000001" "2.9e+07" "28.3596"
"127" "Scaffold_2041" "29000001" "3e+07" "20.5569"
"128" "Scaffold_2041" "30000001" "3.1e+07" "24.9162"
"129" "Scaffold_2096" "1" "1e+06" "42.0245"
"130" "Scaffold_2096" "1000001" "2e+06" "31.1511"
"131" "Scaffold_2096" "2000001" "3e+06" "38.5504"
"132" "Scaffold_2096" "3000001" "4e+06" "15.483"
"133" "Scaffold_2096" "4000001" "5e+06" "8.0705"
"134" "Scaffold_2096" "5000001" "6e+06" "3.8735"
"135" "Scaffold_2096" "6000001" "7e+06" "2.677"
"136" "Scaffold_2096" "7000001" "8e+06" "3.2331"
"137" "Scaffold_2096" "8000001" "9e+06" "2.0135"
"138" "Scaffold_2096" "9000001" "1e+07" "3.0144"
"139" "Scaffold_2096" "10000001" "1.1e+07" "1.1587"
"140" "Scaffold_2096" "11000001" "1.2e+07" "0.2483"
"141" "Scaffold_2096" "12000001" "1.3e+07" "0.1907"
"142" "Scaffold_2096" "13000001" "1.4e+07" "2.184"
"143" "Scaffold_2096" "14000001" "1.5e+07" "3.7796"
"144" "Scaffold_2096" "15000001" "1.6e+07" "3.4506"
"145" "Scaffold_2096" "16000001" "1.7e+07" "2.1062"
"146" "Scaffold_2096" "17000001" "1.8e+07" "3.762"
"147" "Scaffold_2096" "18000001" "1.9e+07" "8.3854"
"148" "Scaffold_2096" "19000001" "2e+07" "6.2433"
"149" "Scaffold_2096" "20000001" "2.1e+07" "3.2954"
"150" "Scaffold_2096" "21000001" "2.2e+07" "9.4484"
"151" "Scaffold_2096" "22000001" "2.3e+07" "0.5971"
"152" "Scaffold_2096" "23000001" "2.4e+07" "6.4699"
"153" "Scaffold_2096" "24000001" "2.5e+07" "5.7254"
"154" "Scaffold_2096" "25000001" "2.6e+07" "6.4267"
"155" "Scaffold_2096" "26000001" "2.7e+07" "14.2788"
"156" "Scaffold_2096" "27000001" "2.8e+07" "19.4536"
"157" "Scaffold_2096" "28000001" "2.9e+07" "41.4556"
"158" "Scaffold_2096" "29000001" "3e+07" "38.235"
"159" "Scaffold_2096" "30000001" "3.1e+07" "5.9736"
"160" "Scaffold_2315" "1" "1e+06" "25.1435"
"161" "Scaffold_2315" "1000001" "2e+06" "34.4298"
"162" "Scaffold_2315" "2000001" "3e+06" "18.8188"
"163" "Scaffold_2315" "3000001" "4e+06" "7.7404"
"164" "Scaffold_2315" "4000001" "5e+06" "2.1525"
"165" "Scaffold_2315" "5000001" "6e+06" "2.3377"
"166" "Scaffold_2315" "6000001" "7e+06" "4.6551"
"167" "Scaffold_2315" "7000001" "8e+06" "1.9042"
"168" "Scaffold_2315" "8000001" "9e+06" "7.0037"
"169" "Scaffold_2315" "9000001" "1e+07" "2.8025"
"170" "Scaffold_2315" "10000001" "1.1e+07" "2.834"
"171" "Scaffold_2315" "11000001" "1.2e+07" "1.8067"
"172" "Scaffold_2315" "12000001" "1.3e+07" "1.9686"
"173" "Scaffold_2315" "13000001" "1.4e+07" "0.4649"
"174" "Scaffold_2315" "14000001" "1.5e+07" "1.3449"
"175" "Scaffold_2315" "15000001" "1.6e+07" "3.1601"
"176" "Scaffold_2315" "16000001" "1.7e+07" "2.7972"
"177" "Scaffold_2315" "17000001" "1.8e+07" "0.3089"
"178" "Scaffold_2315" "18000001" "1.9e+07" "3.304"
"179" "Scaffold_2315" "19000001" "2e+07" "4.2938"
"180" "Scaffold_2315" "20000001" "2.1e+07" "2.6524"
"181" "Scaffold_2315" "21000001" "2.2e+07" "2.2524"
"182" "Scaffold_2315" "22000001" "2.3e+07" "3.2254"
"183" "Scaffold_2315" "23000001" "2.4e+07" "9.9378"
"184" "Scaffold_2315" "24000001" "2.5e+07" "10.1957"
"185" "Scaffold_2315" "25000001" "2.6e+07" "23.6523"
"186" "Scaffold_2315" "26000001" "2.7e+07" "34.3456"
"187" "Scaffold_2315" "27000001" "2.8e+07" "33.733"
"188" "Scaffold_2315" "28000001" "2.9e+07" "32.7673"
"189" "Scaffold_2315" "29000001" "3e+07" "16.6368"
"190" "Scaffold_2317" "1" "1e+06" "35.7325"
"191" "Scaffold_2317" "1000001" "2e+06" "32.1777"
"192" "Scaffold_2317" "2000001" "3e+06" "22.5084"
"193" "Scaffold_2317" "3000001" "4e+06" "14.0113"
"194" "Scaffold_2317" "4000001" "5e+06" "15.2169"
"195" "Scaffold_2317" "5000001" "6e+06" "8.5484"
"196" "Scaffold_2317" "6000001" "7e+06" "2.9607"
"197" "Scaffold_2317" "7000001" "8e+06" "3.6478"
"198" "Scaffold_2317" "8000001" "9e+06" "3.5187"
"199" "Scaffold_2317" "9000001" "1e+07" "11.6487"
"200" "Scaffold_2317" "10000001" "1.1e+07" "2.3219"
"201" "Scaffold_2317" "11000001" "1.2e+07" "7.6631"
"202" "Scaffold_2317" "12000001" "1.3e+07" "4.433"
"203" "Scaffold_2317" "13000001" "1.4e+07" "2.7629"
"204" "Scaffold_2317" "14000001" "1.5e+07" "0"
"205" "Scaffold_2317" "15000001" "1.6e+07" "0"
"206" "Scaffold_2317" "16000001" "1.7e+07" "3.7547"
"207" "Scaffold_2317" "17000001" "1.8e+07" "2.1944"
"208" "Scaffold_2317" "18000001" "1.9e+07" "6.6469"
"209" "Scaffold_2317" "19000001" "2e+07" "1.4029"
"210" "Scaffold_2317" "20000001" "2.1e+07" "6.0203"
"211" "Scaffold_2317" "21000001" "2.2e+07" "0"
"212" "Scaffold_2317" "22000001" "2.3e+07" "0.0551"
"213" "Scaffold_2317" "23000001" "2.4e+07" "1.4049"
"214" "Scaffold_2317" "24000001" "2.5e+07" "5.219"
"215" "Scaffold_2317" "25000001" "2.6e+07" "1.691"
"216" "Scaffold_2317" "26000001" "2.7e+07" "6.1109"
"217" "Scaffold_2317" "27000001" "2.8e+07" "0"
"218" "Scaffold_2287" "1" "1e+06" "42.2023"
"219" "Scaffold_2287" "1000001" "2e+06" "31.3911"
"220" "Scaffold_2287" "2000001" "3e+06" "19.8384"
"221" "Scaffold_2287" "3000001" "4e+06" "16.9707"
"222" "Scaffold_2287" "4000001" "5e+06" "10.3997"
"223" "Scaffold_2287" "5000001" "6e+06" "6.5133"
"224" "Scaffold_2287" "6000001" "7e+06" "8.5174"
"225" "Scaffold_2287" "7000001" "8e+06" "4.2829"
"226" "Scaffold_2287" "8000001" "9e+06" "0.9406"
"227" "Scaffold_2287" "9000001" "1e+07" "0.2465"
"228" "Scaffold_2287" "10000001" "1.1e+07" "3.1169"
"229" "Scaffold_2287" "11000001" "1.2e+07" "7.07"
"230" "Scaffold_2287" "12000001" "1.3e+07" "4.3064"
"231" "Scaffold_2287" "13000001" "1.4e+07" "1.8087"
"232" "Scaffold_2287" "14000001" "1.5e+07" "1.243"
"233" "Scaffold_2287" "15000001" "1.6e+07" "1.5406"
"234" "Scaffold_2287" "16000001" "1.7e+07" "3.9929"
"235" "Scaffold_2287" "17000001" "1.8e+07" "0.3962"
"236" "Scaffold_2287" "18000001" "1.9e+07" "3.6603"
"237" "Scaffold_2287" "19000001" "2e+07" "0.6556"
"238" "Scaffold_2287" "20000001" "2.1e+07" "1.1863"
"239" "Scaffold_2287" "21000001" "2.2e+07" "5.9149"
"240" "Scaffold_2287" "22000001" "2.3e+07" "13.4258"
"241" "Scaffold_2287" "23000001" "2.4e+07" "10.1193"
"242" "Scaffold_2287" "24000001" "2.5e+07" "16.6991"
"243" "Scaffold_2287" "25000001" "2.6e+07" "31.508"
"244" "Scaffold_2287" "26000001" "2.7e+07" "34.2924"
"245" "Scaffold_2287" "27000001" "2.8e+07" "3.943"
"246" "Scaffold_326" "1" "1e+06" "26.3169"
"247" "Scaffold_326" "1000001" "2e+06" "26.9581"
"248" "Scaffold_326" "2000001" "3e+06" "19.2602"
"249" "Scaffold_326" "3000001" "4e+06" "9.8399"
"250" "Scaffold_326" "4000001" "5e+06" "13.5976"
"251" "Scaffold_326" "5000001" "6e+06" "6.9334"
"252" "Scaffold_326" "6000001" "7e+06" "1.7518"
"253" "Scaffold_326" "7000001" "8e+06" "2.9402"
"254" "Scaffold_326" "8000001" "9e+06" "1.1539"
"255" "Scaffold_326" "9000001" "1e+07" "1.1795"
"256" "Scaffold_326" "10000001" "1.1e+07" "2.5973"
"257" "Scaffold_326" "11000001" "1.2e+07" "0.5523"
"258" "Scaffold_326" "12000001" "1.3e+07" "1.8988"
"259" "Scaffold_326" "13000001" "1.4e+07" "1.7022"
"260" "Scaffold_326" "14000001" "1.5e+07" "4.6061"
"261" "Scaffold_326" "15000001" "1.6e+07" "1.6102"
"262" "Scaffold_326" "16000001" "1.7e+07" "0.2296"
"263" "Scaffold_326" "17000001" "1.8e+07" "11.3279"
"264" "Scaffold_326" "18000001" "1.9e+07" "3.8492"
"265" "Scaffold_326" "19000001" "2e+07" "1.2149"
"266" "Scaffold_326" "20000001" "2.1e+07" "4.4844"
"267" "Scaffold_326" "21000001" "2.2e+07" "4.1232"
"268" "Scaffold_326" "22000001" "2.3e+07" "8.5366"
"269" "Scaffold_326" "23000001" "2.4e+07" "10.4795"
"270" "Scaffold_326" "24000001" "2.5e+07" "7.0959"
"271" "Scaffold_326" "25000001" "2.6e+07" "25.5467"
"272" "Scaffold_326" "26000001" "2.7e+07" "10.174"
"273" "Scaffold_1174" "1" "1e+06" "22.225"
"274" "Scaffold_1174" "1000001" "2e+06" "20.3882"
"275" "Scaffold_1174" "2000001" "3e+06" "6.1291"
"276" "Scaffold_1174" "3000001" "4e+06" "7.6769"
"277" "Scaffold_1174" "4000001" "5e+06" "2.2631"
"278" "Scaffold_1174" "5000001" "6e+06" "9.9179"
"279" "Scaffold_1174" "6000001" "7e+06" "6.2794"
"280" "Scaffold_1174" "7000001" "8e+06" "5.1343"
"281" "Scaffold_1174" "8000001" "9e+06" "8.2213"
"282" "Scaffold_1174" "9000001" "1e+07" "4.4376"
"283" "Scaffold_1174" "10000001" "1.1e+07" "7.7438"
"284" "Scaffold_1174" "11000001" "1.2e+07" "0.0813"
"285" "Scaffold_1174" "12000001" "1.3e+07" "3.2408"
"286" "Scaffold_1174" "13000001" "1.4e+07" "1.9636"
"287" "Scaffold_1174" "14000001" "1.5e+07" "4.3038"
"288" "Scaffold_1174" "15000001" "1.6e+07" "3.4342"
"289" "Scaffold_1174" "16000001" "1.7e+07" "3.9546"
"290" "Scaffold_1174" "17000001" "1.8e+07" "0.632"
"291" "Scaffold_1174" "18000001" "1.9e+07" "10.0149"
"292" "Scaffold_1174" "19000001" "2e+07" "12.5855"
"293" "Scaffold_1174" "20000001" "2.1e+07" "21.1123"
"294" "Scaffold_1174" "21000001" "2.2e+07" "25.6127"
"295" "Scaffold_1174" "22000001" "2.3e+07" "23.7936"
"296" "Scaffold_1174" "23000001" "2.4e+07" "46.1343"
"297" "Scaffold_1174" "24000001" "2.5e+07" "26.473"
"298" "Scaffold_1174" "25000001" "2.6e+07" "42.4484"
"299" "Scaffold_1174" "26000001" "2.7e+07" "0"
"300" "Scaffold_2314" "1" "1e+06" "23.9037"
"301" "Scaffold_2314" "1000001" "2e+06" "28.0534"
"302" "Scaffold_2314" "2000001" "3e+06" "28.6996"
"303" "Scaffold_2314" "3000001" "4e+06" "39.0317"
"304" "Scaffold_2314" "4000001" "5e+06" "31.2976"
"305" "Scaffold_2314" "5000001" "6e+06" "26.6381"
"306" "Scaffold_2314" "6000001" "7e+06" "12.7358"
"307" "Scaffold_2314" "7000001" "8e+06" "10.7493"
"308" "Scaffold_2314" "8000001" "9e+06" "5.9871"
"309" "Scaffold_2314" "9000001" "1e+07" "12.5535"
"310" "Scaffold_2314" "10000001" "1.1e+07" "1.9401"
"311" "Scaffold_2314" "11000001" "1.2e+07" "5.912"
"312" "Scaffold_2314" "12000001" "1.3e+07" "4.1482"
"313" "Scaffold_2314" "13000001" "1.4e+07" "2.1487"
"314" "Scaffold_2314" "14000001" "1.5e+07" "2.0038"
"315" "Scaffold_2314" "15000001" "1.6e+07" "4.7318"
"316" "Scaffold_2314" "16000001" "1.7e+07" "5.0326"
"317" "Scaffold_2314" "17000001" "1.8e+07" "4.2069"
"318" "Scaffold_2314" "18000001" "1.9e+07" "7.9697"
"319" "Scaffold_2314" "19000001" "2e+07" "4.2333"
"320" "Scaffold_2314" "20000001" "2.1e+07" "5.885"
"321" "Scaffold_2314" "21000001" "2.2e+07" "0.9683"
"322" "Scaffold_2314" "22000001" "2.3e+07" "7.6105"
"323" "Scaffold_2314" "23000001" "2.4e+07" "21.3921"
"324" "Scaffold_2314" "24000001" "2.5e+07" "27.7407"
"325" "Scaffold_2314" "25000001" "2.6e+07" "7.1853"
"326" "Scaffold_2313" "1" "1e+06" "25.9538"
"327" "Scaffold_2313" "1000001" "2e+06" "28.0118"
"328" "Scaffold_2313" "2000001" "3e+06" "19.1597"
"329" "Scaffold_2313" "3000001" "4e+06" "16.9744"
"330" "Scaffold_2313" "4000001" "5e+06" "22.0407"
"331" "Scaffold_2313" "5000001" "6e+06" "7.7242"
"332" "Scaffold_2313" "6000001" "7e+06" "4.759"
"333" "Scaffold_2313" "7000001" "8e+06" "1.8707"
"334" "Scaffold_2313" "8000001" "9e+06" "2.5287"
"335" "Scaffold_2313" "9000001" "1e+07" "3.0459"
"336" "Scaffold_2313" "10000001" "1.1e+07" "3.3154"
"337" "Scaffold_2313" "11000001" "1.2e+07" "9.1997"
"338" "Scaffold_2313" "12000001" "1.3e+07" "3.1181"
"339" "Scaffold_2313" "13000001" "1.4e+07" "0.2767"
"340" "Scaffold_2313" "14000001" "1.5e+07" "4.8788"
"341" "Scaffold_2313" "15000001" "1.6e+07" "12.6872"
"342" "Scaffold_2313" "16000001" "1.7e+07" "7.817"
"343" "Scaffold_2313" "17000001" "1.8e+07" "1.9966"
"344" "Scaffold_2313" "18000001" "1.9e+07" "4.1816"
"345" "Scaffold_2313" "19000001" "2e+07" "2.4078"
"346" "Scaffold_2313" "20000001" "2.1e+07" "0.5277"
"347" "Scaffold_2313" "21000001" "2.2e+07" "8.7168"
"348" "Scaffold_2313" "22000001" "2.3e+07" "4.0422"
"349" "Scaffold_2313" "23000001" "2.4e+07" "16.739"
"350" "Scaffold_2313" "24000001" "2.5e+07" "13.4471"
"351" "Scaffold_2313" "25000001" "2.6e+07" "10.4336"
"352" "Scaffold_2225" "1" "1e+06" "22.7817"
"353" "Scaffold_2225" "1000001" "2e+06" "28.5555"
"354" "Scaffold_2225" "2000001" "3e+06" "45.4133"
"355" "Scaffold_2225" "3000001" "4e+06" "35.6745"
"356" "Scaffold_2225" "4000001" "5e+06" "22.8844"
"357" "Scaffold_2225" "5000001" "6e+06" "17.0366"
"358" "Scaffold_2225" "6000001" "7e+06" "5.4053"
"359" "Scaffold_2225" "7000001" "8e+06" "9.7826"
"360" "Scaffold_2225" "8000001" "9e+06" "6.306"
"361" "Scaffold_2225" "9000001" "1e+07" "4.4398"
"362" "Scaffold_2225" "10000001" "1.1e+07" "2.6778"
"363" "Scaffold_2225" "11000001" "1.2e+07" "5.4719"
"364" "Scaffold_2225" "12000001" "1.3e+07" "2.9614"
"365" "Scaffold_2225" "13000001" "1.4e+07" "3.9753"
"366" "Scaffold_2225" "14000001" "1.5e+07" "1.7246"
"367" "Scaffold_2225" "15000001" "1.6e+07" "3.5608"
"368" "Scaffold_2225" "16000001" "1.7e+07" "6.8293"
"369" "Scaffold_2225" "17000001" "1.8e+07" "5.1694"
"370" "Scaffold_2225" "18000001" "1.9e+07" "1.8187"
"371" "Scaffold_2225" "19000001" "2e+07" "2.5514"
"372" "Scaffold_2225" "20000001" "2.1e+07" "2.2581"
"373" "Scaffold_2225" "21000001" "2.2e+07" "3.6055"
"374" "Scaffold_2225" "22000001" "2.3e+07" "2.5358"
"375" "Scaffold_2225" "23000001" "2.4e+07" "17.473"
"376" "Scaffold_2225" "24000001" "2.5e+07" "22.2192"
"377" "Scaffold_1383" "1" "1e+06" "45.5988"
"378" "Scaffold_1383" "1000001" "2e+06" "26.4483"
"379" "Scaffold_1383" "2000001" "3e+06" "30.2487"
"380" "Scaffold_1383" "3000001" "4e+06" "17.0226"
"381" "Scaffold_1383" "4000001" "5e+06" "11.9207"
"382" "Scaffold_1383" "5000001" "6e+06" "4.1933"
"383" "Scaffold_1383" "6000001" "7e+06" "0.9242"
"384" "Scaffold_1383" "7000001" "8e+06" "3.0408"
"385" "Scaffold_1383" "8000001" "9e+06" "2.1587"
"386" "Scaffold_1383" "9000001" "1e+07" "0"
"387" "Scaffold_1383" "10000001" "1.1e+07" "0"
"388" "Scaffold_1383" "11000001" "1.2e+07" "0.0958"
"389" "Scaffold_1383" "12000001" "1.3e+07" "2.7314"
"390" "Scaffold_1383" "13000001" "1.4e+07" "3.2073"
"391" "Scaffold_1383" "14000001" "1.5e+07" "0.5082"
"392" "Scaffold_1383" "15000001" "1.6e+07" "7.4432"
"393" "Scaffold_1383" "16000001" "1.7e+07" "1.6974"
"394" "Scaffold_1383" "17000001" "1.8e+07" "1.3472"
"395" "Scaffold_1383" "18000001" "1.9e+07" "2.8924"
"396" "Scaffold_1383" "19000001" "2e+07" "1.0386"
"397" "Scaffold_1383" "20000001" "2.1e+07" "5.9183"
"398" "Scaffold_1383" "21000001" "2.2e+07" "4.3162"
"399" "Scaffold_1383" "22000001" "2.3e+07" "4.6185"
"400" "Scaffold_1383" "23000001" "2.4e+07" "13.8934"
"401" "Scaffold_1383" "24000001" "2.5e+07" "2.3391"
"402" "Scaffold_819" "1" "1e+06" "22.8342"
"403" "Scaffold_819" "1000001" "2e+06" "16.9449"
"404" "Scaffold_819" "2000001" "3e+06" "10.6141"
"405" "Scaffold_819" "3000001" "4e+06" "2.5483"
"406" "Scaffold_819" "4000001" "5e+06" "7.8271"
"407" "Scaffold_819" "5000001" "6e+06" "3.9852"
"408" "Scaffold_819" "6000001" "7e+06" "4.5003"
"409" "Scaffold_819" "7000001" "8e+06" "11.2778"
"410" "Scaffold_819" "8000001" "9e+06" "6.5449"
"411" "Scaffold_819" "9000001" "1e+07" "3.2266"
"412" "Scaffold_819" "10000001" "1.1e+07" "3.2499"
"413" "Scaffold_819" "11000001" "1.2e+07" "2.6105"
"414" "Scaffold_819" "12000001" "1.3e+07" "3.7837"
"415" "Scaffold_819" "13000001" "1.4e+07" "1.9377"
"416" "Scaffold_819" "14000001" "1.5e+07" "1.5078"
"417" "Scaffold_819" "15000001" "1.6e+07" "4.7242"
"418" "Scaffold_819" "16000001" "1.7e+07" "6.6352"
"419" "Scaffold_819" "17000001" "1.8e+07" "11.9979"
"420" "Scaffold_819" "18000001" "1.9e+07" "8.3447"
"421" "Scaffold_819" "19000001" "2e+07" "32.3195"
"422" "Scaffold_819" "20000001" "2.1e+07" "34.2508"
"423" "Scaffold_819" "21000001" "2.2e+07" "24.7185"
"424" "Scaffold_819" "22000001" "2.3e+07" "29.4864"
"425" "Scaffold_819" "23000001" "2.4e+07" "24.2113"
"426" "Scaffold_15" "1" "1e+06" "17.0573"
"427" "Scaffold_15" "1000001" "2e+06" "9.6551"
"428" "Scaffold_15" "2000001" "3e+06" "15.5916"
"429" "Scaffold_15" "3000001" "4e+06" "7.5168"
"430" "Scaffold_15" "4000001" "5e+06" "5.1291"
"431" "Scaffold_15" "5000001" "6e+06" "2.1826"
"432" "Scaffold_15" "6000001" "7e+06" "1.0235"
"433" "Scaffold_15" "7000001" "8e+06" "1.3736"
"434" "Scaffold_15" "8000001" "9e+06" "1.3881"
"435" "Scaffold_15" "9000001" "1e+07" "6.8586"
"436" "Scaffold_15" "10000001" "1.1e+07" "3.0689"
"437" "Scaffold_15" "11000001" "1.2e+07" "4.1286"
"438" "Scaffold_15" "12000001" "1.3e+07" "5.2065"
"439" "Scaffold_15" "13000001" "1.4e+07" "5.3634"
