"chrom" "V2" "V3" "percentage_masked"
"153" "Scaffold_247" "33000001" "3.4e+07" 14.4626
"154" "Scaffold_247" "34000001" "3.5e+07" 8.5929
"155" "Scaffold_247" "35000001" "3.6e+07" 10.0074
"156" "Scaffold_247" "36000001" "3.7e+07" 9.7552
"157" "Scaffold_247" "37000001" "3.8e+07" 10.8444
"158" "Scaffold_247" "38000001" "3.9e+07" 5.1297
"159" "Scaffold_247" "39000001" "4e+07" 9.3446
"160" "Scaffold_247" "40000001" "4.1e+07" 12.3452
"161" "Scaffold_247" "41000001" "4.2e+07" 9.2671
"162" "Scaffold_247" "42000001" "4.3e+07" 8.5037
"163" "Scaffold_247" "43000001" "4.4e+07" 11.4902
"164" "Scaffold_247" "44000001" "4.5e+07" 11.7721
"165" "Scaffold_247" "45000001" "4.6e+07" 9.86
"166" "Scaffold_247" "46000001" "4.7e+07" 15.4657
"167" "Scaffold_247" "47000001" "4.8e+07" 8.9793
"168" "Scaffold_247" "48000001" "4.9e+07" 11.3616
"169" "Scaffold_247" "49000001" "5e+07" 11.4842
"170" "Scaffold_247" "50000001" "5.1e+07" 5.0363
"171" "Scaffold_247" "51000001" "5.2e+07" 4.9896
"172" "Scaffold_247" "52000001" "5.3e+07" 2.4133
"173" "Scaffold_247" "53000001" "5.4e+07" 0.8108
"174" "Scaffold_247" "54000001" "5.5e+07" 4.7021
"175" "Scaffold_247" "55000001" "5.6e+07" 2.1179
"176" "Scaffold_4655" "1" "1e+06" 5.5065
"177" "Scaffold_4655" "1000001" "2e+06" 3.1103
"178" "Scaffold_4655" "2000001" "3e+06" 1.6537
"179" "Scaffold_4655" "3000001" "4e+06" 2.1269
"180" "Scaffold_4655" "4000001" "5e+06" 6.6804
"181" "Scaffold_4655" "5000001" "6e+06" 7.6871
"182" "Scaffold_4655" "6000001" "7e+06" 6.8951
"183" "Scaffold_4655" "7000001" "8e+06" 9.3226
"184" "Scaffold_4655" "8000001" "9e+06" 7.3134
"185" "Scaffold_4655" "9000001" "1e+07" 14.8163
"186" "Scaffold_4655" "10000001" "1.1e+07" 16.5825
"187" "Scaffold_4655" "11000001" "1.2e+07" 6.5502
"188" "Scaffold_4655" "12000001" "1.3e+07" 9.015
"189" "Scaffold_4655" "13000001" "1.4e+07" 9.625
"190" "Scaffold_4655" "14000001" "1.5e+07" 15.7906
"191" "Scaffold_4655" "15000001" "1.6e+07" 6.2775
"192" "Scaffold_4655" "16000001" "1.7e+07" 9.4794
"193" "Scaffold_4655" "17000001" "1.8e+07" 3.7667
"194" "Scaffold_4655" "18000001" "1.9e+07" 10.9445
"195" "Scaffold_4655" "19000001" "2e+07" 9.9441
"196" "Scaffold_4655" "20000001" "2.1e+07" 8.1215
"197" "Scaffold_4655" "21000001" "2.2e+07" 12.5882
"198" "Scaffold_4655" "22000001" "2.3e+07" 5.0013
"199" "Scaffold_4655" "23000001" "2.4e+07" 10.2394
"200" "Scaffold_4655" "24000001" "2.5e+07" 13.72
"201" "Scaffold_4655" "25000001" "2.6e+07" 11.4372
"202" "Scaffold_4655" "26000001" "2.7e+07" 14.7235
"203" "Scaffold_4655" "27000001" "2.8e+07" 6.5153
"204" "Scaffold_4655" "28000001" "2.9e+07" 6.007
"205" "Scaffold_4655" "29000001" "3e+07" 11.0865
"206" "Scaffold_4655" "30000001" "3.1e+07" 9.5966
"207" "Scaffold_4655" "31000001" "3.2e+07" 10.3132
"208" "Scaffold_4655" "32000001" "3.3e+07" 12.2706
"209" "Scaffold_4655" "33000001" "3.4e+07" 15.0956
"210" "Scaffold_4655" "34000001" "3.5e+07" 8.738
"211" "Scaffold_4655" "35000001" "3.6e+07" 12.1783
"212" "Scaffold_4655" "36000001" "3.7e+07" 9.2674
"213" "Scaffold_4655" "37000001" "3.8e+07" 11.426
"214" "Scaffold_4655" "38000001" "3.9e+07" 9.7334
"215" "Scaffold_4655" "39000001" "4e+07" 12.4851
"216" "Scaffold_4655" "40000001" "4.1e+07" 14.0736
"217" "Scaffold_4655" "41000001" "4.2e+07" 12.1878
"218" "Scaffold_4655" "42000001" "4.3e+07" 11.3111
"219" "Scaffold_4655" "43000001" "4.4e+07" 11.8938
"220" "Scaffold_4655" "44000001" "4.5e+07" 10.8153
"221" "Scaffold_4655" "45000001" "4.6e+07" 17.5378
"222" "Scaffold_4655" "46000001" "4.7e+07" 12.9432
"223" "Scaffold_4655" "47000001" "4.8e+07" 15.413
"224" "Scaffold_4655" "48000001" "4.9e+07" 11.1167
"225" "Scaffold_4655" "49000001" "5e+07" 12.1491
"226" "Scaffold_4655" "50000001" "5.1e+07" 19.2374
"227" "Scaffold_4655" "51000001" "5.2e+07" 14.4629
"228" "Scaffold_4655" "52000001" "5.3e+07" 5.5981
"229" "Scaffold_4655" "53000001" "5.4e+07" 4.6871
"230" "Scaffold_4655" "54000001" "5.5e+07" 3.6142
"231" "Scaffold_4655" "55000001" "5.6e+07" 2.8232
"232" "Scaffold_10302" "1" "1e+06" 4.3351
"233" "Scaffold_10302" "1000001" "2e+06" 2.4682
"234" "Scaffold_10302" "2000001" "3e+06" 9.2864
"235" "Scaffold_10302" "3000001" "4e+06" 0.8137
"236" "Scaffold_10302" "4000001" "5e+06" 9.2077
"237" "Scaffold_10302" "5000001" "6e+06" 4.9106
"238" "Scaffold_10302" "6000001" "7e+06" 7.5992
"239" "Scaffold_10302" "7000001" "8e+06" 8.1277
"240" "Scaffold_10302" "8000001" "9e+06" 10.391
"241" "Scaffold_10302" "9000001" "1e+07" 12.2335
"242" "Scaffold_10302" "10000001" "1.1e+07" 13.7145
"243" "Scaffold_10302" "11000001" "1.2e+07" 9.1581
"244" "Scaffold_10302" "12000001" "1.3e+07" 15.8172
"245" "Scaffold_10302" "13000001" "1.4e+07" 9.5389
"246" "Scaffold_10302" "14000001" "1.5e+07" 13.5054
"247" "Scaffold_10302" "15000001" "1.6e+07" 4.2655
"248" "Scaffold_10302" "16000001" "1.7e+07" 9.6187
"249" "Scaffold_10302" "17000001" "1.8e+07" 11.1095
"250" "Scaffold_10302" "18000001" "1.9e+07" 8.3314
"251" "Scaffold_10302" "19000001" "2e+07" 13.0815
"252" "Scaffold_10302" "20000001" "2.1e+07" 16.4993
"253" "Scaffold_10302" "21000001" "2.2e+07" 15.3206
"254" "Scaffold_10302" "22000001" "2.3e+07" 10.495
"255" "Scaffold_10302" "23000001" "2.4e+07" 8.2597
"256" "Scaffold_10302" "24000001" "2.5e+07" 12.1643
"257" "Scaffold_10302" "25000001" "2.6e+07" 10.1076
"258" "Scaffold_10302" "26000001" "2.7e+07" 6.5092
"259" "Scaffold_10302" "27000001" "2.8e+07" 8.5808
"260" "Scaffold_10302" "28000001" "2.9e+07" 10.1005
"261" "Scaffold_10302" "29000001" "3e+07" 8.6214
"262" "Scaffold_10302" "30000001" "3.1e+07" 16.1238
"263" "Scaffold_10302" "31000001" "3.2e+07" 6.8736
"264" "Scaffold_10302" "32000001" "3.3e+07" 3.4889
"265" "Scaffold_10302" "33000001" "3.4e+07" 14.1506
"266" "Scaffold_10302" "34000001" "3.5e+07" 6.0065
"267" "Scaffold_10302" "35000001" "3.6e+07" 6.24
"268" "Scaffold_10302" "36000001" "3.7e+07" 10.6567
"269" "Scaffold_10302" "37000001" "3.8e+07" 13.8343
"270" "Scaffold_10302" "38000001" "3.9e+07" 14.2904
"271" "Scaffold_10302" "39000001" "4e+07" 9.5437
"272" "Scaffold_10302" "40000001" "4.1e+07" 9.7698
"273" "Scaffold_10302" "41000001" "4.2e+07" 7.2121
"274" "Scaffold_10302" "42000001" "4.3e+07" 4.3684
"275" "Scaffold_10302" "43000001" "4.4e+07" 14.1476
"276" "Scaffold_10302" "44000001" "4.5e+07" 12.4087
"277" "Scaffold_10302" "45000001" "4.6e+07" 16.4094
"278" "Scaffold_10302" "46000001" "4.7e+07" 5.9831
"279" "Scaffold_10302" "47000001" "4.8e+07" 8.6028
"280" "Scaffold_10302" "48000001" "4.9e+07" 11.083
"281" "Scaffold_10302" "49000001" "5e+07" 8.7256
"282" "Scaffold_10302" "50000001" "5.1e+07" 14.7239
"283" "Scaffold_10302" "51000001" "5.2e+07" 9.6196
"284" "Scaffold_10302" "52000001" "5.3e+07" 5.0703
"285" "Scaffold_10302" "53000001" "5.4e+07" 4.0673
"286" "Scaffold_10302" "54000001" "5.5e+07" 5.2482
"287" "Scaffold_10429" "1" "1e+06" 2.7906
"288" "Scaffold_10429" "1000001" "2e+06" 1.193
"289" "Scaffold_10429" "2000001" "3e+06" 3.7261
"290" "Scaffold_10429" "3000001" "4e+06" 4.0495
"291" "Scaffold_10429" "4000001" "5e+06" 5.4463
"292" "Scaffold_10429" "5000001" "6e+06" 6.9071
"293" "Scaffold_10429" "6000001" "7e+06" 7.3096
"294" "Scaffold_10429" "7000001" "8e+06" 7.8536
"295" "Scaffold_10429" "8000001" "9e+06" 9.5964
"296" "Scaffold_10429" "9000001" "1e+07" 18.8071
"297" "Scaffold_10429" "10000001" "1.1e+07" 10.9134
"298" "Scaffold_10429" "11000001" "1.2e+07" 14.9157
"299" "Scaffold_10429" "12000001" "1.3e+07" 10.5704
"300" "Scaffold_10429" "13000001" "1.4e+07" 11.5186
"301" "Scaffold_10429" "14000001" "1.5e+07" 11.0141
"302" "Scaffold_10429" "15000001" "1.6e+07" 7.6508
"303" "Scaffold_10429" "16000001" "1.7e+07" 14.9512
"304" "Scaffold_10429" "17000001" "1.8e+07" 7.3444
"305" "Scaffold_10429" "18000001" "1.9e+07" 12.2461
"306" "Scaffold_10429" "19000001" "2e+07" 8.5344
"307" "Scaffold_10429" "20000001" "2.1e+07" 7.4182
"308" "Scaffold_10429" "21000001" "2.2e+07" 10.35
"309" "Scaffold_10429" "22000001" "2.3e+07" 7.4781
"310" "Scaffold_10429" "23000001" "2.4e+07" 10.7609
"311" "Scaffold_10429" "24000001" "2.5e+07" 11.8755
"312" "Scaffold_10429" "25000001" "2.6e+07" 11.8954
"313" "Scaffold_10429" "26000001" "2.7e+07" 6.5406
"314" "Scaffold_10429" "27000001" "2.8e+07" 13.151
"315" "Scaffold_10429" "28000001" "2.9e+07" 12.2814
"316" "Scaffold_10429" "29000001" "3e+07" 8.1847
"317" "Scaffold_10429" "30000001" "3.1e+07" 14.4782
"318" "Scaffold_10429" "31000001" "3.2e+07" 6.7668
"319" "Scaffold_10429" "32000001" "3.3e+07" 14.4277
"320" "Scaffold_10429" "33000001" "3.4e+07" 9.8859
"321" "Scaffold_10429" "34000001" "3.5e+07" 7.8104
"322" "Scaffold_10429" "35000001" "3.6e+07" 6.7052
"323" "Scaffold_10429" "36000001" "3.7e+07" 14.1992
"324" "Scaffold_10429" "37000001" "3.8e+07" 9.2202
"325" "Scaffold_10429" "38000001" "3.9e+07" 16.2403
"326" "Scaffold_10429" "39000001" "4e+07" 7.5485
"327" "Scaffold_10429" "40000001" "4.1e+07" 10.7287
"328" "Scaffold_10429" "41000001" "4.2e+07" 11.4276
"329" "Scaffold_10429" "42000001" "4.3e+07" 8.292
"330" "Scaffold_10429" "43000001" "4.4e+07" 10.6493
"331" "Scaffold_10429" "44000001" "4.5e+07" 10.1033
"332" "Scaffold_10429" "45000001" "4.6e+07" 12.7326
"333" "Scaffold_10429" "46000001" "4.7e+07" 6.7127
"334" "Scaffold_10429" "47000001" "4.8e+07" 6.1655
"335" "Scaffold_10429" "48000001" "4.9e+07" 6.5714
"336" "Scaffold_10429" "49000001" "5e+07" 6.8004
"337" "Scaffold_10429" "50000001" "5.1e+07" 1.2782
"338" "Scaffold_10429" "51000001" "5.2e+07" 5.1948
"339" "Scaffold_10429" "52000001" "5.3e+07" 1.5429
"340" "Scaffold_5555" "1" "1e+06" 2.498
"341" "Scaffold_5555" "1000001" "2e+06" 5.8107
"342" "Scaffold_5555" "2000001" "3e+06" 2.4272
"343" "Scaffold_5555" "3000001" "4e+06" 6.691
"344" "Scaffold_5555" "4000001" "5e+06" 5.9565
"345" "Scaffold_5555" "5000001" "6e+06" 7.3664
"346" "Scaffold_5555" "6000001" "7e+06" 11.0549
"347" "Scaffold_5555" "7000001" "8e+06" 9.3701
"348" "Scaffold_5555" "8000001" "9e+06" 9.0897
"349" "Scaffold_5555" "9000001" "1e+07" 10.4278
"350" "Scaffold_5555" "10000001" "1.1e+07" 9.4116
"351" "Scaffold_5555" "11000001" "1.2e+07" 8.0248
"352" "Scaffold_5555" "12000001" "1.3e+07" 4.5552
"353" "Scaffold_5555" "13000001" "1.4e+07" 4.3497
"354" "Scaffold_5555" "14000001" "1.5e+07" 10.8176
"355" "Scaffold_5555" "15000001" "1.6e+07" 10.4831
"356" "Scaffold_5555" "16000001" "1.7e+07" 12.5272
"357" "Scaffold_5555" "17000001" "1.8e+07" 12.0676
"358" "Scaffold_5555" "18000001" "1.9e+07" 11.7812
"359" "Scaffold_5555" "19000001" "2e+07" 11.1448
"360" "Scaffold_5555" "20000001" "2.1e+07" 11.0561
"361" "Scaffold_5555" "21000001" "2.2e+07" 10.4921
"362" "Scaffold_5555" "22000001" "2.3e+07" 10.9776
"363" "Scaffold_5555" "23000001" "2.4e+07" 8.4216
"364" "Scaffold_5555" "24000001" "2.5e+07" 7.7389
"365" "Scaffold_5555" "25000001" "2.6e+07" 10.7684
"366" "Scaffold_5555" "26000001" "2.7e+07" 19.3914
"367" "Scaffold_5555" "27000001" "2.8e+07" 8.9809
"368" "Scaffold_5555" "28000001" "2.9e+07" 15.1159
"369" "Scaffold_5555" "29000001" "3e+07" 9.9594
"370" "Scaffold_5555" "30000001" "3.1e+07" 11.5103
"371" "Scaffold_5555" "31000001" "3.2e+07" 8.4456
"372" "Scaffold_5555" "32000001" "3.3e+07" 7.0868
"373" "Scaffold_5555" "33000001" "3.4e+07" 9.7228
"374" "Scaffold_5555" "34000001" "3.5e+07" 7.7708
"375" "Scaffold_5555" "35000001" "3.6e+07" 18.2476
"376" "Scaffold_5555" "36000001" "3.7e+07" 11.2963
"377" "Scaffold_5555" "37000001" "3.8e+07" 9.5828
"378" "Scaffold_5555" "38000001" "3.9e+07" 8.7933
"379" "Scaffold_5555" "39000001" "4e+07" 12.6961
"380" "Scaffold_5555" "40000001" "4.1e+07" 12.3412
"381" "Scaffold_5555" "41000001" "4.2e+07" 8.5513
"382" "Scaffold_5555" "42000001" "4.3e+07" 15.0272
"383" "Scaffold_5555" "43000001" "4.4e+07" 7.9469
"384" "Scaffold_5555" "44000001" "4.5e+07" 11.1992
"385" "Scaffold_5555" "45000001" "4.6e+07" 12.2078
"386" "Scaffold_5555" "46000001" "4.7e+07" 16.3074
"387" "Scaffold_5555" "47000001" "4.8e+07" 11.0493
"388" "Scaffold_5555" "48000001" "4.9e+07" 11.2725
"389" "Scaffold_5555" "49000001" "5e+07" 7.324
"390" "Scaffold_5555" "50000001" "5.1e+07" 8.6756
"391" "Scaffold_5555" "51000001" "5.2e+07" 2.0502
"392" "Scaffold_5555" "52000001" "5.3e+07" 0.7201
"393" "Scaffold_9938" "1" "1e+06" 1.6841
"394" "Scaffold_9938" "1000001" "2e+06" 3.5941
"395" "Scaffold_9938" "2000001" "3e+06" 7.1227
"396" "Scaffold_9938" "3000001" "4e+06" 4.7225
"397" "Scaffold_9938" "4000001" "5e+06" 10.5989
"398" "Scaffold_9938" "5000001" "6e+06" 8.1032
"399" "Scaffold_9938" "6000001" "7e+06" 10.2744
"400" "Scaffold_9938" "7000001" "8e+06" 6.9874
"401" "Scaffold_9938" "8000001" "9e+06" 11.2515
"402" "Scaffold_9938" "9000001" "1e+07" 9.4731
"403" "Scaffold_9938" "10000001" "1.1e+07" 12.3539
"404" "Scaffold_9938" "11000001" "1.2e+07" 16.9325
"405" "Scaffold_9938" "12000001" "1.3e+07" 11.0488
"406" "Scaffold_9938" "13000001" "1.4e+07" 11.8703
"407" "Scaffold_9938" "14000001" "1.5e+07" 4.9421
"408" "Scaffold_9938" "15000001" "1.6e+07" 12.8459
"409" "Scaffold_9938" "16000001" "1.7e+07" 14.7621
"410" "Scaffold_9938" "17000001" "1.8e+07" 14.6119
"411" "Scaffold_9938" "18000001" "1.9e+07" 7.8288
"412" "Scaffold_9938" "19000001" "2e+07" 10.5346
"413" "Scaffold_9938" "20000001" "2.1e+07" 6.3359
"414" "Scaffold_9938" "21000001" "2.2e+07" 16.4956
"415" "Scaffold_9938" "22000001" "2.3e+07" 5.921
"416" "Scaffold_9938" "23000001" "2.4e+07" 7.3489
"417" "Scaffold_9938" "24000001" "2.5e+07" 4.8427
"418" "Scaffold_9938" "25000001" "2.6e+07" 11.9167
"419" "Scaffold_9938" "26000001" "2.7e+07" 10.2211
"420" "Scaffold_9938" "27000001" "2.8e+07" 3.4888
"421" "Scaffold_9938" "28000001" "2.9e+07" 12.3886
"422" "Scaffold_9938" "29000001" "3e+07" 14.1654
"423" "Scaffold_9938" "30000001" "3.1e+07" 7.9799
"424" "Scaffold_9938" "31000001" "3.2e+07" 5.1556
"425" "Scaffold_9938" "32000001" "3.3e+07" 11.7352
"426" "Scaffold_9938" "33000001" "3.4e+07" 11.4403
"427" "Scaffold_9938" "34000001" "3.5e+07" 3.0387
"428" "Scaffold_9938" "35000001" "3.6e+07" 8.8726
"429" "Scaffold_9938" "36000001" "3.7e+07" 6.5133
"430" "Scaffold_9938" "37000001" "3.8e+07" 8.0521
"431" "Scaffold_9938" "38000001" "3.9e+07" 14.9194
"432" "Scaffold_9938" "39000001" "4e+07" 6.6976
"433" "Scaffold_9938" "40000001" "4.1e+07" 10.316
"434" "Scaffold_9938" "41000001" "4.2e+07" 13.6852
"435" "Scaffold_9938" "42000001" "4.3e+07" 7.5979
"436" "Scaffold_9938" "43000001" "4.4e+07" 8.8135
"437" "Scaffold_9938" "44000001" "4.5e+07" 8.8569
"438" "Scaffold_9938" "45000001" "4.6e+07" 5.5442
"439" "Scaffold_9938" "46000001" "4.7e+07" 8.2921
"440" "Scaffold_9938" "47000001" "4.8e+07" 6.4278
"441" "Scaffold_9938" "48000001" "4.9e+07" 3.0315
"442" "Scaffold_9938" "49000001" "5e+07" 2.9384
"443" "Scaffold_9938" "50000001" "5.1e+07" 2.8247
"444" "Scaffold_9938" "51000001" "5.2e+07" 4.3547
"445" "Scaffold_4582" "1" "1e+06" 2.8954
"446" "Scaffold_4582" "1000001" "2e+06" 0.4747
