scaffold	length	orthocount_all	orthocount_one	ratio	order
Scaffold_5915	90799	3	0	0	258
Scaffold_469	90731	3	0	0	259
Scaffold_10261	90604	1	0	0	260
Scaffold_79	90587	1	0	0	261
Scaffold_3766	90424	3	0	0	262
Scaffold_6133	90306	1	0	0	263
Scaffold_8502	90221	34	0	0	264
Scaffold_9022	90180	1	0	0	265
Scaffold_3833	90166	1	0	0	266
Scaffold_7958	89972	2	1	0.5	267
Scaffold_7422	89899	1	1	1	268
Scaffold_4376	89897	2	0	0	269
Scaffold_10386	89659	1	0	0	270
Scaffold_8332	89190	1	0	0	271
Scaffold_5550	89101	1	0	0	272
Scaffold_10414	89096	3	0	0	273
Scaffold_10308	88899	2	0	0	274
Scaffold_398	88813	1	0	0	275
Scaffold_4033	88582	1	0	0	276
Scaffold_6766	87986	2	0	0	277
Scaffold_7505	87951	1	0	0	278
Scaffold_600	87489	1	0	0	279
Scaffold_3993	87235	1	0	0	280
Scaffold_48	87222	1	0	0	281
Scaffold_677	87177	5	0	0	282
Scaffold_6480	86455	2	0	0	283
Scaffold_10316	86381	1	0	0	284
Scaffold_288	86373	2	0	0	285
Scaffold_4852	86181	3	0	0	286
Scaffold_10367	86162	1	0	0	287
Scaffold_5728	85867	2	0	0	288
Scaffold_4560	85764	1	0	0	289
Scaffold_5786	85616	1	0	0	290
Scaffold_6662	85481	1	0	0	291
Scaffold_8812	85381	1	0	0	292
Scaffold_6110	85363	1	0	0	293
Scaffold_6366	85331	2	0	0	294
Scaffold_8197	85274	6	0	0	295
Scaffold_9410	85108	2	0	0	296
Scaffold_143	84904	2	0	0	297
Scaffold_5712	84887	2	0	0	298
Scaffold_6297	84736	2	0	0	299
Scaffold_4462	84390	5	0	0	300
Scaffold_10246	84381	1	0	0	301
Scaffold_5955	84202	2	0	0	302
Scaffold_4739	83656	1	0	0	303
Scaffold_6134	83599	6	0	0	304
Scaffold_3563	83468	2	0	0	305
Scaffold_7251	83103	1	0	0	306
Scaffold_6655	82867	2	1	0.5	307
Scaffold_7694	82860	1	0	0	308
Scaffold_8375	82721	1	0	0	309
Scaffold_6490	82647	1	0	0	310
Scaffold_5124	82593	1	0	0	311
Scaffold_364	82160	1	0	0	312
Scaffold_4672	81888	1	0	0	313
Scaffold_694	81863	1	0	0	314
Scaffold_4519	81658	2	0	0	315
Scaffold_6724	81551	4	0	0	316
Scaffold_4864	81494	1	0	0	317
Scaffold_6640	80994	2	0	0	318
Scaffold_4572	80806	1	0	0	319
Scaffold_629	80762	1	0	0	320
Scaffold_6132	80751	3	0	0	321
Scaffold_3676	80747	4	0	0	322
Scaffold_10265	80640	6	0	0	323
Scaffold_4251	80422	1	0	0	324
Scaffold_10421	80367	1	0	0	325
Scaffold_7870	80182	1	0	0	326
Scaffold_6917	79960	1	0	0	327
Scaffold_9254	79816	9	0	0	328
Scaffold_553	79734	1	0	0	329
Scaffold_5661	79671	1	0	0	330
Scaffold_4899	79624	2	0	0	331
Scaffold_8047	79318	1	0	0	332
Scaffold_632	79115	8	0	0	333
Scaffold_6408	78954	1	0	0	334
Scaffold_4763	78822	1	0	0	335
Scaffold_3673	78639	2	0	0	336
Scaffold_9904	78353	3	0	0	337
Scaffold_4447	78113	1	0	0	338
Scaffold_8607	78025	2	0	0	339
Scaffold_8229	77946	2	0	0	340
Scaffold_6034	77807	1	0	0	341
Scaffold_9042	77778	3	0	0	342
Scaffold_7602	77764	1	0	0	343
Scaffold_4946	77606	1	0	0	344
Scaffold_312	77499	3	0	0	345
Scaffold_8683	77308	3	0	0	346
Scaffold_5926	77133	2	0	0	347
Scaffold_4010	77093	1	0	0	348
Scaffold_8287	77000	5	0	0	349
Scaffold_5340	76901	1	0	0	350
Scaffold_575	76852	1	0	0	351
Scaffold_840	76839	6	0	0	352
Scaffold_8419	76621	1	0	0	353
Scaffold_5179	76595	1	0	0	354
Scaffold_5103	76523	1	0	0	355
Scaffold_6717	76431	1	0	0	356
Scaffold_3495	76346	2	0	0	357
Scaffold_10264	76236	2	0	0	358
Scaffold_7500	76228	1	0	0	359
Scaffold_10203	76176	1	0	0	360
Scaffold_4357	76059	2	0	0	361
Scaffold_5355	76052	2	0	0	362
Scaffold_6147	76037	3	0	0	363
Scaffold_3427	75608	2	0	0	364
Scaffold_10285	75437	1	0	0	365
Scaffold_5028	75434	4	0	0	366
Scaffold_4857	75178	3	0	0	367
Scaffold_7964	75140	1	0	0	368
Scaffold_892	75007	1	0	0	369
Scaffold_8491	74909	1	0	0	370
Scaffold_5909	74881	1	0	0	371
Scaffold_8036	74865	4	0	0	372
Scaffold_5253	74778	1	0	0	373
Scaffold_503	74731	2	0	0	374
Scaffold_906	74678	9	0	0	375
Scaffold_7387	74611	1	0	0	376
Scaffold_8059	74592	1	0	0	377
Scaffold_10267	74505	3	0	0	378
Scaffold_4715	74464	2	0	0	379
Scaffold_7163	74268	1	0	0	380
Scaffold_6593	74251	2	0	0	381
Scaffold_7438	74119	3	0	0	382
Scaffold_7778	74109	1	0	0	383
Scaffold_10309	74060	2	0	0	384
Scaffold_7771	74050	3	0	0	385
Scaffold_9073	74027	2	0	0	386
Scaffold_9312	73922	1	0	0	387
Scaffold_7891	73752	3	0	0	388
Scaffold_4332	73678	3	0	0	389
Scaffold_7740	73564	1	0	0	390
Scaffold_9464	73398	1	0	0	391
Scaffold_10273	73397	1	0	0	392
Scaffold_6079	73355	4	0	0	393
Scaffold_4338	73336	1	0	0	394
Scaffold_4525	73259	2	0	0	395
Scaffold_10274	73237	1	0	0	396
Scaffold_109	73218	1	0	0	397
Scaffold_382	73208	2	0	0	398
Scaffold_3828	73165	4	0	0	399
Scaffold_9018	73099	4	0	0	400
Scaffold_938	72829	1	0	0	401
Scaffold_257	72798	1	0	0	402
Scaffold_5006	72747	1	0	0	403
Scaffold_5841	72727	4	0	0	404
Scaffold_4162	72689	1	0	0	405
Scaffold_10366	72668	3	0	0	406
Scaffold_10282	72375	2	0	0	407
Scaffold_6031	72348	1	0	0	408
Scaffold_6871	72194	1	0	0	409
Scaffold_9831	72176	4	0	0	410
Scaffold_6127	72012	5	0	0	411
Scaffold_3904	71979	4	0	0	412
Scaffold_4138	71963	1	0	0	413
Scaffold_8374	71683	1	0	0	414
Scaffold_5994	71422	1	0	0	415
Scaffold_4576	71029	1	0	0	416
Scaffold_4890	70928	1	0	0	417
Scaffold_7714	70917	10	0	0	418
Scaffold_5487	70799	2	0	0	419
Scaffold_7419	70717	1	0	0	420
Scaffold_591	70061	5	0	0	421
Scaffold_1109	69976	4	0	0	422
Scaffold_4546	69822	3	0	0	423
Scaffold_4769	69770	1	0	0	424
Scaffold_7070	69635	1	0	0	425
Scaffold_10312	69544	1	0	0	426
Scaffold_6868	69465	1	0	0	427
Scaffold_4966	69356	3	0	0	428
Scaffold_7416	68876	1	0	0	429
Scaffold_9959	68761	8	0	0	430
Scaffold_5038	68677	2	0	0	431
Scaffold_319	68578	1	0	0	432
Scaffold_7700	68505	2	0	0	433
Scaffold_6440	68493	2	0	0	434
Scaffold_6964	68318	1	0	0	435
Scaffold_8903	68233	1	0	0	436
Scaffold_7827	68106	2	0	0	437
Scaffold_5715	68038	1	0	0	438
Scaffold_114	67887	2	0	0	439
Scaffold_3802	67756	2	0	0	440
Scaffold_258	67681	2	0	0	441
Scaffold_4733	67646	1	0	0	442
Scaffold_749	67635	3	0	0	443
Scaffold_104	67545	2	0	0	444
Scaffold_4934	67449	1	0	0	445
Scaffold_7793	67241	1	0	0	446
Scaffold_5167	67210	1	0	0	447
Scaffold_5645	66993	1	0	0	448
Scaffold_5063	66959	1	0	0	449
Scaffold_6479	66955	1	0	0	450
Scaffold_8824	66900	1	0	0	451
Scaffold_7379	66768	1	0	0	452
Scaffold_7015	66747	1	0	0	453
Scaffold_5020	66570	1	0	0	454
Scaffold_8106	66514	1	0	0	455
Scaffold_8226	66469	2	0	0	456
Scaffold_5734	66465	1	0	0	457
Scaffold_5560	66342	1	0	0	458
Scaffold_8915	66299	1	0	0	459
Scaffold_201	66276	2	0	0	460
Scaffold_5861	66245	2	0	0	461
Scaffold_4685	66173	1	0	0	462
Scaffold_7623	66154	2	0	0	463
Scaffold_119	66106	8	0	0	464
Scaffold_830	66103	1	0	0	465
Scaffold_444	65831	1	0	0	466
Scaffold_4721	65444	2	0	0	467
Scaffold_3562	65296	1	0	0	468
Scaffold_3864	65190	1	0	0	469
Scaffold_5676	64740	2	0	0	470
Scaffold_7709	64676	1	0	0	471
Scaffold_7699	64665	2	0	0	472
Scaffold_784	64547	1	0	0	473
Scaffold_6148	64529	1	0	0	474
Scaffold_4945	64521	1	1	1	475
Scaffold_7414	64474	1	0	0	476
Scaffold_7401	64171	1	0	0	477
Scaffold_7673	64031	1	0	0	478
Scaffold_5069	63837	2	0	0	479
Scaffold_857	63822	1	0	0	480
Scaffold_4883	63811	1	0	0	481
Scaffold_978	63651	1	0	0	482
Scaffold_7483	63603	1	0	0	483
Scaffold_4106	63522	1	0	0	484
Scaffold_7406	63331	1	0	0	485
Scaffold_6477	63290	2	0	0	486
Scaffold_628	63233	1	0	0	487
Scaffold_5416	62993	1	0	0	488
Scaffold_7894	62980	1	0	0	489
Scaffold_6247	62916	2	0	0	490
Scaffold_5065	62717	1	0	0	491
Scaffold_4076	62653	1	0	0	492
Scaffold_5532	62615	1	0	0	493
Scaffold_5551	62519	2	0	0	494
Scaffold_6754	62500	2	0	0	495
Scaffold_5534	62481	2	0	0	496
Scaffold_9459	62476	2	0	0	497
Scaffold_3775	62432	1	0	0	498
Scaffold_646	62310	1	0	0	499
Scaffold_4234	62265	1	0	0	500
Scaffold_6693	62212	1	0	0	501
Scaffold_3519	62105	1	0	0	502
Scaffold_6373	62039	1	0	0	503
Scaffold_8933	62026	1	0	0	504
Scaffold_4488	62016	1	0	0	505
Scaffold_7299	61988	3	0	0	506
Scaffold_5206	61949	1	0	0	507
Scaffold_798	61910	1	0	0	508
Scaffold_8366	61870	2	0	0	509
Scaffold_8718	61869	2	0	0	510
Scaffold_5129	61862	2	0	0	511
Scaffold_8041	61842	3	0	0	512
Scaffold_5656	61832	1	0	0	513
Scaffold_3547	61715	1	0	0	514
Scaffold_10355	61661	4	0	0	515
Scaffold_984	61545	6	0	0	516
Scaffold_8928	61530	1	0	0	517
Scaffold_5356	61464	2	0	0	518
Scaffold_7572	61451	1	0	0	519
Scaffold_4998	61448	2	0	0	520
Scaffold_7209	61377	3	0	0	521
Scaffold_8400	61336	2	0	0	522
Scaffold_3893	61298	1	0	0	523
Scaffold_6544	61292	1	0	0	524
Scaffold_5194	61202	1	0	0	525
Scaffold_6329	61173	1	0	0	526
Scaffold_6273	60771	2	0	0	527
Scaffold_4707	60574	1	0	0	528
Scaffold_1015	60330	19	0	0	529
Scaffold_6652	60285	1	0	0	530
Scaffold_7900	60261	1	0	0	531
Scaffold_3570	60203	1	0	0	532
Scaffold_173	60046	1	0	0	533
Scaffold_8872	59987	6	0	0	534
Scaffold_3440	59984	1	0	0	535
Scaffold_5622	59901	2	0	0	536
Scaffold_8233	59866	1	0	0	537
Scaffold_851	59862	1	0	0	538
Scaffold_804	59720	3	0	0	539
Scaffold_4587	59693	1	0	0	540
Scaffold_9146	59691	2	0	0	541
Scaffold_4850	59681	2	0	0	542
Scaffold_6933	59662	1	0	0	543
Scaffold_6659	59615	1	0	0	544
Scaffold_176	59589	2	0	0	545
Scaffold_5190	59520	1	0	0	546
Scaffold_7912	59452	4	0	0	547
Scaffold_6867	59421	1	0	0	548
Scaffold_737	59383	1	0	0	549
Scaffold_4727	59342	2	0	0	550
Scaffold_919	59223	4	0	0	551
Scaffold_4689	59219	2	0	0	552
Scaffold_968	59211	1	0	0	553
Scaffold_4874	59190	1	0	0	554
Scaffold_4900	59137	2	0	0	555
Scaffold_1070	59070	5	0	0	556
Scaffold_4074	59058	1	0	0	557
Scaffold_9282	58955	1	0	0	558
Scaffold_4523	58946	1	0	0	559
Scaffold_366	58886	2	0	0	560
Scaffold_992	58875	7	0	0	561
Scaffold_3750	58814	1	0	0	562
Scaffold_574	58766	4	0	0	563
Scaffold_10419	58725	1	0	0	564
Scaffold_105	58653	1	0	0	565
Scaffold_6812	58653	1	0	0	566
Scaffold_6377	58631	1	0	0	567
Scaffold_8695	58478	1	0	0	568
Scaffold_7535	58419	3	0	0	569
Scaffold_3628	58358	2	0	0	570
Scaffold_8756	58248	1	0	0	571
Scaffold_814	58214	1	0	0	572
Scaffold_5754	58193	2	0	0	573
Scaffold_8975	58149	1	0	0	574
Scaffold_6644	58141	2	0	0	575
Scaffold_5121	58101	1	0	0	576
Scaffold_6654	58080	2	0	0	577
Scaffold_6289	58033	2	0	0	578
Scaffold_8998	57933	2	0	0	579
Scaffold_8739	57844	1	0	0	580
Scaffold_128	57810	1	0	0	581
Scaffold_8682	57751	6	0	0	582
Scaffold_346	57658	2	0	0	583
Scaffold_8878	57532	1	0	0	584
Scaffold_1039	57518	1	0	0	585
Scaffold_7007	57332	2	0	0	586
Scaffold_259	57137	3	0	0	587
Scaffold_8465	57046	3	0	0	588
Scaffold_5888	57019	3	0	0	589
Scaffold_929	56950	2	0	0	590
Scaffold_4425	56869	1	0	0	591
Scaffold_4717	56848	1	0	0	592
Scaffold_8149	56834	1	0	0	593
Scaffold_6016	56785	1	0	0	594
Scaffold_7205	56730	3	0	0	595
Scaffold_8126	56713	1	0	0	596
Scaffold_4009	56681	1	0	0	597
Scaffold_9497	56633	1	0	0	598
Scaffold_8921	56541	1	0	0	599
Scaffold_844	56522	1	0	0	600
Scaffold_8337	56501	1	0	0	601
Scaffold_10287	56307	1	0	0	602
Scaffold_3765	56271	5	0	0	603
Scaffold_8230	56225	1	0	0	604
Scaffold_10300	56124	4	0	0	605
Scaffold_874	56059	1	0	0	606
Scaffold_3522	56033	1	0	0	607
Scaffold_8929	56018	2	0	0	608
Scaffold_787	55870	1	0	0	609
Scaffold_9511	55844	1	0	0	610
Scaffold_4227	55804	1	0	0	611
Scaffold_4588	55770	1	0	0	612
Scaffold_7712	55743	5	0	0	613
Scaffold_4184	55717	1	0	0	614
Scaffold_6347	55714	1	0	0	615
Scaffold_10327	55618	1	0	0	616
Scaffold_9243	55600	1	0	0	617
Scaffold_7732	55581	1	0	0	618
Scaffold_8379	55503	1	0	0	619
Scaffold_4990	55489	1	0	0	620
Scaffold_821	55485	2	0	0	621
Scaffold_3767	55436	3	0	0	622
Scaffold_4894	55359	2	0	0	623
Scaffold_3526	55227	1	0	0	624
Scaffold_24	55055	1	0	0	625
Scaffold_4907	55039	1	0	0	626
Scaffold_10245	55012	1	0	0	627
Scaffold_3789	54978	1	0	0	628
Scaffold_8435	54885	1	0	0	629
Scaffold_100	54883	1	0	0	630
Scaffold_3482	54872	1	0	0	631
Scaffold_4680	54802	1	0	0	632
Scaffold_4199	54771	1	0	0	633
Scaffold_970	54677	2	0	0	634
Scaffold_3588	54606	1	0	0	635
Scaffold_6537	54565	2	0	0	636
Scaffold_7113	54455	2	0	0	637
Scaffold_7813	54434	1	0	0	638
Scaffold_439	54425	1	0	0	639
Scaffold_6787	54386	1	0	0	640
Scaffold_6805	54381	1	0	0	641
Scaffold_9234	54364	1	0	0	642
Scaffold_5142	54329	1	0	0	643
Scaffold_7122	54308	1	0	0	644
Scaffold_230	54284	1	0	0	645
Scaffold_213	54259	1	0	0	646
Scaffold_10269	54217	1	0	0	647
Scaffold_470	54173	1	0	0	648
Scaffold_4182	54148	2	0	0	649
Scaffold_337	54144	1	0	0	650
Scaffold_4879	54107	1	0	0	651
Scaffold_5931	54073	1	0	0	652
Scaffold_4130	54072	2	0	0	653
Scaffold_9196	54055	1	0	0	654
Scaffold_5351	53906	2	0	0	655
Scaffold_695	53905	2	0	0	656
Scaffold_49	53841	1	0	0	657
Scaffold_500	53832	2	0	0	658
Scaffold_5261	53699	2	0	0	659
Scaffold_5544	53690	1	0	0	660
Scaffold_9423	53584	2	0	0	661
Scaffold_1068	53533	3	0	0	662
Scaffold_231	53522	1	0	0	663
Scaffold_5967	53451	1	0	0	664
Scaffold_7648	53423	1	0	0	665
Scaffold_3814	53401	3	0	0	666
Scaffold_5983	53390	1	0	0	667
Scaffold_4800	53389	1	0	0	668
Scaffold_9002	53181	1	0	0	669
Scaffold_4794	53053	1	0	0	670
Scaffold_3687	52950	2	0	0	671
Scaffold_6109	52885	1	0	0	672
Scaffold_7854	52880	1	0	0	673
Scaffold_7782	52856	3	0	0	674
Scaffold_84	52751	1	0	0	675
Scaffold_4811	52740	1	0	0	676
Scaffold_928	52708	4	0	0	677
Scaffold_8246	52704	1	0	0	678
Scaffold_4967	52613	1	0	0	679
Scaffold_663	52591	1	0	0	680
Scaffold_5821	52589	3	0	0	681
Scaffold_3580	52548	1	0	0	682
Scaffold_1034	52337	2	0	0	683
Scaffold_3859	52332	1	0	0	684
Scaffold_6355	52265	1	0	0	685
Scaffold_7591	52207	1	0	0	686
Scaffold_4877	52164	1	0	0	687
Scaffold_5874	52122	1	0	0	688
Scaffold_914	52113	1	0	0	689
Scaffold_3843	52080	1	0	0	690
Scaffold_6344	52037	1	0	0	691
